DOI,Title,Journal,pH,Subspecies,Species,CarbonSource,TargetMolecule,TiterUnits,FinalTiter,InitialTiter,Temperature,Medium,CultureSystem,Oxygen,FinalYield,GeneMutation,GeneName,Overexpress,Knocked out,others gene,DOI_replaced,SMILES,InChIKey
10.1038/nature10333,Engineered reversal of the beta-oxidation cycle for the synthesis of fuels and chemicals,Nature,7.0,MG1655,Escherichia coli,Glucose,n-butanol,g/L,1.9,0.0,30.0,M9,bflask,Anaerobic,0.19,"[aa_snps, del, del, del, aa_snps, del,is_insertion, del, del, oe,plasmid, oe,plasmid, del]","[atoC, pta, adhE, frdA, crp, fadR, yqhD, arcA, fucO, yqeF, acetaldehyde dehydrogenase]","['fucO', 'yqeF']","['pta', 'adhE', 'frdA', 'fadR', 'yqhD', 'arcA', 'acetaldehyde dehydrogenase']","['atoC', 'crp']",10.1038.nature10333,CCCCO,LRHPLDYGYMQRHN-UHFFFAOYSA-N
10.1128/AEM.01140-07,Engineered Synthetic Pathway for Isopropanol Production in Escherichia coli,Applied and Environmental Microbiology,,MG1655,Escherichia coli,Glucose,isopropanol,mM,81.6,0.0,37.0,SD-8,bflask,Anaerobic,0.435,"[oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, codonoptimized,oe,plasmid, oe,plasmid]","[atoB, atoA, atoD, thl, ctfA, ctfB, adh, adc]","['atoB', 'atoA', 'atoD', 'thl', 'ctfA', 'ctfB', 'adh', 'adc']",[],[],10.1128.AEM.01140-07,CC(C)O,KFZMGEQAYNKOFK-UHFFFAOYSA-N
10.1038/nbt833,Engineering a mevalonate pathway in Escherichia coli for production of terpenoids,Nature Biotechnology,,MG1655,Escherichia coli,"Glycerol,Glucose",amorphadiene,mg/L,112.0,0.0,37.0,LB,bflask,Aerobic,,"[oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid,truncated, oe,plasmid, codonoptimized,oe,plasmid]","[idi, atoB, ispA, 3-hydroxy-3-methylglutaryl-coenzyme A reductase, HMGS, amorpha-4,11-diene synthase]","['idi', 'atoB', 'ispA', '3-hydroxy-3-methylglutaryl-coenzyme A reductase', 'HMGS', 'amorpha-4,11-diene synthase']",[],[],10.1038.nbt833,CC1CCC(C2C1CCC(=C2)C)C(=C)C,HMTAHNDPLDKYJT-CBBWQLFWSA-N
10.1007/s00253-011-3434-9,Engineering Escherichia coli for efficient cellobiose utilization,Applied Microbiology and Biotechnology,7.0,MG1655,Escherichia coli,Cellobiose,Biomass,OD600,0.5,0.01,37.0,M9,nbflask,Aerobic,,"[con,mutated]",[chbA],[],[],['chbA'],10.1007.s00253-011-3434-9,,
10.1007/s00253-014-5882-5,Engineering Escherichia coli for odd straight medium chain free fatty acid production,Applied Microbiology and Biotechnology,7.5,MG1655,Escherichia coli,Glucose,Fatty Acids,mg/L,276.0,0.0,37.0,LB,bflask,Aerobic,,"[del, del, del, del, del, oe,plasmid, oe,plasmid, del, del, del]","[fadD, wzxB, acetolactate synthase, rph, rfbA, acyl-ACP thioesterase, prpE, rfbB, rfbC, rfbD]","['acyl-ACP thioesterase', 'prpE']","['fadD', 'wzxB', 'acetolactate synthase', 'rph', 'rfbA', 'rfbB', 'rfbC', 'rfbD']",[],10.1007.s00253-014-5882-5,,
10.1016/j.ymben.2012.08.003,Engineering Escherichia coli for production of C12-C14 polyhydroxyalkanoate from glucose,Metabolic Engineering,7.0,MG1655,Escherichia coli,Glucose,,%CDW,,1.0,37.0,MOPS,bioreactor,Aerobic,,"[del, oe,plasmid, oe,plasmid, oe,plasmid, del, del, del, del, del, del, del, oe,plasmid]","[araD, phaC2, PP_0763, (R)-specific enoyl-CoA hydratase, fadA, araB, fadB, fadR, araA, fadJ, fadI, Bay Laurel Thioesterase]","['phac2', 'pp_0763']","['fada', 'arab', 'fadb', 'fadr', 'fadj', 'fadi']",[],10.1016.j.ymben.2012.08.003,C1=CC(=CC=C1C(=O)O)O,FJKROLUGYXJWQN-UHFFFAOYSA-N
10.1016/j.ymben.2014.09.006i,Engineering modular ester fermentative pathways in Escherichia coli,Metabolic Engineering,,MG1655,Escherichia coli,Glucose,Ethyl butyrate,mg/L,88.0,3.2,37.0,M9,testtube,Anaerobic,0.0153,"[del, oe,plasmid,terminated, oe,plasmid,terminated, del, del, del, del, del, del, del, del]","[fadE, adhB, pdc, ldhA, maeA, poxB, frdA, zwf, maeB, ndh, pta]","['adhB', 'pdc']","['fadE', 'ldhA', 'maeA', 'poxB', 'frdA', 'zwf', 'maeB', 'ndh', 'pta']",[],10.1016.j.ymben.2014.09.006i,CCCC(=O)OCC,OBNCKNCVKJNDBV-UHFFFAOYSA-N
10.1128/AEM.71.11.6762-6768.2005,Enhanced Hydrogen Production from Formic Acid by Formate Hydrogen Lyase-Overexpressing Escherichia coli Strains,Applied and Environmental Microbiology,6.5,W3110,Escherichia coli,Glucose,H2,g/h-L-g CDW,0.253,0.101,37.0,BC(minimal),nbflask,Anaerobic,,"[del, oe,plasmid]","[hycA, flhA]",['flhA'],['hycA'],[],10.1128.AEM.71.11.6762-6768.2005,[HH],UFHFLCQGNIYNRP-UHFFFAOYSA-N
10.1007/s00253-006-0456-9,Enhanced hydrogen production from glucose using ldh- and frd-inactivated Escherichia coli strains,Applied Microbiology and Biotechnology,6.5,W3110,Escherichia coli,Glucose,H2,,,,37.0,BC(minimal),nbflask,Anaerobic,1.87,"[del, del, del, del, oe,plasmid]","[frdB, frdC, ldhA, hycA, flhA]",['flhA'],"['frdB', 'frdC', 'ldhA', 'hycA']",[],10.1007.s00253-006-0456-9,[HH],UFHFLCQGNIYNRP-UHFFFAOYSA-N
10.1038/NChemBio.537,Enzyme mechanism as a kinetic control element for designing synthetic biofuel pathways,Nature Chemical Biology,,MG1655(DE3),Escherichia coli,Glucose,n-butanol,g/L,4.65,0.0031,37.0,TB,bflask,Microaerobic,0.28,"[oe,plasmid, oe,plasmid, oe,plasmid, codonoptimized,oe,plasmid, codonoptimized,oe,plasmid, codonoptimized,oe,plasmid, codonoptimized,oe,plasmid, codonoptimized,oe,plasmid, codonoptimized,oe,plasmid]","[aceF, aceE, lpd, crt, phaA, ccr, adhE2, hbd, ter]","['aceF', 'aceE', 'lpd', 'crt', 'phaA', 'ccr', 'adhE2', 'hbd', 'ter']",[],[],10.1038.NChemBio.537,CCCCO,LRHPLDYGYMQRHN-UHFFFAOYSA-N
10.1371/journal.pgen.1001186,"Genetic Basis of Growth Adaptation of Escherichia coli after Deletion of pgi, a Major Metabolic Gene",PLoS Genetics,,MG1655,Escherichia coli,Glucose,Biomass,hr^-1,0.44,0.13,37.0,M9,nbflask,Aerobic,4.8,"[nuc_snps, nuc_snps, nuc_snps, nuc_snps, nuc_snps, del]","[rpoC, rpoB, fabZ, sthA, rep, pgi]",[],['pgi'],"['rpoC', 'rpoB', 'fabZ', 'sthA', 'rep']",10.1371.journal.pgen.1001186,,
10.1371/journal.pone.0004489,"High-Level Production of Amorpha-4,11-Diene, a Precursor of the Antimalarial Agent Artemisinin, in Escherichia coli",PLoS ONE,,MG1655,Escherichia coli,Glucose,amorphadiene,g/L,27.4,6.5,37.0,Minimal,bioreactor,Aerobic,,"[oe,plasmid, oe,plasmid, codonoptimized,oe,plasmid, oe,plasmid, oe,plasmid, codonoptimized,oe,plasmid, codonoptimized,oe,plasmid, oe,plasmid, codonoptimized,oe,plasmid]","[idi, atoB, ispA, ERG19, MVK, amorpha-4,11-diene synthase, mvaS, PMVK, mvaA]","['idi', 'atoB', 'ispA', 'ERG19', 'MVK', 'amorpha-4,11-diene synthase', 'mvaS', 'PMVK', 'mvaA']",[],[],10.1371.journal.pone.0004489,CC1CCC(C2C1CCC(=C2)C)C(=C)C,HMTAHNDPLDKYJT-CBBWQLFWSA-N
10.1038/ncomms1494,Identification and microbial production of a terpene-based advanced biofuel,Nature Communications,,MG1655,Escherichia coli,Glucose,bisabolene,mg/L,,90.0,37.0,EZRich,flask,Aerobic,,"[oe,plasmid, codonoptimized,oe,plasmid, oe,plasmid, oe,plasmid, codonoptimized,oe,plasmid, codonoptimized,oe,plasmid, codonoptimized,oe,plasmid,truncated, codonoptimized,oe,plasmid, codonoptimized,oe,plasmid]","[idi, atoB, ispA, ERG19, MVK, TPS-Bis, 3-hydroxy-3-methylglutaryl-coenzyme A reductase, PMVK, HMGS]","['idi', 'atob', 'ispa', 'tps-bis', 'hmgs']",[],[],10.1038.ncomms1494,CC1=CCC(=C(C)CCC=C(C)C)CC1,XBGUIVFBMBVUEG-CCEZHUSRSA-N
10.1016/j.ymben.2004.12.003,Identifying gene targets for the metabolic engineering of lycopene biosynthesis in Escherichia coli,Metabolic Engineering,,MG1655,Escherichia coli,Glucose,lycopene,ppm,6600.0,4714.0,37.0,M9,bflask,Aerobic,,"[del, integrated,oe, del, del, oe,plasmid, oe,plasmid, oe,plasmid, integrated,oe, integrated,oe, integrated,oe]","[aceF, ispF, gdhA, fdhF, crtI, crtE, crtB, dxs, idi, ispD]","['ispF', 'crtI', 'crtE', 'crtB', 'dxs', 'idi', 'ispD']","['aceF', 'gdhA', 'fdhF']",[],10.1016.j.ymben.2004.12.003,CC(=CCCC(=CC=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC=C(C)CCC=C(C)C)C)C)C)C,OAIJSZIZWZSQBC-GYZMGTAESA-N
10.1016/j.ymben.2009.07.003,Improving NADPH availability for natural product biosynthesis in Escherichia coli by metabolic engineering,Metabolic Engineering,,MG1655,Escherichia coli,Glucose,NADPH,mM,,0.33,30.0,M9,flask,Aerobic,,"[del, del, del]","[pldA, ppc, pgi]",[],"['plda', 'ppc', 'pgi']",[],10.1016.j.ymben.2009.07.003,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,ACFIXJIJDZMPPO-NNYOXOHSSA-N
10.1002/bit.25470,Improving Product Yields on D-Glucose in Escherichia coli via Knockout of pgi and zwf and Feeding of Supplemental Carbon Sources,Biotechnology and Bioengineering,,MG1655,Escherichia coli,Xylose,Glucaric Acid,g/L,1.19,0.13,30.0,LB,bflask,Aerobic,0.73,"[del, del, del, del, del, del, oe,plasmid, oe,plasmid, oe,plasmid]","[gudD, zwf, uxaC, recA, endA, pgi, myo-inositol oxygenase, Ino1, udh]","['myo-inositol oxygenase', 'Ino1', 'udh']","['gudD', 'zwf', 'uxaC', 'recA', 'endA', 'pgi']",[],10.1002.bit.25470,C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O,DSLZVSRJTYRBFB-LLEIAEIESA-N
10.1007/s00253-009-2219-x,Increasing diterpene yield with a modular metabolic engineering system in E. coli: comparison of MEV and MEP isoprenoid precursor pathway engineering,Applied Microbiology and Biotechnology,7.0,C41 Overexpress,Escherichia coli,Amino acids,Abietadiene,mg/L,51.5,0.0,16.0,TB,bflask,Aerobic,,"[oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid]","[ERG12, ERG8, MVD1, idi, abietadiene synthase, GGPPS]","['ERG12', 'ERG8', 'MVD1', 'idi', 'abietadiene synthase', 'GGPPS']",[],[],10.1007.s00253-009-2219-x,CC(C)C1=CC2=CCC3C(CCCC3(C2CC1)C)(C)C,BBPXZLJCPUPNGH-CMKODMSKSA-N
10.1126/science.1191652,Isoprenoid Pathway Optimization for Taxol Precursor Overproduction in Escherichia coli,Science,7.0,MG1655,Escherichia coli,Glycerol,Taxadiene,mg/L,1000.0,0.067,22.0,LB,bioreactor,Aerobic,,"[integrated,oe, integrated,oe, integrated,oe, integrated,oe, codonoptimized,oe,plasmid, codonoptimized,oe,plasmid]","[idi, ispF, ispD, dxs, GGPPS, taxadiene synthase]","['idi', 'ispF', 'ispD', 'dxs', 'GGPPS', 'taxadiene synthase']",[],[],10.1126.science.1191652,CC1=C2CCC3(CCC=C(C3CC(C2(C)C)CC1)C)C,FRJSECSOXKQMOD-HQRMLTQVSA-N
10.1128/AEM.01971-10,L-Malate Production by Metabolically Engineered Escherichia coli,Applied and Environmental Microbiology,7.0,ATCC879,Escherichia coli,Glucose,malate,g/L,34.0,9.25,37.0,Minimal,bioreactor,Anaerobic,1.42,"[del, del, del, del, del, del, del, del, del, del, del, del, del]","[mgsA, ackA, fumA, fumB, fumC, maeA, maeB, pflB, adhE, frdB, frdC, ldhA, poxB]",[],"['mgsA', 'ackA', 'fumA', 'fumB', 'fumC', 'maeA', 'maeB', 'pflB', 'adhE', 'frdB', 'frdC', 'ldhA', 'poxB']",[],10.1128.AEM.01971-10,C(C(C(=O)O)O)C(=O)O,BJEPYKJPYRNKOW-UHFFFAOYSA-N
10.1186/1475-2859-11-79,Manipulation of the carbon storage regulator system for metabolite remodeling and biofuel production in Escherichia coli,Microbial Cell Factories,,MG1655,Escherichia coli,Glucose,Fatty Acids,mg/L,440.0,250.0,30.0,MOPS,testtube,Aerobic,,"[oe,plasmid, aa_snps,integrated, oe,plasmid,truncated, aa_snps,integrated, del, del, del]","[csrB, tyrA, tesA, aroF, pheL, tyrR, pheA]","['csrB', 'tesA']","['pheL', 'tyrR', 'pheA']","['tyrA', 'aroF']",10.1186.1475-2859-11-79,,
10.1186/1475-2859-9-21,Metabolic engineering for the production of shikimic acid in an evolved Escherichia coli strain lacking the phosphoenolpyruvate:carbohydrate phosphotransferase system,Microbial Cell Factories,7.0,JM101,Escherichia coli,Glucose,,g/L,14.0,0.0,37.0,Rich,,Aerobic,0.29,"[del, del, oe,plasmid, del, aa_snps,oe,plasmid, del, del, oe,plasmid, oe,plasmid]","[aroL, aroK, tktA, ptsI, aroG, crr, ptsH, aroE, aroB]","['tkta', 'arog', 'aroe', 'arob']","['arol', 'arok']",[],10.1186.1475-2859-9-21,C1C(C(C(C=C1C(=O)O)O)O)O,JXOHGGNKMLTUBP-HSUXUTPPSA-N
10.1016/j.ymben.2012.11.009,Metabolic engineering of Escherichia coli for (2S)-pinocembrin production from glucose by a modular metabolic strategy,Metabolic Engineering,,MG1655,Escherichia coli,Glucose,(2S)-pinocembrin,mg/L,40.02,0.0,30.0,MOPS,,Aerobic,,"[aa_snps,oe,plasmid, aa_snps,oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid]","[aroF, pheA, phenylalanine ammonia lyase, chalcone synthase, EC-6.2.1.3, matC, chalcone isomerase, 4-coumarate-CoA ligase]","['arof', 'phea', 'matc']",[],[],10.1016.j.ymben.2012.11.009,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3,URFCJEUYXNAHFI-ZDUSSCGKSA-N
10.1016/j.ymben.2008.08.001,Metabolic engineering of Escherichia coli for 1-butanol and 1-propanol production via the keto-acid pathways,Metabolic Engineering,,BW25113,Escherichia coli,Glucose,1-propanol,mg/L,,400.0,30.0,M9,flask,Aerobic,,"[oe,plasmid, oe,plasmid, del, oe,plasmid, del, oe,plasmid, oe,plasmid, del, oe,plasmid, oe,plasmid, del, oe,plasmid, del, aa_snps,oe,plasmid, oe,plasmid]","[leuA, thrC, metA, ilvA, ilvB, ADH2, kivD, tdh, leuB, leuC, ilvI, leuD, adhE, thrA, thrB]","['leua', 'thrc', 'ilva', 'adh2', 'kivd', 'leuc', 'thra', 'thrb']","['meta', 'ilvb', 'tdh', 'ilvi', 'adhe']",[],10.1016.j.ymben.2008.08.001,CCCO,BDERNNFJNOPAEC-UHFFFAOYSA-N
10.1038/NChemBio.580,"Metabolic engineering of Escherichia coli for direct production of 1,4-butanediol",Nature Chemical Biology,7.0,MG1655,Escherichia coli,Glucose,1_4-butanediol,g/L,18.0,0.0,37.0,M9,bioreactor,Anaerobic,,"[del, oe,plasmid, aa_snps,integrated, oe,plasmid, oe,plasmid, oe,plasmid, aa_snps,integrated,less_nadh_inhibition, oe,plasmid, oe,plasmid, del, del, del, del, oe,plasmid]","[ldhA, sucA, lpd, sucD, adhE2, hbd, gltA, sucD, sucC, arcA, mdh, pflB, adhE, 4-hydroxybutyryl-CoA transferase]","['sucA', 'sucD', 'adhE2', 'hbd', 'sucD', 'sucC', '4-hydroxybutyryl-CoA transferase']","['ldhA', 'arcA', 'mdh', 'pflB', 'adhE']","['lpd', 'gltA']",10.1038.NChemBio.580,C(CCO)CO,WERYXYBDKMZEQL-UHFFFAOYSA-N
10.1016/j.ymben.2014.06.009,Metabolic engineering of Escherichia coli for efficient free fatty acid production from glycerol,Metabolic Engineering,7.0,MG1655,Escherichia coli,Crude glycerol,Fatty Acids,g/L,3.75,2.0,30.0,LB,testtube,Aerobic,0.2955,"[del, del, oe,plasmid, del, del, del, del, oe,plasmid, oe,plasmid, del, del, del, oe,plasmid, oe,plasmid, del]","[fabR, rfbA, acyl-CoA thioesterase, rfbB, rfbC, rfbD, wzxB, pntB, pntA, sucC, fadD, acetolactate synthase, fabZ, nadK, rph]","['acyl-CoA thioesterase', 'pntB', 'pntA', 'fabZ', 'nadK']","['fabR', 'rfbA', 'rfbB', 'rfbC', 'rfbD', 'wzxB', 'sucC', 'fadD', 'acetolactate synthase', 'rph']",[],10.1016.j.ymben.2014.06.009,,
10.1007/s10295-011-0973-0,"Metabolic engineering of Escherichia coli for improving L-3,4-dihydroxyphenylalanine (L-DOPA) synthesis from glucose",Journal of Industrial Microbiology and Biotechnology,,W3110,Escherichia coli,Glucose,L-DOPA,g/L,320.0,235.0,37.0,M9,flask,Aerobic,54.0,"[del, oe,plasmid, del, del, oe,plasmid, promoter_switch, del, oe,plasmid,truncated, del, del, aa_snps,oe,plasmid, oe,plasmid, oe,plasmid]","[lacI, tktA, tyrR, lacZ, pheA, galP, ptsI, arogenate dehydrogenase, ptsH, crr, aroG, hpaB, hpaC]","['tkta', 'phea', 'arog', 'hpab']","['laci', 'tyrr']",['galP'],10.1007.s10295-011-0973-0,C1=CC(=C(C=C1CC(C(=O)O)N)O)O,WTDRDQBEARUVNC-LURJTMIESA-N
10.1016/j.ymben.2013.05.004,Metabolic engineering of Escherichia coli for limonene and perillyl alcohol production,Metabolic Engineering,,DH1,Escherichia coli,Glucose,,mg/L,33.0,0.0,30.0,EZRich,,Aerobic,,"[oe,plasmid, codonoptimized,oe,plasmid, oe,plasmid, codonoptimized,oe,plasmid,truncated, codonoptimized,oe,plasmid, codonoptimized,oe,plasmid, codonoptimized,oe,plasmid, codonoptimized,oe,plasmid, codonoptimized,oe,plasmid, oe,plasmid, del, del, del, del, del, del, del]","[idi, ERG19, MVK, limonene synthase, P450, PMVK, mvaS, mvaA, GPPS, atoB, None, None, None, None, gyrA, None, endA]","['idi', 'p450', 'gpps', 'atob']",[],[],10.1016.j.ymben.2013.05.004,,
10.1007/s10529-014-1600-8,Metabolic engineering of Escherichia coli for poly(3-hydroxypropionate) production from glycerol and glucose,Biotechnology Letters,,JM109(DE3),Escherichia coli,"Glycerol,Glucose",,g/L,1.6,0.0,37.0,Minimal,flask,Aerobic,,"[oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid]","[panD, panM, ydfG, prpE, phaC, &beta;-alanine transaminase]","['pand', 'panm', 'ydfg', 'prpe', 'phac']",[],[],10.1007.s10529-014-1600-8,C1=CC(=CC=C1C(=O)O)O,FJKROLUGYXJWQN-UHFFFAOYSA-N
10.1002/bit.22993,"Metabolic Engineering of Escherichia coli for the Production of 1,2-Propanediol From Glycerol",Biotechnology and Bioengineering,7.5,MG1655,Escherichia coli,Glycerol,1_2-propanediol,g/L,5.6,0.0,37.0,Minimal,bioreactor,Anaerobic,23.9,"[del, oe,plasmid, del, del, oe,plasmid, oe,plasmid, del, oe,plasmid]","[dhaK, mgsA, ldhA, ackA, yqhD, gldA, pta, dhaK]","['mgsA', 'yqhD', 'gldA', 'dhaK']","['dhaK', 'ldhA', 'ackA', 'pta']",[],10.1002.bit.22993,,
10.1016/j.ymben.2012.07.006,Metabolic engineering of Escherichia coli for the production of 1-propanol,Metabolic Engineering,6.0,MG1655,Escherichia coli,Glycerol,1-propanol,g/L,10.3,0.0,31.0,Minimal,bioreactor,Aerobic,0.259,"[del, integrated,oe, nuc_snps, del, del, del, oe,plasmid, del, del, nuc_snps,oe,plasmid, integrated,nuc_snps, del, del, oe,plasmid, nuc_snps]","[ilvH, ppc, ilvA, lysA, ilvB, iclR, cimA, ilvN, rpoS, adhE, thrA, yiaY, metA, ackA, lysC]","['ppc', 'cimA', 'adhE', 'ackA']","['ilvH', 'lysA', 'ilvB', 'iclR', 'ilvN', 'rpoS', 'yiaY', 'metA']","['ilvA', 'thrA', 'lysC']",10.1016.j.ymben.2012.07.006,CCCO,BDERNNFJNOPAEC-UHFFFAOYSA-N
