paper number,Title,doi,strain,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene,Check,feedback,Check type
3.0,Metabolic engineering of Saccharomyces cerevisiae for linalool production,10.1007.s10529-015-2000-4,YERG_HLIS,Saccharomyces cerevisiae,linalool (linalool),95 µg l^-1,defined minimal medium,galactose,20 g l^-1,"baffled, 500 ml Erlenmeyer flasks with shaking (180 rpm)",not specified,not specified,30 °C,YHLIS,ERG9,LIS;tHMG1,LIS (Lavandula angustifolia),,,yes
3.0,Metabolic engineering of Saccharomyces cerevisiae for linalool production,10.1007.s10529-015-2000-4,YLIS,Saccharomyces cerevisiae,linalool (linalool),32 µg l^-1,defined minimal medium,galactose,20 g l^-1,"baffled, 500 ml Erlenmeyer flasks with shaking (180 rpm)",not specified,not specified,30 °C,CEN.PK 113-5D,,LIS;tHMG1,LIS (Lavandula angustifolia),,,yes
3.0,Metabolic engineering of Saccharomyces cerevisiae for linalool production,10.1007.s10529-015-2000-4,YLIS,Saccharomyces cerevisiae,linalool (linalool),32 µg l^-1,defined minimal medium,galactose,20 g l^-1,"baffled, 500 ml Erlenmeyer flasks with shaking (180 rpm)",not specified,not specified,30 °C,CEN.PK 113-5D,,LIS;tHMG1,LIS (Lavandula angustifolia),,,yes
3.0,Metabolic engineering of Saccharomyces cerevisiae for linalool production,10.1007.s10529-015-2000-4,YHLIS,Saccharomyces cerevisiae,linalool (linalool),51 µg l^-1,defined minimal medium,galactose,20 g l^-1,"baffled, 500 ml Erlenmeyer flasks with shaking (180 rpm)",not specified,not specified,30 °C,CEN.PK 113-5D,,LIS;tHMG1,LIS (Lavandula angustifolia),,,yes
3.0,Metabolic engineering of Saccharomyces cerevisiae for linalool production,10.1007.s10529-015-2000-4,YHLIS,Saccharomyces cerevisiae,linalool (linalool),51 µg l^-1,defined minimal medium,galactose,20 g l^-1,"baffled, 500 ml Erlenmeyer flasks with shaking (180 rpm)",not specified,not specified,30 °C,CEN.PK 113-5D,,LIS;tHMG1,LIS (Lavandula angustifolia),,,yes
3.0,Metabolic engineering of Saccharomyces cerevisiae for linalool production,10.1007.s10529-015-2000-4,YERG_LIS,Saccharomyces cerevisiae,linalool (linalool),78 µg l^-1,defined minimal medium,galactose,20 g l^-1,"baffled, 500 ml Erlenmeyer flasks with shaking (180 rpm)",not specified,not specified,30 °C,,ERG9,LIS,LIS (Lavandula angustifolia),,,yes
3.0,Metabolic engineering of Saccharomyces cerevisiae for linalool production,10.1007.s10529-015-2000-4,YERG_LIS,Saccharomyces cerevisiae,linalool (linalool),78 µg l^-1,defined minimal medium,galactose,20 g l^-1,"baffled, 500 ml Erlenmeyer flasks with shaking (180 rpm)",not specified,not specified,30 °C,,ERG9,LIS,LIS (Lavandula angustifolia),,,yes
3.0,Metabolic engineering of Saccharomyces cerevisiae for linalool production,10.1007.s10529-015-2000-4,YERG_HLIS,Saccharomyces cerevisiae,linalool (linalool),95 µg l^-1,defined minimal medium,galactose,20 g l^-1,"baffled, 500 ml Erlenmeyer flasks with shaking (180 rpm)",not specified,not specified,30 °C,YHLIS,ERG9,LIS;tHMG1,LIS (Lavandula angustifolia),,,yes
,,,,,,,,,,,,,,,,,,,,
4.0,Enhanced production of taxadiene in Saccharomyces cerevisiae,10.1186.s12934-020-01458-2,LRS5,Saccharomyces cerevisiae,geranylgeraniol (GGOH) (geranylgeraniol),35 ± 1 mg/L,"shake flask, YPGD",galactose,2% (w/v),"shake flask, batch",6,72 h,30 °C,LRS4,,CrtE;CrtE(opt);ERG12;ERG19;ERG20;ERG8;GFP;IDI1;MBP;MvaE;MvaSA110G;TASY;TRP1_pGAL1-CrtE(X.den),TASY (Taxus cuspidata),,,yes
4.0,Enhanced production of taxadiene in Saccharomyces cerevisiae,10.1186.s12934-020-01458-2,LRS5,Saccharomyces cerevisiae,geranylgeraniol (GGOH) (geranylgeraniol),19 ± 3 mg/L,"shake flask, YPGD",galactose,2% (w/v),"shake flask, batch",6,72 h,20 °C,LRS4,,CrtE;CrtE(opt);ERG12;ERG19;ERG20;ERG8;GFP;IDI1;MBP;MvaE;MvaSA110G;TASY;TRP1_pGAL1-CrtE(X.den),TASY (Taxus cuspidata),,,yes
,,,,,,,,,,,,,,,,,,,,
5.0,Enhancing Geranylgeraniol Production by Metabolic Engineering and Utilization of Isoprenol as a Substrate in Saccharomyces cerevisiae,10.1021.acs.jafc.1c00508,Y1,Saccharomyces cerevisiae,GGOH (Geranylgeraniol),0.35 ± 0.11 mg/L,YPDD,glucose,20 g/L,shake flask,5.5,168 h,30 °C,YPH499,GAL80,BTS1;TmGGPPs,,,,yes
5.0,Enhancing Geranylgeraniol Production by Metabolic Engineering and Utilization of Isoprenol as a Substrate in Saccharomyces cerevisiae,10.1021.acs.jafc.1c00508,G8,Saccharomyces cerevisiae,GGOH (Geranylgeraniol),609.86 ± 54.15 mg/L,YPDD,glucose,20 g/L,shake flask,5.5,168 h,30 °C,S. cerevisiae G6,GAL80;HMG1;tHMG1,ERG20;PaGGPPs;PaGGPPs-DPP1;PaGGPPs-ERG20,,,,yes
5.0,Enhancing Geranylgeraniol Production by Metabolic Engineering and Utilization of Isoprenol as a Substrate in Saccharomyces cerevisiae,10.1021.acs.jafc.1c00508,G4,Saccharomyces cerevisiae,GGOH (Geranylgeraniol),6.68 ± 1.97 mg/L,YPDD,glucose,20 g/L,shake flask,5.5,168 h,30 °C,G1,GAL80;HMG1;tHMG1,ERG20;TmGGPPs;TmGGPPs-ERG20,,,,yes
5.0,Enhancing Geranylgeraniol Production by Metabolic Engineering and Utilization of Isoprenol as a Substrate in Saccharomyces cerevisiae,10.1021.acs.jafc.1c00508,G6,Saccharomyces cerevisiae,GGOH (Geranylgeraniol),539.87 ± 55.82 mg/L,YPDD,glucose,20 g/L,shake flask,5.5,168 h,30 °C,G1,GAL80;HMG1;tHMG1,ERG20;PaGGPPs;PaGGPPs-DPP1;PaGGPPs-ERG20,,,,yes
5.0,Enhancing Geranylgeraniol Production by Metabolic Engineering and Utilization of Isoprenol as a Substrate in Saccharomyces cerevisiae,10.1021.acs.jafc.1c00508,S. cerevisiae G7,Saccharomyces cerevisiae,GGOH (Geranylgeraniol),602.27 ± 51.60 mg/L,YPDD,glucose,20 g/L,shake flask,5.5,168 h,30 °C,S. cerevisiae G6,GAL80;HMG1;tHMG1,AtIPK;ERG20;PaGGPPs;PaGGPPs-DPP1;PaGGPPs-ERG20,,,,yes
5.0,Enhancing Geranylgeraniol Production by Metabolic Engineering and Utilization of Isoprenol as a Substrate in Saccharomyces cerevisiae,10.1021.acs.jafc.1c00508,S. cerevisiae G7,Saccharomyces cerevisiae,GGOH (Geranylgeraniol),465.59 ± 70.30 mg/L,YPDD,glucose,20 g/L,shake flask,5.5,168 h,30 °C,S. cerevisiae G6,GAL80;HMG1;tHMG1,AtIPK;ERG20;PaGGPPs;PaGGPPs-DPP1;PaGGPPs-ERG20,,,,yes
5.0,Enhancing Geranylgeraniol Production by Metabolic Engineering and Utilization of Isoprenol as a Substrate in Saccharomyces cerevisiae,10.1021.acs.jafc.1c00508,G8P,Saccharomyces cerevisiae,GGOH (Geranylgeraniol),31.12 ± 11.02 mg/L,YPDD,glucose,20 g/L,shake flask,5.5,168 h,30 °C,S. cerevisiae G6,GAL80;HMG1;tHMG1,ERG20;PaGGPPs;PaGGPPs-DPP1;PaGGPPs-ERG20,,,,yes
5.0,Enhancing Geranylgeraniol Production by Metabolic Engineering and Utilization of Isoprenol as a Substrate in Saccharomyces cerevisiae,10.1021.acs.jafc.1c00508,G3,Saccharomyces cerevisiae,GGOH (Geranylgeraniol),263.99 ± 8.85 mg/L,YPDD,glucose,20 g/L,shake flask,5.5,168 h,30 °C,G1,GAL80;HMG1;tHMG1,PaGGPPs;PaGGPPs-DPP1,,,,yes
5.0,Enhancing Geranylgeraniol Production by Metabolic Engineering and Utilization of Isoprenol as a Substrate in Saccharomyces cerevisiae,10.1021.acs.jafc.1c00508,G5,Saccharomyces cerevisiae,GGOH (Geranylgeraniol),164.18 ± 7.05 mg/L,YPDD,glucose,20 g/L,shake flask,5.5,168 h,30 °C,G1,GAL80;HMG1;tHMG1,ERG20;PaGGPPs;PaGGPPs-ERG20,,,,yes
5.0,Enhancing Geranylgeraniol Production by Metabolic Engineering and Utilization of Isoprenol as a Substrate in Saccharomyces cerevisiae,10.1021.acs.jafc.1c00508,G1BD,Saccharomyces cerevisiae,GGOH (Geranylgeraniol),155.23 ± 29.93 mg/L,YPDD,glucose,20 g/L,shake flask,5.5,168 h,30 °C,G1,GAL80;HMG1;tHMG1,BTS1;BTS1-DPP1,,,,yes
5.0,Enhancing Geranylgeraniol Production by Metabolic Engineering and Utilization of Isoprenol as a Substrate in Saccharomyces cerevisiae,10.1021.acs.jafc.1c00508,G8J,Saccharomyces cerevisiae,GGOH (Geranylgeraniol),144.34 ± 37.47 mg/L,YPDD,glucose,20 g/L,shake flask,5.5,168 h,30 °C,S. cerevisiae G6,GAL80;HMG1;tHMG1,ERG20;PaGGPPs;PaGGPPs-DPP1;PaGGPPs-ERG20,,,,yes
5.0,Enhancing Geranylgeraniol Production by Metabolic Engineering and Utilization of Isoprenol as a Substrate in Saccharomyces cerevisiae,10.1021.acs.jafc.1c00508,S. cerevisiae G6,Saccharomyces cerevisiae,GGOH (Geranylgeraniol),374.02 ± 20.58 mg/L,YPDD,glucose,20 g/L,shake flask,5.5,168 h,30 °C,G1,GAL80;HMG1;tHMG1,ERG20;PaGGPPs;PaGGPPs-DPP1;PaGGPPs-ERG20,,,,yes
5.0,Enhancing Geranylgeraniol Production by Metabolic Engineering and Utilization of Isoprenol as a Substrate in Saccharomyces cerevisiae,10.1021.acs.jafc.1c00508,S. cerevisiae G6,Saccharomyces cerevisiae,GGOH (Geranylgeraniol),129.81 ± 8.13 mg/L,YPD,glucose,20 g/L,shake flask,5.5,168 h,30 °C,G1,GAL80;HMG1;tHMG1,ERG20;PaGGPPs;PaGGPPs-DPP1;PaGGPPs-ERG20,,,,yes
5.0,Enhancing Geranylgeraniol Production by Metabolic Engineering and Utilization of Isoprenol as a Substrate in Saccharomyces cerevisiae,10.1021.acs.jafc.1c00508,Y5,Saccharomyces cerevisiae,GGOH (Geranylgeraniol),12.30 ± 0.51 mg/L,YPDD,glucose,20 g/L,shake flask,5.5,168 h,30 °C,Y1,GAL80,BTS1;HMG1;TmGGPPs;tHMG1,,,,yes
5.0,Enhancing Geranylgeraniol Production by Metabolic Engineering and Utilization of Isoprenol as a Substrate in Saccharomyces cerevisiae,10.1021.acs.jafc.1c00508,Y3,Saccharomyces cerevisiae,GGOH (Geranylgeraniol),1.20 ± 0.18 mg/L,YPDD,glucose,20 g/L,shake flask,5.5,168 h,30 °C,YPH499,GAL80,AtGGPPs;BTS1,,,,yes
5.0,Enhancing Geranylgeraniol Production by Metabolic Engineering and Utilization of Isoprenol as a Substrate in Saccharomyces cerevisiae,10.1021.acs.jafc.1c00508,Y2,Saccharomyces cerevisiae,GGOH (Geranylgeraniol),1.03 ± 0.37 mg/L,YPDD,glucose,20 g/L,shake flask,5.5,168 h,30 °C,YPH499,GAL80,BTS1;PaGGPPs,,,,yes
5.0,Enhancing Geranylgeraniol Production by Metabolic Engineering and Utilization of Isoprenol as a Substrate in Saccharomyces cerevisiae,10.1021.acs.jafc.1c00508,Y7,Saccharomyces cerevisiae,GGOH (Geranylgeraniol),62.96 ± 3.50 mg/L,YPDD,glucose,20 g/L,shake flask,5.5,168 h,30 °C,Y3,GAL80,AtGGPPs;BTS1;HMG1;tHMG1,,,,yes
5.0,Enhancing Geranylgeraniol Production by Metabolic Engineering and Utilization of Isoprenol as a Substrate in Saccharomyces cerevisiae,10.1021.acs.jafc.1c00508,Y6,Saccharomyces cerevisiae,GGOH (Geranylgeraniol),92.38 ± 22.14 mg/L,YPDD,glucose,20 g/L,shake flask,5.5,168 h,30 °C,Y2,GAL80,BTS1;HMG1;PaGGPPs;tHMG1,,,,yes
,,,,,,,,,,,,,,,,,,,,
6.0,Rewiring Saccharomyces cerevisiae metabolism for optimised Taxol® precursors production,10.1016.j.mec.2023.e00229,E_LRS5,Saccharomyces cerevisiae,geranylgeraniol (GGOH) (geranylgeraniol),11.8±2.3 mg/L,YP-galactose,galactose,2% (w/v),Continuous culture (chemostat),6,72 hours,30°C,LRS5,,,,,,
,,,,,,,,,,,,,,,,,,,,
7.0,Production of the Fragrance Geraniol in Peroxisomes of a Product-Tolerant Baker's Yeast,10.3389.fbioe.2020.582052,Sen_Cyt,Saccharomyces cerevisiae,geraniol (geraniol),1.53 mg/l,SC,Glucose,2%,Batch culture,Not specified,2 days,30°C,Sen,Atg36;Pex30;Pex31,GES;GPPS,GES (Ocimum basilicum);GPPS (Gallus gallus);mCherry-SKL (none specified),,,yes
7.0,Production of the Fragrance Geraniol in Peroxisomes of a Product-Tolerant Baker's Yeast,10.3389.fbioe.2020.582052,Sen_Cyt,Saccharomyces cerevisiae,geraniol (geraniol),1.53 mg/l,SC,Glucose,2%,Batch culture,Not specified,2 days,30°C,Sen,Atg36;Pex30;Pex31,GES;GPPS,GES (Ocimum basilicum);GPPS (Gallus gallus);mCherry-SKL (none specified),,,yes
7.0,Production of the Fragrance Geraniol in Peroxisomes of a Product-Tolerant Baker's Yeast,10.3389.fbioe.2020.582052,Sen_Per,Saccharomyces cerevisiae,geraniol (geraniol),1.68 mg/l,SC,Glucose,2%,Batch culture,Not specified,2 days,30°C,Sen,Atg36;Pex30;Pex31,GES;GPPS,GES (Ocimum basilicum);GPPS (Gallus gallus);mCherry-SKL (none specified),,,yes
7.0,Production of the Fragrance Geraniol in Peroxisomes of a Product-Tolerant Baker's Yeast,10.3389.fbioe.2020.582052,Sen_Per,Saccharomyces cerevisiae,geraniol (geraniol),1.68 mg/l,SC,Glucose,2%,Batch culture,Not specified,2 days,30°C,Sen,Atg36;Pex30;Pex31,GES;GPPS,GES (Ocimum basilicum);GPPS (Gallus gallus);mCherry-SKL (none specified),,,yes
7.0,Production of the Fragrance Geraniol in Peroxisomes of a Product-Tolerant Baker's Yeast,10.3389.fbioe.2020.582052,Tol_Cyt,Saccharomyces cerevisiae,geraniol (geraniol),2.44 mg/l,SC,Glucose,2%,Batch culture,Not specified,2 days,30°C,Tol,Pex30;Pex32,GES;GPPS,GES (Ocimum basilicum);GPPS (Gallus gallus);mCherry-SKL (none specified),,,yes
7.0,Production of the Fragrance Geraniol in Peroxisomes of a Product-Tolerant Baker's Yeast,10.3389.fbioe.2020.582052,Tol_Cyt,Saccharomyces cerevisiae,geraniol (geraniol),2.44 mg/l,SC,Glucose,2%,Batch culture,Not specified,2 days,30°C,Tol,Pex30;Pex32,GES;GPPS,GES (Ocimum basilicum);GPPS (Gallus gallus);mCherry-SKL (none specified),,,yes
7.0,Production of the Fragrance Geraniol in Peroxisomes of a Product-Tolerant Baker's Yeast,10.3389.fbioe.2020.582052,Tol_Per,Saccharomyces cerevisiae,geraniol (geraniol),2.75 mg/l,SC,Glucose,2%,Batch culture,Not specified,2 days,30°C,Tol,Pex30;Pex32,GES;GPPS,GES (Ocimum basilicum);GPPS (Gallus gallus);mCherry-SKL (none specified),,,yes
7.0,Production of the Fragrance Geraniol in Peroxisomes of a Product-Tolerant Baker's Yeast,10.3389.fbioe.2020.582052,Tol_Per,Saccharomyces cerevisiae,geraniol (geraniol),2.75 mg/l,SC,Glucose,2%,Batch culture,Not specified,2 days,30°C,Tol,Pex30;Pex32,GES;GPPS,GES (Ocimum basilicum);GPPS (Gallus gallus);mCherry-SKL (none specified),,,yes
,,,,,,,,,,,,,,,,,,,,
8.0,Characterization of Free and Bound Monoterpene Alcohols during Riesling Fermentation,10.1021.acs.jafc.1c01216,RHST,yeast,linalool (linalool),1.25 μM,grape juice,葡萄糖,not specified,"Erlenmeyer flask, batch fermentation",3.45,∼12% ABV,15 °C,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9.0,Engineering Yeast for De Novo Synthesis of the Insect Repellent Nepetalactone,10.1021.acssynbio.1c00420,S.cerevisiae,Saccharomyces cerevisiae,geraniol (geraniol),7.22 ± 0.06 mg/L/OD600,SC + G418,Glucose,2% w/v,Not specified,Not specified,Not specified,30°C,,,ERG20;ScHMGR;ScIDII,AgGPPS (Abies grandis);ObGES (Ocimum basilicum);tGES (Oryza brachyantha),,,yes
9.0,Engineering Yeast for De Novo Synthesis of the Insect Repellent Nepetalactone,10.1021.acssynbio.1c00420,3x-CrG8H,Saccharomyces cerevisiae,8-hydroxygeraniol (8-hydroxygeraniol),10.46 ± 2.27 mg/L/OD600,1xSC,Glucose,2% w/v,"Deep well plate, shake flask",Not specified,48-96 h,30°C,,OYE2;OYE3,CPR;CrCPR;CrG8H,8HGO (Not specified);Cr8HGO (Nepeta);ISY (Nepeta);NEPS1 (Nepeta);NEPS2 (Nepeta),,,yes
9.0,Engineering Yeast for De Novo Synthesis of the Insect Repellent Nepetalactone,10.1021.acssynbio.1c00420,3x-CrG8H,Saccharomyces cerevisiae,8-hydroxygeraniol (8-hydroxygeraniol),14.75 ± 0.77 mg/L/OD600,1xSC,Glucose,2% w/v,"Deep well plate, shake flask",Not specified,48 h,30°C,,OYE2;OYE3,CPR;CrCPR;CrG8H,8HGO (Not specified);Cr8HGO (Nepeta);ISY (Nepeta);NEPS1 (Nepeta);NEPS2 (Nepeta),,,yes
,,,,,,,,,,,,,,,,,,,,
10.0,"2,2-Diphenyl-1-picrylhydrazyl as a screening tool for recombinant monoterpene biosynthesis",10.1186.1475-2859-12-76,S. cerevisiae EPY210C,Saccharomyces cerevisiae,limonene (Limonene),1.48 ± 0.22 mg/l,YP +,Galactose,18 g/L,Shake Flask,6.3,120 h,30°C,,tHMGR,CLLS;MSLS;upc2-1,CLLS (Citrus limon);MSLS (Mentha spicata);limonene synthase (Citrus limon),,,yes
,,,,,,,,,,,,,,,,,,,,
11.0,Dynamic control of ERG20 expression combined with minimized endogenous downstream metabolism contributes to the improvement of geraniol production in Saccharomyces cerevisiae,10.1186.s12934-017-0641-9,YZG14 (Δoye2),Saccharomyces cerevisiae,geraniol (geraniol),421.7 mg/L,SD-URA-HIS,Glucose,"Fed-batch, 400 g/L glucose at 0.1/h",Fed-batch,5.0,,30 °C,YZG13-GE1,ATF1;OYE2,ERG20;IDI1;UPC2.1;tVoGES,tHMG1 (Not specified),,,yes
11.0,Dynamic control of ERG20 expression combined with minimized endogenous downstream metabolism contributes to the improvement of geraniol production in Saccharomyces cerevisiae,10.1186.s12934-017-0641-9,YZG20,Saccharomyces cerevisiae,geraniol (geraniol),984.6 mg/L,SD-URA-HIS,Ethanol,400 g/L,"Fed-batch, pure ethanol",5.0,,30 °C,YZG19,ATF1;OYE2,ERG20;IDI1;UPC2.1;tVoGES,tHMG1 (Not specified),,,yes
11.0,Dynamic control of ERG20 expression combined with minimized endogenous downstream metabolism contributes to the improvement of geraniol production in Saccharomyces cerevisiae,10.1186.s12934-017-0641-9,YZG19,Saccharomyces cerevisiae,geraniol (geraniol),slightly increased (from 32.7 mg/g DCW),SD-URA-HIS,Glucose/Ethanol,50 g/L glucose & 350 g/L ethanol,"Fed-batch, 1:7 mix",5.0,,30 °C,YZG13-GE1,ATF1;OYE2,ERG20;IDI1;UPC2.1;tVoGES,tHMG1 (Not specified),,,yes
11.0,Dynamic control of ERG20 expression combined with minimized endogenous downstream metabolism contributes to the improvement of geraniol production in Saccharomyces cerevisiae,10.1186.s12934-017-0641-9,YZG19,Saccharomyces cerevisiae,geraniol (geraniol),867.7 mg/L,SD-URA-HIS,Ethanol,400 g/L,"Fed-batch, 1:7 mix",5.0,,30 °C,YZG13-GE1,ATF1;OYE2,ERG20;IDI1;UPC2.1;tVoGES,tHMG1 (Not specified),,,yes
11.0,Dynamic control of ERG20 expression combined with minimized endogenous downstream metabolism contributes to the improvement of geraniol production in Saccharomyces cerevisiae,10.1186.s12934-017-0641-9,YZG16 (Δoye2Δatf1),Saccharomyces cerevisiae,geraniol (geraniol),46.1 mg/L,SD-URA-HIS,Glucose,"Fed-batch, 400 g/L glucose at 0.1/h",Fed-batch,5.0,,30 °C,YZG13-GE1,ATF1;OYE2,ERG20;IDI1;UPC2.1;tVoGES,tHMG1 (Not specified),,,yes
11.0,Dynamic control of ERG20 expression combined with minimized endogenous downstream metabolism contributes to the improvement of geraniol production in Saccharomyces cerevisiae,10.1186.s12934-017-0641-9,YZG16,Saccharomyces cerevisiae,geraniol (geraniol),9.6 mg/g DCW,SD-URA-HIS,Glucose,Not specified,Batch,5.0,12 h,30 °C,YZG13-GE1,ATF1;OYE2,ERG20;IDI1;UPC2.1;tVoGES,tHMG1 (Not specified),,,yes
11.0,Dynamic control of ERG20 expression combined with minimized endogenous downstream metabolism contributes to the improvement of geraniol production in Saccharomyces cerevisiae,10.1186.s12934-017-0641-9,YZG16,Saccharomyces cerevisiae,geraniol (geraniol),32.2 mg/L,SD-URA-HIS,Glucose,Not specified,Batch,5.0,12 h,30 °C,YZG13-GE1,ATF1;OYE2,ERG20;IDI1;UPC2.1;tVoGES,tHMG1 (Not specified),,,yes
11.0,Dynamic control of ERG20 expression combined with minimized endogenous downstream metabolism contributes to the improvement of geraniol production in Saccharomyces cerevisiae,10.1186.s12934-017-0641-9,YZG14,Saccharomyces cerevisiae,geraniol (geraniol),57.8 mg/g DCW,SD-URA-HIS,Glucose,Not specified,Batch,5.0,12 h,30 °C,YZG13-GE1,ATF1;OYE2,ERG20;IDI1;UPC2.1;tVoGES,tHMG1 (Not specified),,,yes
11.0,Dynamic control of ERG20 expression combined with minimized endogenous downstream metabolism contributes to the improvement of geraniol production in Saccharomyces cerevisiae,10.1186.s12934-017-0641-9,YZG14,Saccharomyces cerevisiae,geraniol (geraniol),285.9 mg/L,SD-URA-HIS,Glucose,Not specified,Batch,5.0,12 h,30 °C,YZG13-GE1,ATF1;OYE2,ERG20;IDI1;UPC2.1;tVoGES,tHMG1 (Not specified),,,yes
11.0,Dynamic control of ERG20 expression combined with minimized endogenous downstream metabolism contributes to the improvement of geraniol production in Saccharomyces cerevisiae,10.1186.s12934-017-0641-9,YZG15,Saccharomyces cerevisiae,geraniol (geraniol),58.2 mg/g DCW,SD-URA-HIS,Glucose,Not specified,Batch,5.0,12 h,30 °C,YZG13-GE1,ATF1;OYE2,ERG20;IDI1;UPC2.1;tVoGES,tHMG1 (Not specified),,,yes
11.0,Dynamic control of ERG20 expression combined with minimized endogenous downstream metabolism contributes to the improvement of geraniol production in Saccharomyces cerevisiae,10.1186.s12934-017-0641-9,YZG15,Saccharomyces cerevisiae,geraniol (geraniol),371.1 mg/L,SD-URA-HIS,Glucose,"Fed-batch, 400 g/L glucose at 0.1/h",Fed-batch,5.0,,30 °C,YZG13-GE1,ATF1;OYE2,ERG20;IDI1;UPC2.1;tVoGES,tHMG1 (Not specified),,,yes
11.0,Dynamic control of ERG20 expression combined with minimized endogenous downstream metabolism contributes to the improvement of geraniol production in Saccharomyces cerevisiae,10.1186.s12934-017-0641-9,YZG15,Saccharomyces cerevisiae,geraniol (geraniol),259.8 mg/L,SD-URA-HIS,Glucose,Not specified,Batch,5.0,12 h,30 °C,YZG13-GE1,ATF1;OYE2,ERG20;IDI1;UPC2.1;tVoGES,tHMG1 (Not specified),,,yes
