paper number,doi,strain names,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene,parent strain_x,knock out gene_x,overexpress gene_x,heterologous gene_x,parent strain_y,knock out gene_y,overexpress gene_y,heterologous gene_y,knockout gene
p3,10.1186.1475-2859-10-97,E. coli BW25113 (pRJ11),Escherichia coli,"1,2-propanediol (1,2-propanediol)",0.8 g/L,low-phosphate minimum medium,glucose,20 g/L,"150 mL serum bottle, batch",6.8,48 h,30°C,wild type E. coli BW25113,none,"ydjG, budC, mgsA","mgsA (B. subtilis), ydjG (E. coli), budC (K. pneumoniae)",,,,,,,,,
p3,10.1186.1475-2859-10-97,E. coli BW25113 (pRJ11 + pYY93),Escherichia coli,1-propanol (1-propanol),0.25 g/L,low-phosphate minimum medium,glucose,20 g/L,"150 mL serum bottle, batch",6.8,48 h,30°C,wild type E. coli BW25113,none,"ydjG, budC, mgsA, ppdABC","mgsA (B. subtilis), ydjG (E. coli), budC (K. pneumoniae), ppdABC (K. oxytoca)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
p4,10.1186.1475-2859-11-68,BY4742 (wild-type),Saccharomyces cerevisiae,"2,3-butanediol (2,3-Butanediol)",0.04 g·L⁻¹,SC dropout medium,glucose,20 g·L⁻¹,"250 mL Erlenmeyer flask, batch",not specified,"~60 h (microaerobic), ~80 h (anaerobic)",30°C,BY4742,,none,none,,,,,,,,,none
p4,10.1186.1475-2859-11-68,B2C-a1 (Δadh1),Saccharomyces cerevisiae,"2,3-butanediol (2,3-Butanediol)",0.825 g·L⁻¹,SC dropout medium,glucose,20 g·L⁻¹,"250 mL Erlenmeyer flask, batch",not specified,~60 h,30°C,BY4742,,none,none,,,,,,,,,ADH1
p4,10.1186.1475-2859-11-68,B2C-a1a3 (Δadh1 Δadh3),Saccharomyces cerevisiae,"2,3-butanediol (2,3-Butanediol)",1.54 g·L⁻¹,SC dropout medium,glucose,20 g·L⁻¹,"250 mL Erlenmeyer flask, batch",not specified,~60 h,30°C,BY4742,,none,none,,,,,,,,,"ADH1, ADH3"
p4,10.1186.1475-2859-11-68,B2C-a1a5 (Δadh1 Δadh5),Saccharomyces cerevisiae,"2,3-butanediol (2,3-Butanediol)",1.42 g·L⁻¹,SC dropout medium,glucose,20 g·L⁻¹,"250 mL Erlenmeyer flask, batch",not specified,~60 h,30°C,BY4742,,none,none,,,,,,,,,"ADH1, ADH5"
p4,10.1186.1475-2859-11-68,B2C-a1a3a5 (Δadh1 Δadh3 Δadh5),Saccharomyces cerevisiae,"2,3-butanediol (2,3-Butanediol)",1.64 g·L⁻¹,SC dropout medium,glucose,20 g·L⁻¹,"250 mL Erlenmeyer flask, batch",not specified,~60 h,30°C,BY4742,,none,none,,,,,,,,,"ADH1, ADH3, ADH5"
p4,10.1186.1475-2859-11-68,B2C-a1a3a5 (Δadh1 Δadh3 Δadh5),Saccharomyces cerevisiae,"2,3-butanediol (2,3-Butanediol)",2.29 g·L⁻¹,SC dropout medium,glucose,20 g·L⁻¹,"150 mL serum bottle, batch",not specified,~80 h (anaerobic),30°C,BY4742,,none,none,,,,,,,,,"ADH1, ADH3, ADH5"
p4,10.1186.1475-2859-11-68,B2C-a1a6 (Δadh1 Δald6),Saccharomyces cerevisiae,"2,3-butanediol (2,3-Butanediol)",0.089 g·g⁻¹ yield (not reported titer),SC dropout medium,glucose,20 g·L⁻¹,"250 mL Erlenmeyer flask, batch",not specified,~60 h,30°C,BY4742,,BDH1,"alsS, budA, budC",,,,,,,,,"ADH1, ALD6"
p4,10.1186.1475-2859-11-68,B2C-a1a5-ABC,Saccharomyces cerevisiae,"2,3-butanediol (2,3-Butanediol)",1.67 g·L⁻¹,SC dropout medium,glucose,20 g·L⁻¹,"250 mL Erlenmeyer flask, batch",not specified,~60 h,30°C,BY4742,,none,"alsS, budA, budC",,,,,,,,,"ADH1, ADH5"
p4,10.1186.1475-2859-11-68,B2C-a1a6-ABC,Saccharomyces cerevisiae,"2,3-butanediol (2,3-Butanediol)",not reported (yield: 0.0887 g·g⁻¹),SC dropout medium,glucose,20 g·L⁻¹,"250 mL Erlenmeyer flask, batch",not specified,~60 h,30°C,BY4742,,BDH1,"alsS, budA, budC",,,,,,,,,"ADH1, ALD6"
p4,10.1186.1475-2859-11-68,B2C-a1a3a5a6g2 (quintuple deletion),Saccharomyces cerevisiae,"2,3-butanediol (2,3-Butanediol)",not reported,SC dropout medium,glucose,20 g·L⁻¹,"250 mL Erlenmeyer flask, batch",not specified,~60 h,30°C,BY4742,,none,none,,,,,,,,,"ADH1, ADH3, ADH5, ALD6, GPD2"
,,,,,,,,,,,,,,,,,,,,,,,,,
p5,10.1186.1754-6834-6-57,YY159,Escherichia coli,isoprenol (3-Methyl-3-buten-1-ol),1.3 g/L,defined medium,glucose,30 g/L,shake flask,2.0 (adjusted post-culture),32 h post-induction,30°C,,,,,E. coli DNF (DE3),IDI1,BsNudF,"HMGS, tHMGR, mvaS, mvaE, ERG12, ERG8, ERG19",ISP2148,IDI1,BsNudF;ERG12;ERG19;ERG8;EcNudF;HMG-CoA reductase;HMG-CoA synthase;MvaS;nudC;yggV,ERG12 (S. cerevisiae);ERG19 (Saccharomyces cerevisiae);ERG8 (Saccharomyces cerevisiae);HMG-CoA reductase (Saccharomyces cerevisiae);HMG-CoA synthase (Saccharomyces cerevisiae);MvaS (Enterococcus faecalis);mvaE (Enterococcus faecalis);mvaS (Enterococcus faecalis),
p5,10.1186.1754-6834-6-57,YY168,Escherichia coli,prenol (3-methyl-2-buten-1-ol),0.2 g/L (~80% of total isopentenols),defined medium,glucose,30 g/L,shake flask,2.0 (adjusted post-culture),32 h post-induction,30°C,,,,,E. coli DNF (DE3),none,EcNudF,"HMGS, tHMGR, mvaS, mvaE, ERG12, ERG8, ERG19, IDI1",ISP2148,,BsNudF;ERG12;ERG19;ERG8;EcNudF;HMG-CoA reductase;HMG-CoA synthase;MvaS;nudC;yggV,ERG12 (Saccharomyces cerevisiae);ERG19 (S. cerevisiae);ERG8 (Saccharomyces cerevisiae);HMG-CoA reductase (Saccharomyces cerevisiae);HMG-CoA synthase (Enterococcus faecalis);MvaS (Enterococcus faecalis);mvaE (Enterococcus faecalis);mvaS (Enterococcus faecalis),
,,,,,,,,,,,,,,,,,,,,,,,,,
p6,10.1186.s12934-014-0104-5,RF01S,Escherichia coli,riboflavin (vitamin B2),229.1 mg/L,LB,glucose,1% (w/v),shake flask,not specified,48 h,37°C,,,,,E. coli MG1655,none,ribABDEC (under trc promoter),none,MG1655,,ribA;ribB;ribC;ribD;ribE,,
p6,10.1186.s12934-014-0104-5,RF02S,Escherichia coli,riboflavin (vitamin B2),394.8 mg/L,LB,glucose,1% (w/v),shake flask,not specified,48 h,37°C,,,,,RF02 (Δpgi),pgi,ribABDEC (under trc promoter),none,RF02,pgi,ribA;ribB;ribC;ribD;ribE,,
p6,10.1186.s12934-014-0104-5,RF03S,Escherichia coli,riboflavin (vitamin B2),559.88 mg/L,LB,glucose,1% (w/v),shake flask,not specified,48 h,37°C,,,,,RF03 (Δpgi Δedd Δeda),"pgi, edd, eda",ribABDEC (under trc promoter),none,RF03,eda;edd;pgi,ribA;ribB;ribC;ribD;ribE,,
p6,10.1186.s12934-014-0104-5,RF05S,Escherichia coli,riboflavin (vitamin B2),585.2 mg/L,LB,glucose,1% (w/v),shake flask,not specified,48 h,37°C,,,,,RF05 (Δpgi Δedd Δeda + trc-acs),"pgi, edd, eda","acs (under trc promoter), ribABDEC (under trc promoter)",none,RF05,eda;edd;pgi,acs;ribA;ribB;ribC;ribD;ribE,,
p6,10.1186.s12934-014-0104-5,RF05S-M40,Escherichia coli,riboflavin (vitamin B2),1036.1 mg/L,LB,glucose,10 g/L,shake flask,not specified,48 h,37°C,,,,,RF05S,none,"ribF (RBS-modulated), ribABDEC (under trc promoter), acs (under trc promoter)",none,RF05S,eda;edd;pgi,acs;ribA;ribB;ribC;ribD;ribE,ribF (E. coli),
p6,10.1186.s12934-014-0104-5,RF05S-M40,Escherichia coli,riboflavin (vitamin B2),1507.0 mg/L,LB,glucose,10 g/L,shake flask,not specified,48 h,31°C,,,,,RF05S-M40,none,"ribF (RBS-modulated), ribABDEC (under trc promoter), acs (under trc promoter)",none,RF05S,eda;edd;pgi,acs;ribA;ribB;ribC;ribD;ribE,ribF (E. coli),
p6,10.1186.s12934-014-0104-5,RF05S-M40,Escherichia coli,riboflavin (vitamin B2),2702.8 mg/L,optimized MS medium,glucose,20 g/L,shake flask,not specified,60 h,31°C,,,,,RF05S-M40,none,"ribF (RBS-modulated), ribABDEC (under trc promoter), acs (under trc promoter)",none,RF05S,eda;edd;pgi,acs;ribA;ribB;ribC;ribD;ribE,ribF (E. coli),
,,,,,,,,,,,,,,,,,,,,,,,,,
p7,10.1186.s12934-014-0135-y,E. coli W3110(DE3)/pACYC-yhfR,Escherichia coli,isoprenol and prenol (isopentenol),<1 mg L⁻¹,M9 semi-defined medium,glucose,10 g L⁻¹,"250 mL shaking flask, batch",not specified,48 h,"37 °C (initial), then 30 °C after IPTG",,,,,E. coli W3110,none,none,yhfR,E. coli W3110 (DE3),,yhfR,,
p7,10.1186.s12934-014-0135-y,E. coli W3110 (DE3)/pACYC-nudF,Escherichia coli,prenol: 2.6 mg L⁻¹<br>isoprenol: 2.2 mg L⁻¹ (isopentenol),2.6 mg L⁻¹ (prenol)<br>2.2 mg L⁻¹ (isoprenol),M9 semi-defined medium,glucose,10 g L⁻¹,"250 mL shaking flask, batch",not specified,48 h,"37 °C (initial), then 30 °C after IPTG",,,,,E. coli W3110,none,none,nudF,E. coli W3110 (DE3),,nudF,,
p7,10.1186.s12934-014-0135-y,E. coli W3110 (DE3)/pACYC-ispG-nudF,Escherichia coli,isopentenol (isopentenol),1.6-fold increase vs EWIP2,M9 semi-defined medium,glucose,10 g L⁻¹,"250 mL shaking flask, batch",not specified,48 h,"37 °C (initial), then 30 °C after IPTG",,,,,E. coli W3110,none,"ispG, nudF",none,E. coli W3110 (DE3),,ispG;nudF,,
,,,,,,,,,,,,,,,,,,,,,,,,,
p8,10.1186.s12934-014-0160-x,YJM39,E. coli,β-carotene (beta-carotene),1.08±0.07 mg/L,fermentation medium,glucose,20 g/L,shake-flask,-,24 h,30°C,,,,,E. coli BL21(DE3),-,"dxs, fni (from B. subtilis), crtE, crtB, crtI, crtY (from E. herbicola)","mvaE, mvaS (from E. faecalis), Erg8, Erg12, Erg19, IDI1 (from S. cerevisiae), GPPS2 (from A. grandis)",E. coli BL21(DE3)/pAC-BETA,,,dxs (Bacillus subtilis),
p8,10.1186.s12934-014-0160-x,YJM40,E. coli,β-carotene (beta-carotene),2.24±0.1 mg/L,fermentation medium,glucose,20 g/L,shake-flask,-,24 h,30°C,,,,,E. coli BL21(DE3),-,"dxs (from B. subtilis), crtE, crtB, crtI, crtY (from E. herbicola)","mvaE, mvaS (from E. faecalis), Erg8, Erg12, Erg19, IDI1 (from S. cerevisiae), GPPS2 (from A. grandis)",E. coli BL21(DE3)/pAC-BETA,,DXS,dxs (Bacillus subtilis),
p8,10.1186.s12934-014-0160-x,YJM41,E. coli,β-carotene (beta-carotene),5.2±0.2 mg/L,fermentation medium,glucose,20 g/L,shake-flask,-,24 h,30°C,,,,,E. coli BL21(DE3),-,"dxs, fni (from B. subtilis), crtE, crtB, crtI, crtY (from E. herbicola)","mvaE, mvaS (from E. faecalis), Erg8, Erg12, Erg19, IDI1 (from S. cerevisiae), GPPS2 (from A. grandis)","E. coli BL21(DE3)/pAC-BETA, pYJM40",,DXS;FNI,dxs (Bacillus subtilis);fni (Bacillus subtilis),
p8,10.1186.s12934-014-0160-x,YJM42,E. coli,β-carotene (beta-carotene),7.86±0.2 mg/L,fermentation medium,glucose,20 g/L,shake-flask,-,24 h,30°C,,,,,E. coli BL21(DE3),-,"dxs, fni (from B. subtilis), IspA (from E. coli), crtE, crtB, crtI, crtY (from E. herbicola)","mvaE, mvaS (from E. faecalis), Erg8, Erg12, Erg19, IDI1 (from S. cerevisiae), GPPS2 (from A. grandis)",E. coli BL21(DE3)/pAC-BETA,,IspA,GPPS2 (Abies grandis),
p8,10.1186.s12934-014-0160-x,YJM43,E. coli,β-carotene (beta-carotene),15.2±0.4 mg/L,fermentation medium,glucose,20 g/L,shake-flask,-,24 h,30°C,,,,,E. coli BL21(DE3),-,"dxs, fni (from B. subtilis), GPPS2 (from A. grandis), crtE, crtB, crtI, crtY (from E. herbicola)","mvaE, mvaS (from E. faecalis), Erg8, Erg12, Erg19, IDI1 (from S. cerevisiae)",,,GPPS2;IspA,GPPS2 (Abies grandis),
p8,10.1186.s12934-014-0160-x,YJM44,E. coli,β-carotene (beta-carotene),52.6±1.5 mg/L,fermentation medium,glucose,20 g/L,shake-flask,-,24 h,30°C,,,,,E. coli BL21(DE3),-,"mvaE, mvaS (from E. faecalis), Erg8, Erg12, Erg19, IDI1 (from S. cerevisiae), crtE, crtB, crtI, crtY (from E. herbicola)","dxs, fni (from B. subtilis), GPPS2 (from A. grandis)",E. coli BL21(DE3)/pAC-BETA,,MVA upper pathway genes,mvaE (Enterococcus faecalis);mvaS (Enterococcus faecalis),
p8,10.1186.s12934-014-0160-x,YJM45,E. coli,β-carotene (beta-carotene),71.4±4.3 mg/L,fermentation medium,glucose,20 g/L,shake-flask,-,24 h,30°C,,,,,E. coli BL21(DE3),-,"mvaE, mvaS (from E. faecalis), Erg8, Erg12, Erg19, IDI1 (from S. cerevisiae), dxs, fni (from B. subtilis), GPPS2 (from A. grandis), crtE, crtB, crtI, crtY (from E. herbicola)",-,E. coli BL21(DE3)/pAC-BETA,,MVA upper pathway genes,mvaE (Enterococcus faecalis);mvaS (Enterococcus faecalis),
,,,,,,,,,,,,,,,,,,,,,,,,,
p9,10.1186.1475-2859-12-119,BSW100,Saccharomyces cerevisiae,isobutanol (isobutanol),22 ± 1 mg/L,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,72 h,30°C,,,,,BY4741,none,none,"kivd, ILV2, ADH6",BY4741,,ADH6;ILV2;kivd,,
p9,10.1186.1475-2859-12-119,BSW100 irc15Δ,Saccharomyces cerevisiae,isobutanol (isobutanol),not significantly different,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,72 h,30°C,,,,,BY4741,irc15Δ,none,"kivd, ILV2, ADH6",BY4741,irc15,ADH6;ILV2;kivd,,
p9,10.1186.1475-2859-12-119,BSW100 pdc5Δ,Saccharomyces cerevisiae,isobutanol (isobutanol),not significantly different,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,72 h,30°C,,,,,BY4741,pdc5Δ,none,"kivd, ILV2, ADH6",BY4741,pdc5,ADH6;ILV2;kivd,,
p9,10.1186.1475-2859-12-119,BSW100 pdc6Δ,Saccharomyces cerevisiae,isobutanol (isobutanol),not significantly different,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,72 h,30°C,,,,,BY4741,pdc6Δ,none,"kivd, ILV2, ADH6",BY4741,pdc6,ADH6;ILV2;kivd,,
p9,10.1186.1475-2859-12-119,BSW100 mae1Δ,Saccharomyces cerevisiae,isobutanol (isobutanol),not significantly different,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,72 h,30°C,,,,,BY4741,mae1Δ,none,"kivd, ILV2, ADH6",BY4741,mae1,ADH6;ILV2;kivd,,
p9,10.1186.1475-2859-12-119,BSW100 pyc2Δ,Saccharomyces cerevisiae,isobutanol (isobutanol),not significantly different,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,72 h,30°C,,,,,BY4741,pyc2Δ,none,"kivd, ILV2, ADH6",BY4741,pyc2,ADH6;ILV2;kivd,,
p9,10.1186.1475-2859-12-119,BSW100 thi3Δ,Saccharomyces cerevisiae,isobutanol (isobutanol),slightly reduced,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,72 h,30°C,,,,,BY4741,thi3Δ,none,"kivd, ILV2, ADH6",BY4741,thi3,ADH6;ILV2;kivd,,
p9,10.1186.1475-2859-12-119,BSW100 dld1Δ,Saccharomyces cerevisiae,isobutanol (isobutanol),slightly increased,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,72 h,30°C,,,,,BY4741,dld1Δ,none,"kivd, ILV2, ADH6",BY4741,dld1,ADH6;ILV2;kivd,,
p9,10.1186.1475-2859-12-119,BSW100 pyc1Δ,Saccharomyces cerevisiae,isobutanol (isobutanol),slightly increased,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,72 h,30°C,,,,,BY4741,pyc1Δ,none,"kivd, ILV2, ADH6",BY4741,pyc1,ADH6;ILV2;kivd,,
p9,10.1186.1475-2859-12-119,BSW100 pda1Δ,Saccharomyces cerevisiae,isobutanol (isobutanol),138–159 mg/L,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,72 h,30°C,,,,,BY4741,pda1Δ,none,"kivd, ILV2, ADH6",BY4741,pda1,ADH6;ILV2;kivd,,
p9,10.1186.1475-2859-12-119,BSW100 pdb1Δ,Saccharomyces cerevisiae,isobutanol (isobutanol),138–159 mg/L,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,72 h,30°C,,,,,BY4741,pdb1Δ,none,"kivd, ILV2, ADH6",BY4741,pdb1,ADH6;ILV2;kivd,,
p9,10.1186.1475-2859-12-119,BSW100 lpd1Δ,Saccharomyces cerevisiae,isobutanol (isobutanol),138–159 mg/L,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,72 h,30°C,,,,,BY4741,lpd1Δ,none,"kivd, ILV2, ADH6",BY4741,lpd1,ADH6;ILV2;kivd,,
p9,10.1186.1475-2859-12-119,BSW100 lat1Δ,Saccharomyces cerevisiae,isobutanol (isobutanol),138–159 mg/L,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,72 h,30°C,,,,,BY4741,lat1Δ,none,"kivd, ILV2, ADH6",BY4741,lat1,ADH6;ILV2;kivd,,
p9,10.1186.1475-2859-12-119,BSW101,Saccharomyces cerevisiae,isobutanol (isobutanol),68–77 mg/L,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,72 h,30°C,,,,,BY4741,"pda1Δ, pdb1Δ, lpd1Δ, lat1Δ",none,none,BY4741,,ADH6;ILV2;kivd,,
p9,10.1186.1475-2859-12-119,BSW4,Saccharomyces cerevisiae,isobutanol (isobutanol),45 ± 4 mg/L,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,48 h,30°C,,,,,YPH499,none,none,"kivd, ADH6",YPH499,,ADH6;kivd,,
p9,10.1186.1475-2859-12-119,BSW8,Saccharomyces cerevisiae,isobutanol (isobutanol),71 ± 6 mg/L,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,48 h,30°C,,,,,YPH499,none,MAE1,"kivd, ADH6, ILV2",YPH499,,ADH6;MAE;MAE1;kivd,,
p9,10.1186.1475-2859-12-119,BSW10,Saccharomyces cerevisiae,isobutanol (isobutanol),83 ± 2 mg/L,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,48 h,30°C,,,,,YPH499,none,"MDH2, Pyc2, MAE1","kivd, ADH6, ILV2",YPH499,,ADH6;MDH;MDH2;PYC;PYC2;kivd,,
p9,10.1186.1475-2859-12-119,BSW13,Saccharomyces cerevisiae,isobutanol (isobutanol),23 ± 3 mg/L,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,48 h,30°C,,,,,YPH499,none,none,"kivd, ADH6, LEU2",YPH499,,ADH6;kivd,,
p9,10.1186.1475-2859-12-119,BSW17,Saccharomyces cerevisiae,isobutanol (isobutanol),117 ± 6 mg/L,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,48 h,30°C,,,,,YPH499,none,"MDH2, Pyc2, sMAE1 (cytosolic)","kivd, ADH6, ILV2",YPH499,,ADH6;ILV2;MDH;MDH2;Pyc2p;kivd,,
p9,10.1186.1475-2859-12-119,BSW18,Saccharomyces cerevisiae,isobutanol (isobutanol),139 ± 4 mg/L,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,48 h,30°C,,,,,YPH499,none,MAE1 (mitochondrial),"kivd, ADH6, ILV2",YPH499,,ADH6;ILV2;MAE;MAE1;kivd,,
p9,10.1186.1475-2859-12-119,BSW19,Saccharomyces cerevisiae,isobutanol (isobutanol),decreased,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,48 h,30°C,,,,,YPH499,none,"MDH2, Pyc2, MAE1","kivd, ADH6, ILV2",,,,,
p9,10.1186.1475-2859-12-119,BSW20,Saccharomyces cerevisiae,isobutanol (isobutanol),decreased,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,48 h,30°C,,,,,YPH499,none,"MDH2, Pyc2, MAE1","kivd, ADH6, ILV2",,,,,
p9,10.1186.1475-2859-12-119,BSW187,Saccharomyces cerevisiae,isobutanol (isobutanol),46 ± 14 mg/L,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,48 h,30°C,,,,,BY4741,none,none,"kivd, ADH6, ILV2, cytosolic pathway",BY4741,,ADH6;ILV2;ILV2c;ILV3c;ILV5c;kivd,,
p9,10.1186.1475-2859-12-119,BSW191,Saccharomyces cerevisiae,isobutanol (isobutanol),83 ± 2 mg/L,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,48 h,30°C,,,,,YPH499,lpd1Δ,"PYC2, MDH2, sMAE1 (cytosolic)","kivd, ADH6, ILV2",BY4741,,ADH6;ILV2;MAE;MAE1;MDH;MDH2;PYC;PYC2;kivd;sMAE1,,
p9,10.1186.1475-2859-12-119,BSW192,Saccharomyces cerevisiae,isobutanol (isobutanol),94 ± 5 mg/L,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,48 h,30°C,,,,,YPH499,lpd1Δ,MAE1 (mitochondrial),"kivd, ADH6, ILV2",,,,,
p9,10.1186.1475-2859-12-119,BSW205,Saccharomyces cerevisiae,isobutanol (isobutanol),230 ± 13 mg/L,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,48 h,30°C,,,,,YPH499,lpd1Δ,"MAE1 (mitochondrial), PYC2, MDH2, sMAE1 (cytosolic)","kivd, ADH6, ILV2",BSW192,LPD1,ADH6;ILV2;MAE;MAE1;kivd;sMAE1,,
p9,10.1186.1475-2859-12-119,BSW206,Saccharomyces cerevisiae,isobutanol (isobutanol),221 ± 27 mg/L,SD minimal medium,glucose,20 g/L,"5 mL flask, batch",not specified,48 h,30°C,,,,,YPH499,lpd1Δ,"MAE1 (mitochondrial), PYC2, MDH2, sMAE1 (cytosolic)","kivd, ADH6, ILV2",BSW191,LPD1,ADH6;ILV2;MAE;MAE1;MDH;MDH2;PMsM;PYC;PYC2;kivd;sMAE1,,
p9,10.1186.1475-2859-12-119,BSW205,Saccharomyces cerevisiae,isobutanol (isobutanol),1.62 ± 0.11 g/L,YP medium,glucose,100 g/L,"50 mL closed bottle, batch",not specified,24 h,30°C,,,,,YPH499,lpd1Δ,"MAE1 (mitochondrial), PYC2, MDH2, sMAE1 (cytosolic)","kivd, ADH6, ILV2",BSW192,LPD1,ADH6;ILV2;MAE;MAE1;kivd;sMAE1,,
p9,10.1186.1475-2859-12-119,BSW206,Saccharomyces cerevisiae,isobutanol (isobutanol),1.61 ± 0.03 g/L,YP medium,glucose,100 g/L,"50 mL closed bottle, batch",not specified,24 h,30°C,,,,,YPH499,lpd1Δ,"MAE1 (mitochondrial), PYC2, MDH2, sMAE1 (cytosolic)","kivd, ADH6, ILV2",BSW191,LPD1,ADH6;ILV2;MAE;MAE1;MDH;MDH2;PMsM;PYC;PYC2;kivd;sMAE1,,
,,,,,,,,,,,,,,,,,,,,,,,,,
p10,10.1186.1475-2859-13-21,E. coli BW25113 (ΔaroKΔaroL),Escherichia coli,Shikimic acid (Shikimic acid),0.15 ± 0.04 g/L,Fermentation medium,Glucose,10 g/L,"15 mL culture tube, batch",7.0,72 h,37°C,,,,,E. coli BW2511,"aroK, aroL",-,-,E. coli BW2511,aroK;aroL,,,
p10,10.1186.1475-2859-13-21,"E. coli BW25113 (ΔaroKΔaroL, P pps ::P lacQ1 , P csrB ::P lacQ1 )",Escherichia coli,Shikimic acid (Shikimic acid),0.23 ± 0.02 g/L,Fermentation medium,Glucose,10 g/L,"15 mL culture tube, batch",7.0,72 h,37°C,,,,,E. coli BW25113 (ΔaroKΔaroL),"aroK, aroL","pps, csrB",-,E. coli BW25113,,csrB;pps,,
