paper number,doi,strain,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,oxygen level,parent strain,time,temperature,knock out gene,overexpress gene,heterologous gene,check
p5,10.1002.bit.24547,ZD-T-026,Saccharomyces cerevisiae,miltiradiene (miltiradiene),11.3 mg/g,YPD,Glucose,,5 L fermentor,5.5,Controlled,ZD-T-024,6 days,30°C,,BTS1;ERG20;ERG20-BTS1;ERG20-BTS1-SaGGPS;SaGGPS;SmCPS;SmKSL;tHMGR;tHMGR-upc2.1;upc2.1,SaGGPS;SmCPS;SmKSL,yes
p5,10.1002.bit.24547,ZD-T-024,Saccharomyces cerevisiae,miltiradiene (miltiradiene),25.7 mg/L,YPD,Glucose,200 mg/L,Shake flask,,Aerobic,ZD-T-010,,30°C,,BTS1;ERG20;ERG20-BTS1;ERG20-BTS1-SaGGPS;SaGGPS;SmCPS;SmKSL,SaGGPS;SmCPS;SmKSL,yes
p5,10.1002.bit.24547,ZD-T-023,Saccharomyces cerevisiae,miltiradiene (miltiradiene),28.2 mg/L,YPD,Glucose,200 mg/L,Shake flask,,Aerobic,ZD-T-010,,30°C,,BTS1;ERG20;ERG20-BTS1;ERG20-BTS1-SaGGPS;SaGGPS;SmCPS;SmKSL,SaGGPS;SmCPS;SmKSL,yes
p5,10.1002.bit.24547,ZD-T-010,Saccharomyces cerevisiae,miltiradiene (miltiradiene),4.2 mg/L,SD,Glucose (2%),,Shake flask,,Aerobic,S. cerevisiae BY4742,4 days,30°C,,SmCPS;SmKSL,SmCPS;SmKSL,yes
p5,10.1002.bit.24547,ZD-T-010,Saccharomyces cerevisiae,miltiradiene (miltiradiene),4.4 mg/g,SD,Glucose (2%),,Shake flask,,Aerobic,S. cerevisiae BY4742,4 days,30°C,,SmCPS;SmKSL,SmCPS;SmKSL,yes
p5,10.1002.bit.24547,ZD-T-025,Saccharomyces cerevisiae,miltiradiene (miltiradiene),41.6 mg/L,YPD,Glucose,200 mg/L,Shake flask,,Aerobic,ZD-T-023,,30°C,,BTS1;ERG20;ERG20-BTS1;ERG20-BTS1-SaGGPS;SaGGPS;SmCPS;SmKSL;tHMGR;tHMGR-upc2.1;upc2.1,SaGGPS;SmCPS;SmKSL,yes
p5,10.1002.bit.24547,ZD-T-028,Saccharomyces cerevisiae,miltiradiene (miltiradiene),43.2 mg/L,YPD,Glucose,200 mg/L,Shake flask,,Aerobic,ZD-T-024,,30°C,,BTS1;ERG20;ERG20-BTS1;ERG20-BTS1-SaGGPS;SaGGPS;SmCPS;SmKSL;tHMGR;tHMGR-upc2.1;upc2.1,SaGGPS;SmCPS;SmKSL,yes
p5,10.1002.bit.24547,ZD-T-027,Saccharomyces cerevisiae,miltiradiene (miltiradiene),43.6 mg/L,YPD,Glucose,200 mg/L,Shake flask,,Aerobic,ZD-T-023,,30°C,,BTS1;ERG20;ERG20-BTS1;ERG20-BTS1-SaGGPS;SaGGPS;SmCPS;SmKSL;tHMGR;tHMGR-upc2.1;upc2.1,SaGGPS;SmCPS;SmKSL,yes
p5,10.1002.bit.24547,ZD-T-026,Saccharomyces cerevisiae,miltiradiene (miltiradiene),488 mg/L,YPD,Glucose,200 mg/L,5 L fermentor with feeding,5.5,Controlled,ZD-T-024,6 days,30°C,,BTS1;ERG20;ERG20-BTS1;ERG20-BTS1-SaGGPS;SaGGPS;SmCPS;SmKSL;tHMGR;tHMGR-upc2.1;upc2.1,SaGGPS;SmCPS;SmKSL,yes
p5,10.1002.bit.24547,ZD-T-010,Saccharomyces cerevisiae,miltiradiene (miltiradiene),5.6 mg/L,YPD,Glucose,200 mg/L + 300 mg/L Hygro,Shake flask,,Aerobic,S. cerevisiae BY4742,4 days,30°C,,SmCPS;SmKSL,SmCPS;SmKSL,yes
p5,10.1002.bit.24547,ZD-T-021,Saccharomyces cerevisiae,miltiradiene (miltiradiene),6.3 mg/L,YPD,Glucose,200 mg/L,Shake flask,,Aerobic,ZD-T-010,,30°C,,SmCPS;SmKSL;tHMGR;tHMGR-upc2.1;upc2.1,SmCPS;SmKSL,yes
p5,10.1002.bit.24547,ZD-T-013,Saccharomyces cerevisiae,miltiradiene (miltiradiene),6.6 mg/L,SD,Glucose (2%),,Shake flask,,Aerobic,ZD-T-010,,30°C,,BTS1;ERG20;ERG20-BTS1;ERG20-BTS1-SaGGPS;SaGGPS;SmCPS;SmKSL,SaGGPS;SmCPS;SmKSL,yes
p5,10.1002.bit.24547,ZD-T-026,Saccharomyces cerevisiae,miltiradiene (miltiradiene),61.8 mg/L,YPD,Glucose,200 mg/L,Shake flask (prior to fed batch),,Aerobic,ZD-T-024,,30°C,,BTS1;ERG20;ERG20-BTS1;ERG20-BTS1-SaGGPS;SaGGPS;SmCPS;SmKSL;tHMGR;tHMGR-upc2.1;upc2.1,SaGGPS;SmCPS;SmKSL,yes
p5,10.1002.bit.24547,ZD-T-022,Saccharomyces cerevisiae,miltiradiene (miltiradiene),7.2 mg/L,YPD,Glucose,200 mg/L,Shake flask,,Aerobic,ZD-T-010,,30°C,,SmCPS;SmKSL;tHMGR;tHMGR-upc2.1;upc2.1,SmCPS;SmKSL,yes
p5,10.1002.bit.24547,ZD-T-014,Saccharomyces cerevisiae,miltiradiene (miltiradiene),8.8 mg/L,YPD,Glucose,Not specified,"Unbaffled flask, no feeding",5.5,Ambient,ZD-T-010,4 days,30°C,,BTS1;ERG20;ERG20-BTS1;ERG20-BTS1-SaGGPS;SaGGPS;SmCPS;SmKSL,SaGGPS;SmCPS;SmKSL,yes
p5,10.1002.bit.24547,ZD-T-021,Saccharomyces cerevisiae,squalene (squalene),446 mg/L,YPD,Glucose,200 mg/L,Fermentor with feed,5.5,Controlled,ZD-T-010,Not specified,30°C,,SmCPS;SmKSL;tHMGR;tHMGR-upc2.1;upc2.1,SmCPS;SmKSL,yes
p5,10.1002.bit.24547,ZD-T-011,Saccharomyces cerevisiae,squalene (squalene),71 mg/L,SD,Glucose,2%,Flask,,Ambient,ZD-T-010,4 days,30°C,,SmCPS;SmKSL;tHMGR;tHMGR-upc2.1;upc2.1,SmCPS;SmKSL,yes
p5,10.1002.bit.24547,ZD-T012,Saccharomyces cerevisiae,squalene (squalene),78 mg/L,SD,Glucose,2%,Flask,,Ambient,ZD-T-010,4 days,30°C,,SmCPS;SmKSL;tHMGR;tHMGR-upc2.1;upc2.1,SmCPS;SmKSL,yes
p5,10.1002.bit.24547,ZD-T-024,Saccharomyces cerevisiae,squalene (squalene),852 mg/L,YPD,Glucose,200 mg/L,Fermentor with feed,5.5,Controlled,ZD-T-010,Not specified,30°C,,BTS1;ERG20;ERG20-BTS1;ERG20-BTS1-SaGGPS;SaGGPS;SmCPS;SmKSL,SaGGPS;SmCPS;SmKSL,yes
,,,,,,,,,,,,,,,,,,
p6,10.1002.bit.26580,GL2206,,malate (malate),0.2 mol/mol,NBS mineral salt medium,Glucose,2% (wt/vol),"5-L bioreactor, batch",7.0,Maintained >30%,GL0006,72 h,37°C,ackA;adhE;focA;ldhA;mgsA;pflB;ptsI,Asmdh;Ecpck;mdh;pck,AsMDH;AsPCK,yes
p6,10.1002.bit.26580,GL2206,,malate (malate),18.8 mM,NBS mineral salt medium,Glucose,2% (wt/vol),"5-L bioreactor, batch",7.0,Initially 1.0 vvm,GL0006,72 h,37°C,ackA;adhE;focA;ldhA;mgsA;pflB;ptsI,Asmdh;Ecpck;mdh;pck,AsMDH;AsPCK,yes
p6,10.1002.bit.26580,GL2306,,malate (malate),193 mM,NBS mineral salt medium,Glucose,2% (wt/vol),"5-L bioreactor, pH-stat fed-batch",7.0,Adjusted dynamically,GL2206,72 h,37°C,ackA;adhE;focA;ldhA;mgsA;pflB;ptsI,AsMDH;Asmdh;EcPCK;Ecpck;mdh;pck,AsMDH;AsPCK;EcPCK,yes
p6,10.1002.bit.26580,GL0106,,malate (malate),23 mM,NBS mineral salt medium,Glucose,2% (wt/vol),"5-L bioreactor, pH-stat fed-batch",7.0,Adjusted dynamically,GL0006,72 h,37°C,ackA;adhE;focA;ldhA;mgsA;pflB;ptsI,,AsMDH;AsPCK,yes
p6,10.1002.bit.26580,GL0206,,malate (malate),45 mM,NBS mineral salt medium,Glucose,2% (wt/vol),"5-L bioreactor, pH-stat fed-batch",7.0,Adjusted dynamically,GL0006,72 h,37°C,ackA;adhE;focA;ldhA;mgsA;pflB;ptsI,Asmdh;Ecpck;mdh;pck,AsMDH;AsPCK,yes
p6,10.1002.bit.26580,GL2306,,malate (malate),58.8 mM,NBS mineral salt medium,Glucose,2% (wt/vol),"5-L bioreactor, pH-stat fed-batch",7.0,Adjusted dynamically,GL2206,72 h,37°C,ackA;adhE;focA;ldhA;mgsA;pflB;ptsI,AsMDH;Asmdh;EcPCK;Ecpck;mdh;pck,AsMDH;AsPCK;EcPCK,yes
,,,,,,,,,,,,,,,,,,
p7,10.1002.bit.27284,YPH499/PAT167/MVA442,Saccharomyces cerevisiae,patchoulol (patchoulol),2.05 g/g-glucose,Shake Flask,Glucose,,Batch,,,YPH499/PAT167,120 h,30°C,,ERG13;ERG19;ERG20;PTS;tHMG1,,yes
p7,10.1002.bit.27284,YPH499/PAT167/MVA442,Saccharomyces cerevisiae,patchoulol (patchoulol),42.1 mg/L-culture,96-deep well,Glucose,20 g/L,Batch,,,YPH499/PAT167,72 h,30°C,,ERG13;ERG19;ERG20;PTS;tHMG1,,yes
,,,,,,,,,,,,,,,,,,
p8,10.1002.jctb.6787,YIP-m-a6-eutE,Saccharomyces cerevisiae,D-Lactic acid (D-Lactic acid),0.53 g g^-1,Not specified,Not specified,Not specified,Not specified,-,-,YIP-m-ald6,-,-,ALD6,ACS2;MHPF,EUTE;MHPF,yes
p8,10.1002.jctb.6787,YIP-J1A,Saccharomyces cerevisiae,D-Lactic acid (D-Lactic acid),0.49 g g^-1,YPD,Glucose,20 g L^-1,Flask,-,Aerobic,YIP-J-C-D-A1,-,30°C,ADH1,ACS2;ALD6,E. coli D-LDH,oe
p8,10.1002.jctb.6787,YIP-J1A,Saccharomyces cerevisiae,D-Lactic acid (D-Lactic acid),0.55 g g^-1,Fed-batch,Glucose,>10 g L^-1,5 L jar fermenter,4.7,Controlled initially,YIP-J-C-D-A1,-,30°C,ADH1,ACS2;ALD6,E. coli D-LDH,oe
p8,10.1002.jctb.6787,YIP-m-ald6,Saccharomyces cerevisiae,D-Lactic acid (D-Lactic acid),0.70 g g^-1,Fed-batch,Glucose,>10 g L^-1,5 L jar fermenter,-,Unspecified,YIP-A15G12,-,30°C,ALD6,ACS2;MHPF,,oe
p8,10.1002.jctb.6787,YIP-m-ald6,Saccharomyces cerevisiae,D-Lactic acid (D-Lactic acid),0.77 g g^-1,Fed-batch,Glucose,>10 g L^-1,5 L jar fermenter,3.58,Unspecified,YIP-A15G12,-,30°C,ALD6,ACS2;MHPF,,oe
p8,10.1002.jctb.6787,YIP-e-ald6-A42,Saccharomyces cerevisiae,D-Lactic acid (D-Lactic acid),28.5 g L^-1,Fed-batch,Glucose,>10 g L^-1,5 L jar fermenter,-,Unspecified,YIP-e-ald6,-,30°C,ADH2;ADH4,,EUTE,ko
p8,10.1002.jctb.6787,YIP-mhpF,Saccharomyces cerevisiae,D-Lactic acid (D-Lactic acid),3.2 g L^-1,Fed-batch,Glucose,>10 g L^-1,5 L jar fermenter,-,Unspecified,YIP-A15G12,-,30°C,,ACS2;MHPF,,oe
p8,10.1002.jctb.6787,YIP-eutE,Saccharomyces cerevisiae,D-Lactic acid (D-Lactic acid),4.8 g L^-1,Flask,Glucose,20 g L^-1,Flask,-,Aerobic,YIP-A15G12,-,30°C,,,EUTE,yes
p8,10.1002.jctb.6787,YIP-J1A-Ald6,Saccharomyces cerevisiae,D-Lactic acid (D-Lactic acid),59.2 g L^-1,Fed-batch,Glucose,>10 g L^-1,5 L jar fermenter,-,Unspecified,YIP-J1A,-,30°C,ADH1,ACS2;ALD6,ALD6;E. coli D-LDH,yes
p8,10.1002.jctb.6787,YIP-m-a6-eutE,Saccharomyces cerevisiae,D-Lactic acid (D-Lactic acid),78.8 g L^-1,Fed-batch,Glucose,>10 g L^-1,5 L jar fermenter,-,Unspecified,YIP-m-ald6,-,30°C,ALD6,ACS2;MHPF,EUTE;MHPF,OE
p8,10.1002.jctb.6787,YIP-J1A,Saccharomyces cerevisiae,D-Lactic acid (D-Lactic acid),86.6 g L^-1,Fed-batch,Glucose,>10 g L^-1,5 L jar fermenter,-,Unspecified,YIP-J-C-D-A1,-,30°C,ADH1,ACS2;ALD6,E. coli D-LDH,OE
p8,10.1002.jctb.6787,YIP-m-ald6,Saccharomyces cerevisiae,D-Lactic acid (D-Lactic acid),86.9 g L^-1,Fed-batch,Glucose,>10 g L^-1,5 L jar fermenter,3.58,Unspecified,YIP-A15G12,-,30°C,ALD6,ACS2;MHPF,,hetero
p8,10.1002.jctb.6787,YIP-m-ald6,Saccharomyces cerevisiae,D-Lactic acid (D-Lactic acid),92.6 g L^-1,Fed-batch,Glucose,>10 g L^-1,5 L jar fermenter,3.57,Unspecified,YIP-A15G12,-,30°C,ALD6,ACS2;MHPF,,hetero
p8,10.1002.jctb.6787,YIP-J1A-Ald6,Saccharomyces cerevisiae,acetic acid (acetic acid),11.1 g L^-1,Fed-batch,Glucose,>10 g L^-1,5 L jar fermenter,-,Unspecified,YIP-J1A,-,30°C,ADH1,ACS2;ALD6,ALD6;E. coli D-LDH,yes
p8,10.1002.jctb.6787,YIP-J1A,Saccharomyces cerevisiae,acetic acid (acetic acid),6.23 g L^-1,Fed-batch,Glucose,>10 g L^-1,5 L jar fermenter,-,Unspecified,YIP-J-C-D-A1,-,30°C,ADH1,ACS2;ALD6,E. coli D-LDH,oe
p8,10.1002.jctb.6787,YIP-m-ald6,Saccharomyces cerevisiae,acetic acid (acetic acid),<=1.1 g L-1,YPD,Glucose 20 g L-1,Flask,Non-controlled pH,4.7*,Aerobic,YIP-A15G12,,30°C,ALD6,ACS2;MHPF,,oe
p8,10.1002.jctb.6787,YIP-m-a6-eutE,Saccharomyces cerevisiae,ethanol (ethanol),11.3 g L-1,Synthetic Medium,Glucose 20 g L-1,Fed-batch,pH uncontrolled after 40 h,3.58,Low**,YIP-m-ald6,58.5 h,30°C,ALD6,ACS2;MHPF,EUTE;MHPF,oe
p8,10.1002.jctb.6787,YIP-mhpF,Saccharomyces cerevisiae,ethanol (ethanol),13.15 g L-1,Not specified***,Glucose,Fed-batch,pH not specified,,,YIP-A15G12,,30°C,,ACS2;MHPF,,oe
p8,10.1002.jctb.6787,YIP-eutE,Saccharomyces cerevisiae,ethanol (ethanol),53.9 g L-1,YPD,Glucose 20 g L-1,Fed-batch,Initial pH controlled at 4.7,4.7*,Aerobic,YIP-A15G12,,30°C,,,EUTE,yes
p8,10.1002.jctb.6787,YIP-m-ald6,Saccharomyces cerevisiae,ethanol (ethanol),8.5 g L-1,YPD,Glucose 20 g L-1,Fed-batch,pH uncontrolled after 40 h,3.58,Low**,YIP-A15G12,,30°C,ALD6,ACS2;MHPF,,hetero
,,,,,,,,,,,,,,,,,,
p9,10.1007.s00253-003-1470-9,E. coli pET24[fdhmdh] pZY507glf,Escherichia coli,D-mannitol (D-mannitol),216 mM,Assumed same as above,-,-,Mentioned but details not applicable,-,-,E. coli BL21 Star (DE3),,,,fdh;glf;mdh,fdh;glf,yes
p9,10.1007.s00253-003-1470-9,E. coli BL21 (DE3) pET24[fdhmdh] pZY507glf,Escherichia coli,D-mannitol (D-mannitol),84 (mol%),Various,-,-,Details mixed,-,-,,,,,fdh;glf;mdh,fdh;glf,yes
p9,10.1007.s00253-003-1470-9,E. coli BL21 (DE3) pET24[fdhmdh] pZY507glf,Escherichia coli,D-mannitol (D-mannitol),92 (mol%),Same as noted,-,-,See prior entries,-,-,,,,,fdh;glf;mdh,fdh;glf,yes
p9,10.1007.s00253-003-1470-9,E. coli BL21 (DE3) pET24[fdhmdh] pZY507glf,Escherichia coli,D-mannitol (D-mannitol),500 mM,Fed-batch setup,d-fructose,Initial 500 mM then replenished,pH-static fed-batch,6.5,Not specified,,,,,fdh;glf;mdh,fdh;glf,yes
p9,10.1007.s00253-003-1470-9,E. coli pET24[fdhmdh] pZY507glf,Escherichia coli,D-mannitol (D-mannitol),210 mM,"100 mM钾磷酸盐缓冲液, pH 6.5",d-fructose + NaFormate,500 mM each,Batch,6.5,Not specified,E. coli BL21 Star (DE3),,,,fdh;glf;mdh,fdh;glf,yes
p9,10.1007.s00253-003-1470-9,E. coli BL21 (DE3) pET24[fdhmdh] pZY507glf,Escherichia coli,D-mannitol (D-mannitol),362 mM,"50 mM钾磷酸盐缓冲液, pH 6.5",d-fructose + NaFormate,"500 mM d-fructose, 250 mM NaFormate",pH-static batch,6.5,Not specified,,,,,fdh;glf;mdh,fdh;glf,yes
,,,,,,,,,,,,,,,,,,
p10,10.1007.s00253-009-1900-4,cNDK,Saccharomyces cerevisiae,ethanol (Ethanol),72% lower ethanol yield compared to X\_REF,Defined medium,Glucose-Xylose mixture,"20 g/L glucose, 50 g/L xylose",Batch,5.0,Anaerobic,,,30°C,,POS5,,hetero
,,,,,,,,,,,,,,,,,,
p11,10.1007.s00253-009-2244-9,MTpGFP+,Bacillus subtilis,GFP+ (Green fluorescent protein),302 RFU,glucose minimal,Glucose,5 g/L,Shake flask,,,iPYK mutant,,37°C,PYK,GFP+,GFP+,yes
p11,10.1007.s00253-009-2244-9,MTpGFP+,Bacillus subtilis,GFP+ (Green fluorescent protein),624 RFU,glucose minimal,Glucose,5 g/L,Shake flask,,,iPYK mutant,Late exponential phase*,37°C,PYK,GFP+,GFP+,yes
,,,,,,,,,,,,,,,,,,
p12,10.1007.s00253-011-3196-4,GCS/GS-overexpressing strain,Saccharomyces cerevisiae,GSH (glutathione),1.41 mM,YPD,glucose,20 g/l,shake flask,7.0,aerobic,Saccharomyces cerevisiae YPH499,24 h,30°C,,GCS;GS,,yes
p12,10.1007.s00253-011-3196-4,GBE deletion strain,Saccharomyces cerevisiae,GSH (glutathione),1.66 mM,YPD,glucose,20 g/l,shake flask,7.0,aerobic,Saccharomyces cerevisiae YPH499,24 h,30°C,GLC3,,,yes
p12,10.1007.s00253-011-3196-4,GCS/GS overexpression and GTP deletion strain,Saccharomyces cerevisiae,GSH (glutathione),1.67 mM,YPD,glucose,20 g/l,shake flask,7.0,aerobic,Saccharomyces cerevisiae YPH499,24 h,30°C,GTP,GCS;GS,,yes
p12,10.1007.s00253-011-3196-4,GCS/GS overexpressing and GTP/GBE deletion strain,Saccharomyces cerevisiae,GSH (glutathione),2.59 mM,YPD,glucose,20 g/l,shake flask,7.0,aerobic,Saccharomyces cerevisiae YPH499,24 h,30°C,GLC3;GTP,GCS;GS,,yes
,,,,,,,,,,,,,,,,,,
p13,10.1007.s00253-012-4308-5,GALG20,E. coli,pDNA (plasmid DNA),11.6 mg/g DCW,Rich Medium,5 + 10 g/L Glucose,-,Shake Flask,7.1,Not Specified,MG1655ΔendAΔrecA,24 h,37 °C,endA;pgi;recA,,,yes
p13,10.1007.s00253-012-4308-5,GALG20,E. coli,pDNA (plasmid DNA),19.1 mg/g DCW,Rich Medium,20 g/L Glucose,-,Shake Flask,7.1,Not Specified,MG1655ΔendAΔrecA,24 h,37 °C,endA;pgi;recA,,,yes
p13,10.1007.s00253-012-4308-5,DH5αΔpykA,E. coli,pDNA (plasmid DNA),0.9 mg/g DCW,Rich Medium,5 + 10 g/L Glucose,-,Shake Flask,7.1,Not Specified,DH5α,24 h,37 °C,pykA,,,yes
p13,10.1007.s00253-012-4308-5,DH5α,E. coli,pDNA (plasmid DNA),1.8 mg/g DCW,Rich Medium,5 + 10 g/L Glucose,-,Shake Flask,7.1,Not Specified,,24 h,37 °C,,,,yes
p13,10.1007.s00253-012-4308-5,MG1655ΔendAΔrecA,E. coli,pDNA (plasmid DNA),11.2 mg/g DCW,Rich Medium,Glycerol,20 g/L,Shake Flask,7.1,Not Specified,MG1655,24 h,37 °C,endA;recA,,,yes
p13,10.1007.s00253-012-4308-5,JM101ΔpykFΔpykA,E. coli,pDNA (plasmid DNA),2.2 mg/g DCW,Rich Medium,Glycerol,20 g/L,Shake Flask,7.1,Not Specified,JM101,24 h,37 °C,pykA;pykF,,,yes
p13,10.1007.s00253-012-4308-5,JM101,E. coli,pDNA (plasmid DNA),2.6 or 1.3 mg/g DCW,Rich Medium,Glucose,5 or 20 g/L,Shake Flask,7.1,Not Specified,,24 h,37 °C,,,,yes
p13,10.1007.s00253-012-4308-5,MG1655ΔendAΔrecA,E. coli,pDNA (plasmid DNA),3.6 mg/g DCW,Rich Medium,Glucose,5 + 10 g/L,Shake Flask,7.1,Not Specified,MG1655,24 h,37 °C,endA;recA,,,yes
p13,10.1007.s00253-012-4308-5,JM101ΔpykFΔpykA,E. coli,pDNA (plasmid DNA),5.3 or 2.5 mg/g DCW,Rich Medium,Glucose,5 or 20 g/L,Shake Flask,7.1,Not Specified,JM101,24 h,37 °C,pykA;pykF,,,yes
p13,10.1007.s00253-012-4308-5,DH5αΔpykF,E. coli,pDNA (plasmid DNA),5.9 mg/g DCW,Rich Medium,Glucose,5 + 10 g/L,Shake Flask,7.1,Not Specified,DH5α,24 h,37 °C,pykF,,,yes
p13,10.1007.s00253-012-4308-5,GALG1011,E. coli,pDNA (plasmid DNA),6.6 mg/g DCW,Rich,Glucose,20 g/L,Batch,7.1,Not specified,MG1655ΔendAΔrecA,24 h,37 °C,endA;pykA;pykF;recA,,,yes
p13,10.1007.s00253-012-4308-5,GALG10,E. coli,pDNA (plasmid DNA),8.6 mg/g DCW,Rich,Glycerol,20 g/L,Batch,7.1,Not specified,MG1655ΔendAΔrecA,24 h,37 °C,endA;pykF;recA,,,yes
p13,10.1007.s00253-012-4308-5,DH5αΔpykA,E. coli,pDNA (plasmid DNA),<=1 mg/g DCW,Rich,Glucose,20 g/L,Batch,7.1,Not specified,DH5α,24 h,37 °C,pykA,,,yes
p13,10.1007.s00253-012-4308-5,GALG11,E. coli,plasmid DNA (pDNA) (plasmid DNA),10.3 mg/g DCW,Rich,Glycerol,20 g/L,Batch,7.1,Not specified,MG1655ΔendAΔrecA,24 h,37 °C,endA;pykA;recA,,,yes
p13,10.1007.s00253-012-4308-5,GALG10,E. coli,plasmid DNA (pDNA) (plasmid DNA),10.5 mg/g DCW,Rich,Glucose,5 + 10 g/L,Batch,7.1,Not specified,MG1655ΔendAΔrecA,24 h,37 °C,endA;pykF;recA,,,yes
