paper number,doi,strain,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene,check
P8,10.1002.jctb.6787,YIP-J1A,Saccharomyces cerevisiae,D-LA (D-Lactic acid),86.6 g L -1,Synthetic complete medium,Glucose,20 g L -1,Fed-batch fermentation,4.7 (initially),58.5 h,30 °C,YIP-I-J-C-D-A1,ADH1;PDC1;PDC6,ACS2,,no
P8,10.1002.jctb.6787,YIP-J1A,Saccharomyces cerevisiae,acetic acid (acetic acid),6.23 g L -1,Synthetic complete medium,Glucose,20 g L -1,Fed-batch fermentation,4.7 (initially),58.5 h,30 °C,YIP-I-J-C-D-A1,ADH1;PDC1;PDC6,ACS2,,no
,,,,,,,,,,,,,,,,,
P9,10.1007.s00253-003-1470-9,E. coli BL21 (DE3) pET24[fdhmdh] pZY507glf,Escherichia coli,d-mannitol (D-mannitol),84 (mol%),"potassium phosphate buffer, pH 6.5",d-fructose,500 mM,batch,6.5,8 h,30°C,,,fdh;glf;mdh,fdh (Mycobacterium vaccae N10);glf (Zymomonas mobilis);mdh (Leuconostoc pseudomesenteroides),yes
P9,10.1007.s00253-003-1470-9,E. coli pET24[fdhmdh] pZY507glf,Escherichia coli,d-mannitol (D-mannitol),92 (mol%),"potassium phosphate buffer, pH 6.5",d-fructose,500 mM,batch,6.5,8 h,30°C,E. coli pET24[fdhmdh],,fdh;glf;mdh,Lmdh (Leuconostoc pseudomesenteroides);fdh (Mycobacterium vaccae N10);glf (Zymomonas mobilis);mdh (Leuconostoc pseudomesenteroides),yes
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P12,10.1007.s00253-011-3196-4,GCS/GS-overexpressing strain,Saccharomyces cerevisiae,GSH (glutathione),1.41 mM,YPD medium,Glucose,20 g/l,Shake flask,7,24 h,30 °C,parental strain,,GCS;GS,,yes
P12,10.1007.s00253-011-3196-4,GBE deletion strain,Saccharomyces cerevisiae,GSH (glutathione),1.66 mM,YPD medium,Glucose,20 g/l,Shake flask,7,24 h,30 °C,parental strain,GBE,,,yes
P12,10.1007.s00253-011-3196-4,GCS/GS overexpression and GTP deletion strain,Saccharomyces cerevisiae,GSH (glutathione),1.67 mM,YPD medium,Glucose,20 g/l,Shake flask,7,24 h,30 °C,parental strain,GTP,GCS;GS,,yes
P12,10.1007.s00253-011-3196-4,GCS/GS overexpression and GTP/GBE deletion strain,Saccharomyces cerevisiae,GSH (glutathione),2.59 mM,YPD medium,Glucose,20 g/l,Shake flask,7,24 h,30 °C,parental strain,GBE;GTP,GCS;GS,,yes
,,,,,,,,,,,,,,,,,
P13,10.1007.s00253-012-4308-5,DH5αΔpykFΔpykA,E. coli,plasmid DNA (plasmid DNA),0.3 mg/g DCW,"shake flask, 250 rpm, 37 °C",glucose,20 g/L,batch,7.1,24 h,37 °C,DH5α,pykA;pykF,,,yes
P13,10.1007.s00253-012-4308-5,DH5αΔpykA,E. coli,plasmid DNA (plasmid DNA),0.9 mg/g DCW,"shake flask, 250 rpm, 37 °C",glucose,20 g/L,batch,7.1,24 h,37 °C,DH5α,pykA;pykF,,,no
P13,10.1007.s00253-012-4308-5,JM101,E. coli,plasmid DNA (plasmid DNA),1.3 mg/g DCW,"shake flask, 250 rpm, 37 °C",glucose,20 g/L,batch,7.1,24 h,37 °C,,,,,yes
P13,10.1007.s00253-012-4308-5,JM101,E. coli,plasmid DNA (plasmid DNA),2.6 mg/g DCW,"shake flask, 250 rpm, 37 °C",glucose,20 g/L,batch,7.1,24 h,37 °C,,,,,yes
P13,10.1007.s00253-012-4308-5,JM101,E. coli,plasmid DNA (plasmid DNA),8.4 mg/g DCW,"shake flask, 250 rpm, 37 °C",glycerol,20 g/L,batch,7.1,24 h,37 °C,,,,,yes
P13,10.1007.s00253-012-4308-5,DH5α,E. coli,plasmid DNA (plasmid DNA),1.8 mg/g DCW,"shake flask, 250 rpm, 37 °C",glucose,20 g/L,batch,7.1,24 h,37 °C,,pykA;pykF,,,yes
P13,10.1007.s00253-012-4308-5,GALG11,E. coli,plasmid DNA (plasmid DNA),10.3 mg/g DCW,"shake flask, 250 rpm, 37 °C",glucose,5 + 10 g/L,batch,7.1,24 h,37 °C,MG1655,endA;pgi;pykA;pykF;recA,,,no
P13,10.1007.s00253-012-4308-5,GALG11,E. coli,plasmid DNA (plasmid DNA),13.1 mg/g DCW,"shake flask, 250 rpm, 37 °C",glucose,5 + 10 g/L,batch,7.1,24 h,37 °C,MG1655,endA;pgi;pykA;pykF;recA,,,no
P13,10.1007.s00253-012-4308-5,GALG10,E. coli,plasmid DNA (plasmid DNA),10.5 mg/g DCW,"shake flask, 250 rpm, 37 °C",glucose,5 + 10 g/L,batch,7.1,24 h,37 °C,MG1655,endA;pgi;pykA;pykF;recA,,,no
P13,10.1007.s00253-012-4308-5,GALG10,E. coli,plasmid DNA (plasmid DNA),8.6 mg/g DCW,"shake flask, 250 rpm, 37 °C",glucose,5 + 10 g/L,batch,7.1,24 h,37 °C,MG1655,endA;pgi;pykA;pykF;recA,,,no
P13,10.1007.s00253-012-4308-5,MG1655ΔendAΔrecA,E. coli,plasmid DNA (plasmid DNA),11.2 mg/g DCW,"shake flask, 250 rpm, 37 °C",glycerol,20 g/L,batch,7.1,24 h,37 °C,MG1655,endA;pgi;pykA;pykF;recA,,,no
P13,10.1007.s00253-012-4308-5,MG1655ΔendAΔrecA,E. coli,plasmid DNA (plasmid DNA),3.6 mg/g DCW,"shake flask, 250 rpm, 37 °C",glucose,5 + 10 g/L,batch,7.1,24 h,37 °C,MG1655,endA;pgi;pykA;pykF;recA,,,no
P13,10.1007.s00253-012-4308-5,JM101ΔpykFΔpykA,E. coli,plasmid DNA (plasmid DNA),2.5 mg/g DCW,"shake flask, 250 rpm, 37 °C",glucose,5 g/L,batch,7.1,24 h,37 °C,JM101,pykA;pykF,,,yes
P13,10.1007.s00253-012-4308-5,JM101ΔpykFΔpykA,E. coli,plasmid DNA (plasmid DNA),5.3 mg/g DCW,"shake flask, 250 rpm, 37 °C",glucose,5 g/L,batch,7.1,24 h,37 °C,JM101,pykA;pykF,,,yes
P13,10.1007.s00253-012-4308-5,DH5αΔpykF,E. coli,plasmid DNA (plasmid DNA),5.9 mg/g DCW,"shake flask, 250 rpm, 37 °C",glucose,20 g/L,batch,7.1,24 h,37 °C,DH5α,pykA;pykF,,,no
P13,10.1007.s00253-012-4308-5,GALG1011,E. coli,plasmid DNA (plasmid DNA),6.6 mg/g DCW,"shake flask, 250 rpm, 37 °C",glucose,5 + 10 g/L,batch,7.1,24 h,37 °C,MG1655,endA;pgi;pykA;pykF;recA,,,yes
,,,,,,,,,,,,,,,,,
P14,10.1007.s00253-012-4485-2,BL21 (pET-32a-ispS&amp;pET-30a-dxr),Escherichia coli,isoprene (isoprene),0.54 mg g−1 h−1,LB medium,Glucose,Not specified,Shaking flask,Not specified,16 h,37 °C,,,,,no
P14,10.1007.s00253-012-4485-2,BL21 (pET-32a-ispS&amp;pET-30a-idi),Escherichia coli,isoprene (isoprene),1.04 mg g−1 h−1,LB medium,Glucose,Not specified,Shaking flask,Not specified,16 h,37 °C,,,,,no
P14,10.1007.s00253-012-4485-2,BL21 (pET-32a-ispS&amp;pET-30a-idi),Escherichia coli,isoprene (isoprene),1.046 mg g−1 h−1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,no
P14,10.1007.s00253-012-4485-2,BL21 (pET-32a-ispS&amp;pET-30a-idi),Escherichia coli,isoprene (isoprene),1.142 mg g−1 h−1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,no
,,,,,,,,,,,,,,,,,
P15,10.1007.s00253-014-5895-0,∆ade3 ∆bna2,Saccharomyces,itaconic acid (itaconic acid),122 mg/L,YSC-URA-gal,galactose,20 g/L,shake flask,not specified,3 days,30 °C,BY4741,ade3;bna2,ACO1;CAD;CIT-50;CIT1;CIT2;PYC1;PYC2,CAD (Aspergillus terreus),yes
P15,10.1007.s00253-014-5895-0,∆ade3 ∆bna2 ∆tes1,Saccharomyces,itaconic acid (itaconic acid),126 mg/L,YSC-URA-gal,galactose,20 g/L,shake flask,not specified,3 days,30 °C,BY4741,ade3;bna2;tes1,ACO1;CAD;CIT-50;CIT1;CIT2;PYC1;PYC2,CAD (Aspergillus terreus),yes
P15,10.1007.s00253-014-5895-0,∆ade3,Saccharomyces,itaconic acid (itaconic acid),90 mg/L,YSC-URA-gal,galactose,20 g/L,shake flask,not specified,3 days,30 °C,BY4741,ade3,CAD,CAD (Aspergillus terreus),yes
,,,,,,,,,,,,,,,,,
P16,10.1007.s00253-017-8202-z,BY/tpi25/gpd1gpp2f/fps1m,Saccharomyces cerevisiae,ethanol (ethanol),29.4 g/L,anaerobic conditions,glucose,100 g/L,batch fermentation,neutral pH,7 days,30 °C,BY/tpi25/gpd1gpp2f,FPS1m;GPD1;GPP2;TPI1,FPS1;GPD1;GPD1-GPP2;GPD1-GPP2fus;GPP2,,no
