paper number,doi,strain,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,oxygen level,parent strain,knock out gene,overexpress gene,heterologous gene,check
p3,10.1002.bit.20542,pta-pfk,E. coli,lactate (lactate),0.89 g/L,M9 minimal,glucose,2 g/L,batch culture,-,60 days,37°C,,E. coli K12 MG1655,"pta, pfkA",-,-,yes
p3,10.1002.bit.20542,pta-adhE-pfk-glk,E. coli,lactate (lactate),0.87 g/L,M9 minimal,glucose,2 g/L,batch culture,-,60 days,37°C,,E. coli K12 MG1655,"pta, adhE, pfkA, glk",-,-,yes
,,,,,,,,,,,,,,,,,,
p4,10.1002.bit.23044,E. coli W (DlacI DilvA),Escherichia coli,L-valine (L-valine),60.7 g/L,NM1,glucose,20 g/L,"Fermentor, fed-batch",6.0,29.5 h,31.8°C,,E. coli W,"lacI, ilvA","ilvBNmut, ilvCED, ygaZH, lrp",,yes
,,,,,,,,,,,,,,,,,,
p5,10.1002.bit.24547,ZD-T-010,Saccharomyces cerevisiae,miltiradiene (miltiradiene),4.2 mg/L,SD,glucose,2%,,,4 days,30°C,,BY4742,,"SmCPS, SmKSL",,yes
p5,10.1002.bit.24547,ZD-T-011,Saccharomyces cerevisiae,miltiradiene (miltiradiene),Similar to ZD-T-010,SD,glucose,2%,,,4 days,30°C,,ZD-T-010,,"tHMGR, upc2.1",,yes
p5,10.1002.bit.24547,ZD-T-012,Saccharomyces cerevisiae,miltiradiene (miltiradiene),Similar to ZD-T-010,SD,glucose,2%,,,4 days,30°C,,ZD-T-010,,"tHMGR, upc2.1",,yes
p5,10.1002.bit.24547,ZD-T-013,Saccharomyces cerevisiae,miltiradiene (miltiradiene),6.6 mg/L,SD,glucose,2%,,,4 days,30°C,,ZD-T-010,,"ERG20-BTS1, SaGGPS",,yes
p5,10.1002.bit.24547,ZD-T-014,Saccharomyces cerevisiae,miltiradiene (miltiradiene),8.8 mg/L,SD,glucose,2%,,,4 days,30°C,,ZD-T-010,,"ERG20-BTS1, SaGGPS",,yes
p5,10.1002.bit.24547,ZD-T-021,Saccharomyces cerevisiae,miltiradiene (miltiradiene),6.3 mg/L,YPD,,,,,,30°C,,ZD-T-010,,"tHMGR, upc2.1",,yes
p5,10.1002.bit.24547,ZD-T-022,Saccharomyces cerevisiae,miltiradiene (miltiradiene),7.2 mg/L,YPD,,,,,,30°C,,ZD-T-010,,"tHMGR, upc2.1",,yes
p5,10.1002.bit.24547,ZD-T-023,Saccharomyces cerevisiae,miltiradiene (miltiradiene),28.2 mg/L,YPD,,,,,,30°C,,ZD-T-010,,"ERG20-BTS1, SaGGPS",,yes
p5,10.1002.bit.24547,ZD-T-024,Saccharomyces cerevisiae,miltiradiene (miltiradiene),25.7 mg/L,YPD,,,,,,30°C,,ZD-T-010,,"ERG20-BTS1, SaGGPS",,yes
p5,10.1002.bit.24547,ZD-T-025,Saccharomyces cerevisiae,miltiradiene (miltiradiene),41.6 mg/L,YPD,,,,,,30°C,,ZD-T-023,,"tHMGR, upc2.1",,yes
p5,10.1002.bit.24547,ZD-T-026,Saccharomyces cerevisiae,miltiradiene (miltiradiene),488 mg/L,YPD,,,"5 L fermentor, fed-batch",5.5,6 days,30°C,,ZD-T-024,,"tHMGR, upc2.1, ERG20-BTS1, SaGGPS",,yes
p5,10.1002.bit.24547,ZD-T-027,Saccharomyces cerevisiae,miltiradiene (miltiradiene),43.6 mg/L,YPD,,,,,,30°C,,ZD-T-023,,"tHMGR, upc2.1",,yes
p5,10.1002.bit.24547,ZD-T-028,Saccharomyces cerevisiae,miltiradiene (miltiradiene),43.2 mg/L,YPD,,,,,,30°C,,ZD-T-024,,"tHMGR, upc2.1",,yes
,,,,,,,,,,,,,,,,,,
p6,10.1002.bit.26580,GL0106,,Malate (Malate),23 mM,NBS mineral salt medium,Glucose,2% (wt/vol),"5-L bioreactor, pH-stat fed-batch",7.0,72 h,37°C,,E. coli ATCC8739,"adhE, ackA, ldhA, ptsI",,,yes
p6,10.1002.bit.26580,GL0206,,Malate (Malate),45 mM,NBS mineral salt medium,Glucose,2% (wt/vol),"5-L bioreactor, pH-stat fed-batch",7.0,72 h,37°C,,GL0006,"pflB, focA, mgsA",,"Ecpck, Asmdh",yes
p6,10.1002.bit.26580,GL2206,,Malate (Malate),18.8 mM,NBS mineral salt medium,Glucose,2% (wt/vol),Not specified,Not specified,Not specified,37°C,,GL0206,fkpA (chaperone),,"Ecpck (targeted by PelB), Asmdh (targeted by PelB)",yes
p6,10.1002.bit.26580,GL2306,,Malate (Malate),193 mM,NBS mineral salt medium,Glucose,2% (wt/vol),"5-L bioreactor, pH-stat fed-batch",7.0,72 h,37°C,,GL2206,None mentioned,,"Ecpck (targeted by OmpA), Asmdh (targeted by PelB)",yes
,,,,,,,,,,,,,,,,,,
p7,10.1002.bit.27284,YPH499/PAT167/MVA442,Saccharomyces cerevisiae,patchoulol (patchoulol),42.1 mg/L,YPD,glucose,20 g/L,"shake flask, batch",-,120 h,30°C,,YPH499,-,"ERG10, ERG13, tHMG1, ERG12, ERG8, ERG19, IDI1, ERG20",PTS,yes
p7,10.1002.bit.27284,YPH499/PAT167,Saccharomyces cerevisiae,patchoulol (patchoulol),18.4 mg/L,YPD,glucose,20 g/L,"shake flask, batch",-,120 h,30°C,,YPH499,-,PTS,-,yes
p7,10.1002.bit.27284,YPH499/PAT167/MVA457,Saccharomyces cerevisiae,patchoulol (patchoulol),-,YPD,glucose,20 g/L,"shake flask, batch",-,120 h,30°C,,YPH499,-,Genes in the mevalonate pathway,PTS,yes
p7,10.1002.bit.27284,YPH499/PAT167/MVA682,Saccharomyces cerevisiae,patchoulol (patchoulol),-,YPD,glucose,20 g/L,"shake flask, batch",-,120 h,30°C,,YPH499,-,Genes in the mevalonate pathway,PTS,yes
p7,10.1002.bit.27284,YPH499,Saccharomyces cerevisiae,- (patchoulol),-,YPD,glucose,20 g/L,-,-,-,30°C,,YPH499,-,-,-,yes
,,,,,,,,,,,,,,,,,,
p8,10.1002.jctb.6787,YIP-m-ald6,Saccharomyces cerevisiae,D-LA (D-Lactic acid),86.9 g L^-1,YPD medium,glucose,10 g L^-1 (residual),fed-batch fermentation,3.58,49 h,30°C,,CEN.PK2-1D,"ALD6, PDC1, PDC6, ADH1, ADH5, JEN1, DLD1, CYB2, GPD1, GPD2","ACS2, IoGas1","Escherichia coli D-lactate dehydrogenase, Acetylating Aldehyde Dehydrogenase (MHPF, EUTE)",yes
p8,10.1002.jctb.6787,YIP-A15G12,Saccharomyces cerevisiae,D-LA (D-Lactic acid),92.6 g L^-1,YPD medium,glucose,10 g L^-1 (residual),fed-batch fermentation,3.57,55 h,30°C,,CEN.PK2-1D,"PDC1, PDC6, ADH1, ADH5, JEN1, DLD1, CYB2, GPD1, GPD2","ACS2, IoGas1","Escherichia coli D-lactate dehydrogenase, Acetylating Aldehyde Dehydrogenase (MHPF, EUTE)",yes
p8,10.1002.jctb.6787,YIP-e-ald6,Saccharomyces cerevisiae,D-LA (D-Lactic acid),(not specified),YPD medium,glucose,10 g L^-1 (residual),fed-batch fermentation,4.7,(not specified),30°C,,CEN.PK2-1D,"ALD6, PDC1, PDC6, ADH1, ADH5, JEN1, DLD1, CYB2, GPD1, GPD2","ACS2, IoGas1","Escherichia coli D-lactate dehydrogenase, Acetylating Aldehyde Dehydrogenase (MHPF, EUTE)",yes
p8,10.1002.jctb.6787,YIP-m-a6-eutE,Saccharomyces cerevisiae,D-LA (D-Lactic acid),78.8 g L^-1,YPD medium,glucose,10 g L^-1 (residual),fed-batch fermentation,(not controlled after 40h),58.5 h,30°C,,CEN.PK2-1D,"ALD6, PDC1, PDC6, ADH1, ADH5, JEN1, DLD1, CYB2, GPD1, GPD2","ACS2, IoGas1","Escherichia coli D-lactate dehydrogenase, Acetylating Aldehyde Dehydrogenase (MHPF, EUTE)",yes
,,,,,,,,,,,,,,,,,,
p9,10.1007.s00253-003-1470-9,E. coli BL21 Star (DE3) pET24[fdhmdh] pZY507glf,Escherichia coli,D-mannitol (D-mannitol),362 mM,LB medium,D-fructose,500 mM,"Glass vessel with automatic pH control, fed-batch",6.5,8 h,30°C,,E. coli BL21 Star (DE3),,,"fdh from Mycobacterium vaccae N10,  mdh from Leuconostoc pseudomesenteroides, glf from Zymomonas mobilis",yes
,,,,,,,,,,,,,,,,,,
p10,10.1007.s00253-009-1900-4,X_REF,Saccharomyces cerevisiae,ethanol (ethanol),not specified,defined medium,"glucose, glucose + xylose","20 g/L glucose, 20 g/L glucose + 50 g/L xylose","Biostat-B fermenter, batch",5.0,,30°C,,S. cerevisiae CEN.PK113-11C,,,"XYL1, XYL2 (P. stipitis), XKS1 (S. cerevisiae)",titer
p10,10.1007.s00253-009-1900-4,cNDK,Saccharomyces cerevisiae,ethanol (ethanol),not specified,defined medium,"glucose, glucose + xylose","20 g/L glucose, 20 g/L glucose + 50 g/L xylose","Biostat-B fermenter, batch",5.0,,30°C,,S. cerevisiae CEN.PK113-11C,,POS5-17Δ,"XYL1, XYL2 (P. stipitis), XKS1 (S. cerevisiae)",titer
p10,10.1007.s00253-009-1900-4,mNDK,Saccharomyces cerevisiae,ethanol (ethanol),not specified,defined medium,"glucose, glucose + xylose","20 g/L glucose, 20 g/L glucose + 50 g/L xylose","Biostat-B fermenter, batch",5.0,,30°C,,S. cerevisiae CEN.PK113-11C,,POS5,"XYL1, XYL2 (P. stipitis), XKS1 (S. cerevisiae)",titer
,,,,,,,,,,,,,,,,,,
p11,10.1007.s00253-009-2244-9,"WTpGFP+, MTpGFP+",Bacillus subtilis,Green fluorescent protein (GFP+) (Green fluorescent protein),3-fold higher in mutant,minimal medium,glucose,5 g/L,batch,,,37°C,,B. subtilis 168,pyk,,gfp+,yes
,,,,,,,,,,,,,,,,,,
p12,10.1007.s00253-011-3196-4,Parental strain,Saccharomyces cerevisiae,Glutathione (GSH) (Glutathione),0.94 mM,YPD medium,Glucose,Not specified,Shake flask,7.0,24 h,37°C,,Saccharomyces cerevisiae YPH499,,,,yes
p12,10.1007.s00253-011-3196-4,GCS/GS-overexpressing strain,Saccharomyces cerevisiae,Glutathione (GSH) (Glutathione),1.41 mM,YPD medium,Glucose,Not specified,Shake flask,7.0,24 h,37°C,,Saccharomyces cerevisiae YPH499,,GCS/GS,,yes
p12,10.1007.s00253-011-3196-4,GCS/GS overexpression and GTP deletion strain,Saccharomyces cerevisiae,Glutathione (GSH) (Glutathione),1.67 mM,YPD medium,Glucose,Not specified,Shake flask,7.0,24 h,37°C,,Saccharomyces cerevisiae YPH499,GTP,GCS/GS,,yes
p12,10.1007.s00253-011-3196-4,GBE deletion strain,Saccharomyces cerevisiae,Glutathione (GSH) (Glutathione),1.66 mM,YPD medium,Glucose,Not specified,Shake flask,7.0,24 h,37°C,,Saccharomyces cerevisiae YPH499,GBE,,,yes
p12,10.1007.s00253-011-3196-4,GCS/GS overexpression and GTP/GBE deletion strain,Saccharomyces cerevisiae,Glutathione (GSH) (Glutathione),2.59 mM,YPD medium,Glucose,Not specified,Shake flask,7.0,24 h,37°C,,Saccharomyces cerevisiae YPH499,"GBE, GTP",GCS/GS,,yes
,,,,,,,,,,,,,,,,,,
p13,10.1007.s00253-012-4308-5,MG1655ΔendAΔrecAΔpgi (GALG20),E. coli,pDNA (plasmid DNA),19.1 mg/g DCW,Rich medium,Glucose,20 g/L,Shake flasks (batch culture),7.1,24 h,37°C,,MG1655ΔendAΔrecA,pgi,,,yes
p13,10.1007.s00253-012-4308-5,MG1655ΔendAΔrecAΔpykFΔpykA (GALG1011),E. coli,pDNA (plasmid DNA),6.6 mg/g DCW (in Glucose),Complex medium,Glucose,20 g/L,Shake flasks (batch culture),7.1,24 h,37°C,,MG1655ΔendAΔrecA,"pykF, pykA",,,yes
p13,10.1007.s00253-012-4308-5,MG1655ΔendAΔrecAΔpykF (GALG10),E. coli,pDNA (plasmid DNA),10.5 mg/g DCW (in Glucose),Complex medium,Glucose,5 + 10 g/L,Shake flasks (batch culture),7.1,24 h,37°C,,MG1655ΔendAΔrecA,pykF,,,yes
p13,10.1007.s00253-012-4308-5,MG1655ΔendAΔrecAΔpykA (GALG11),E. coli,pDNA (plasmid DNA),13.1 mg/g DCW (in Glucose),Complex medium,Glucose,5 + 10 g/L,Shake flasks (batch culture),7.1,24 h,37°C,,MG1655ΔendAΔrecA,pykA,,,yes
p13,10.1007.s00253-012-4308-5,DH5αΔpykF,E. coli,pDNA (plasmid DNA),5.9 mg/g DCW (in Glucose),Complex medium,Glucose,5 + 10 g/L,Shake flasks (batch culture),7.1,24 h,37°C,,DH5α,pykF,,,yes
p13,10.1007.s00253-012-4308-5,DH5αΔpykA,E. coli,pDNA (plasmid DNA),0.9 mg/g DCW (in Glucose),Complex medium,Glucose,5 + 10 g/L,Shake flasks (batch culture),7.1,24 h,37°C,,DH5α,pykA,,,yes
p13,10.1007.s00253-012-4308-5,MG1655ΔendAΔrecA (control),E. coli,pDNA (plasmid DNA),0.8 mg/g DCW (in Glucose),Complex medium,Glucose,20 g/L,Shake flasks (batch culture),7.1,24 h,37°C,,MG1655,"endA, recA",,,yes
p13,10.1007.s00253-012-4308-5,MG1655ΔendAΔrecA (control),E. coli,pDNA (plasmid DNA),11.2 mg/g DCW (in Glycerol),Complex medium,Glycerol,20 g/L,Shake flasks (batch culture),7.1,24 h,37°C,,MG1655,"endA, recA",,,yes
,,,,,,,,,,,,,,,,,,
p14,10.1007.s00253-012-4485-2,E. coli BL21 (pET-32a-ispS&amp;pET-30a-dxs),Escherichia coli,Isoprene (Isoprene),0.77 mg g−1 h−1,LB Medium,,,Shaking flask,,2 h,37 °C,,BL21,,"dxs (32.7%), ispS (8.6%)",ispS,yes
p14,10.1007.s00253-012-4485-2,E. coli BL21 (pET-32a-ispS&amp;pET-30a-dxr),Escherichia coli,Isoprene (Isoprene),0.54 mg g−1 h−1,LB Medium,,,Shaking flask,,2 h,37 °C,,BL21,,"dxr (20.5%), ispS (17.2%)",ispS,yes
p14,10.1007.s00253-012-4485-2,E. coli BL21 (pET-32a-ispS&amp;pET-30a-idi),Escherichia coli,Isoprene (Isoprene),1.04 mg g−1 h−1,LB Medium,,,Shaking flask,,2 h,37 °C,,BL21,,"idi (55.2%), ispS (11.3%)",ispS,yes
p14,10.1007.s00253-012-4485-2,E. coli BL21 (pET-30a-dxs/dxr/idi),Escherichia coli,Isoprene (Isoprene),2.727 mg g−1 h−1,LB Medium,,,Shaking flask,,2 h,37 °C,,BL21,,"dxs, dxr, idi",ispS,yes
p14,10.1007.s00253-012-4485-2,E. coli BL21 (pET-30a-dxs/idi/dxr),Escherichia coli,Isoprene (Isoprene),2.463 mg g−1 h−1,LB Medium,,,Shaking flask,,2 h,37 °C,,BL21,,"dxs, idi, dxr",ispS,yes
p14,10.1007.s00253-012-4485-2,E. coli BL21 (pET-30a-dxr/dxs/idi),Escherichia coli,Isoprene (Isoprene),2.461 mg g−1 h−1,LB Medium,,,Shaking flask,,2 h,37 °C,,BL21,,"dxr, dxs, idi",ispS,yes
p14,10.1007.s00253-012-4485-2,E. coli BL21 (pET-30a-dxr/idi/dxs),Escherichia coli,Isoprene (Isoprene),1.647 mg g−1 h−1,LB Medium,,,Shaking flask,,2 h,37 °C,,BL21,,"dxr, idi, dxs",ispS,yes
p14,10.1007.s00253-012-4485-2,E. coli BL21 (pET-30a-idi/dxs/dxr),Escherichia coli,Isoprene (Isoprene),1.046 mg g−1 h−1,LB Medium,,,Shaking flask,,2 h,37 °C,,BL21,,"idi, dxs, dxr",ispS,yes
p14,10.1007.s00253-012-4485-2,E. coli BL21 (pET-30a-idi/dxr/dxs),Escherichia coli,Isoprene (Isoprene),1.142 mg g−1 h−1,LB Medium,,,Shaking flask,,2 h,37 °C,,BL21,,"idi, dxr, dxs",ispS,yes
,,,,,,,,,,,,,,,,,,
p15,10.1007.s00253-014-5895-0,BY4741 (wild type),Saccharomyces,itaconic acid (itaconic acid),varies (up to 59 mg/L with CAD expression),"YSC, YPD",glucose,"20 g/L, 40 g/L",250-mL flasks (flask-scale),not provided,3 days,30 °C,,BY4741,none,none,CAD (from A. terreus),yes
p15,10.1007.s00253-014-5895-0,BY4741 Δade3,Saccharomyces,itaconic acid (itaconic acid),90 mg/L,"YSC, YPD",glucose,"20 g/L, 40 g/L",250-mL flasks (flask-scale),not provided,3 days,30 °C,,BY4741,Δade3,none,CAD (from A. terreus),yes
p15,10.1007.s00253-014-5895-0,BY4741 Δade3 Δbna2,Saccharomyces,itaconic acid (itaconic acid),122 mg/L,"YSC, YPD",glucose,"20 g/L, 40 g/L",250-mL flasks (flask-scale),not provided,3 days,30 °C,,BY4741,"Δade3, Δbna2",none,CAD (from A. terreus),yes
p15,10.1007.s00253-014-5895-0,BY4741 Δade3 Δbna2 Δtes1,Saccharomyces,itaconic acid (itaconic acid),"126 mg/L, 168 mg/L (high cell density)","YSC, YPD",glucose,"20 g/L, 40 g/L",250-mL flasks (flask-scale)<br>High cell density (initial OD600 = 6.0),not provided,3 days,30 °C,,BY4741,"Δade3, Δbna2, Δtes1",none,CAD (from A. terreus),yes
,,,,,,,,,,,,,,,,,,
p16,10.1007.s00253-017-8202-z,BY4742,Saccharomyces cerevisiae,-,-,"YPD, YNB",Glucose,20-100 g/L,"Erlenmeyer flasks, batch",Varies,Varies,30°C,,-,-,-,-,yes
p16,10.1007.s00253-017-8202-z,Δtpi1,Saccharomyces cerevisiae,Glycerol (Glycerol),16 g/L,YNB,Glucose,50-100 g/L,"Erlenmeyer flasks, batch",Varies,Varies,30°C,,BY4742,TPI1,-,-,yes
p16,10.1007.s00253-017-8202-z,BY/tpi100,Saccharomyces cerevisiae,Glycerol (Glycerol),-,YNB,Glucose,50-100 g/L,"Erlenmeyer flasks, batch",Varies,Varies,30°C,,BY4742,TPI1 (shortened),-,-,yes
p16,10.1007.s00253-017-8202-z,BY/tpi50,Saccharomyces cerevisiae,Glycerol (Glycerol),-,YNB,Glucose,50-100 g/L,"Erlenmeyer flasks, batch",Varies,Varies,30°C,,BY4742,TPI1 (shortened),-,-,yes
p16,10.1007.s00253-017-8202-z,BY/tpi25,Saccharomyces cerevisiae,Glycerol (Glycerol),13 g/L,YNB,Glucose,50-100 g/L,"Erlenmeyer flasks, batch",Varies,Varies,30°C,,BY4742,TPI1 (shortened),-,-,yes
p16,10.1007.s00253-017-8202-z,BY/gpd1,Saccharomyces cerevisiae,Glycerol (Glycerol),8 g/L,YNB,Glucose,50-100 g/L,"Erlenmeyer flasks, batch",Varies,Varies,30°C,,BY4742,-,GPD1,-,yes
p16,10.1007.s00253-017-8202-z,BY/gpp2,Saccharomyces cerevisiae,Glycerol (Glycerol),-,YNB,Glucose,50-100 g/L,"Erlenmeyer flasks, batch",Varies,Varies,30°C,,BY4742,-,GPP2,-,yes
p16,10.1007.s00253-017-8202-z,BY/gpd1gpp2f,Saccharomyces cerevisiae,Glycerol (Glycerol),11 g/L,YNB,Glucose,50-100 g/L,"Erlenmeyer flasks, batch",Varies,Varies,30°C,,BY4742,-,GPD1-GPP2,-,yes
p16,10.1007.s00253-017-8202-z,BY/tpi25/gpd1gpp2f,Saccharomyces cerevisiae,Glycerol (Glycerol),13 g/L,YNB,Glucose,50-100 g/L,"Erlenmeyer flasks, batch",Varies,Varies,30°C,,BY/tpi25,-,GPD1-GPP2,-,ko
p16,10.1007.s00253-017-8202-z,BY/fps1m,Saccharomyces cerevisiae,Glycerol (Glycerol),-,YNB,Glucose,50-100 g/L,"Erlenmeyer flasks, batch",Varies,Varies,30°C,,BY4742,-,FPS1m,-,yes
p16,10.1007.s00253-017-8202-z,BY/tpi25/gpd1gpp2f/fps1m,Saccharomyces cerevisiae,Glycerol (Glycerol),19 g/L,YNB,Glucose,50-100 g/L,"Erlenmeyer flasks, batch",Varies,Varies,30°C,,BY/tpi25/gpd1gpp2f,-,FPS1m,-,ko
p16,10.1007.s00253-017-8202-z,BY/tpi25/gpd1gpp2f/fps1m/ilv2,Saccharomyces cerevisiae,Glycerol (Glycerol),16.3 g/L,YNB,Glucose,50-100 g/L,"Erlenmeyer flasks, batch",Varies,Varies,30°C,,BY/tpi25/gpd1gpp2f/fps1m,-,ILV2,-,ko
,,,,,,,,,,,,,,,,,,
p17,10.1007.s00253-018-09588-9,WE269,Escherichia coli,lactate (lactate),33.58 g/L,M9 minimal medium,glucose,5% (w/v),"5-L bioreactor, batch",7.0,30 h,37 °C,,W3110,pflB (in BW100),,,KO
p17,10.1007.s00253-018-09588-9,BW100,Escherichia coli,lactate (lactate),98.3 g/L,modified NBS medium,glucose,5% (w/v),"5-L bioreactor, fed-batch",7.0,48 h,37 °C,,WE269,pflB,,,yes
,,,,,,,,,,,,,,,,,,
p18,10.1007.s00253-020-10381-w,S. lincolnensis LCGL,Streptomyces lincolnensis,Lin-A (Lincomycin),-,"TSBY, SM",-,-,-,-,-,30 °C,,-,-,-,-,product
p18,10.1007.s00253-020-10381-w,S. lincolnensis ΔSLCGL_Lrp,Streptomyces lincolnensis,Lin-A (Lincomycin),-,-,-,-,-,-,-,30 °C,,LCGL,SLCG_Lrp,-,-,titer
p18,10.1007.s00253-020-10381-w,S. lincolnensis LCGL/pIB139-Lrp,Streptomyces lincolnensis,Lin-A (Lincomycin),+24%,-,-,-,-,-,-,30 °C,,LCGL,-,SLCG_Lrp,-,yes
p18,10.1007.s00253-020-10381-w,S. lincolnensis LA219X/pIB139-Lrp,Streptomyces lincolnensis,Lin-A (Lincomycin),+14%,-,-,-,-,-,-,30 °C,,LA219X,-,SLCG_Lrp,-,yes
p18,10.1007.s00253-020-10381-w,S. lincolnensis ΔSLCGL_3127,Streptomyces lincolnensis,Lin-A (Lincomycin),+33%,-,-,-,-,-,-,30 °C,,LCGL,SLCG_3127,-,-,yes
p18,10.1007.s00253-020-10381-w,S. lincolnensis ΔSLA219X_3127,Streptomyces lincolnensis,Lin-A (Lincomycin),+20%,-,-,-,-,-,-,30 °C,,LA219X,SLCG_3127,-,-,yes
,,,,,,,,,,,,,,,,,,
p19,10.1007.s00253-020-10819-1,SH274,Escherichia coli,Isobutanol (Isobutanol),1.3 g/L,M9,glucose,40 g/L,shake-flask,-,48h,37°C,,JW74,-,"alsS, ilvC, ilvD, kivD, adhA","alsS (Bacillus subtilis), kivD, adhA (Lactococcus lactis)",yes
p19,10.1007.s00253-020-10819-1,SH279,Escherichia coli,Isobutanol (Isobutanol),5.5 g/L,M9,glucose,40 g/L,shake-flask,-,48h,37°C,,JW74,-,"alsS, ilvC, ilvD, kivD, adhA","alsS (Bacillus subtilis), kivD, adhA (Lactococcus lactis)",yes
,,,,,,,,,,,,,,,,,,
p20,10.1007.s00449-015-1440-5,Sporolactobacillus inulinus YBS1-5,Sporolactobacillus inulinus,d-lactic acid (d-lactic acid),70.7 g/L,Basic fermentation medium,Glucose and xylose,150 g/L (total sugar),Not specified,Not specified,108 h,37 °C,,Not specified,Not specified,Not specified,Not specified,yes
,,,,,,,,,,,,,,,,,,
p21,10.1007.s10295-005-0206-5,GJT(pKK313),Escherichia coli,succinate (succinate),96% increase,LB broth,glucose,40 g/L,tube (anaerobic),7.4,,37°C,,MC4100,Δlac,Sorghum PEPC,pKK313 (S8D mutation in Sorghum PEPC),yes
p21,10.1007.s10295-005-0206-5,GJT(pKK313),Escherichia coli,succinate (succinate),51% increase,LB broth,xylose,40 g/L,tube (anaerobic),7.4,,37°C,,MC4100,Δlac,Sorghum PEPC,pKK313 (S8D mutation in Sorghum PEPC),yes
p21,10.1007.s10295-005-0206-5,GJT(pKK313),Escherichia coli,succinate (succinate),81% increase,LB broth,sorbitol,40 g/L,tube (anaerobic),7.4,,37°C,,MC4100,Δlac,Sorghum PEPC,pKK313 (S8D mutation in Sorghum PEPC),yes
p21,10.1007.s10295-005-0206-5,YBS121(pKK313),Escherichia coli,succinate (succinate),,LB broth,glucose,40 g/L,flask (microaerobic),7.4,,37°C,,GJT001,Δ(ackA-pta),Sorghum PEPC,pKK313 (S8D mutation in Sorghum PEPC),titer
p21,10.1007.s10295-005-0206-5,YBS121(pKK313),Escherichia coli,succinate (succinate),,LB broth,xylose,40 g/L,flask (microaerobic),7.4,,37°C,,GJT001,Δ(ackA-pta),Sorghum PEPC,pKK313 (S8D mutation in Sorghum PEPC),titer
p21,10.1007.s10295-005-0206-5,YBS121(pKK313),Escherichia coli,succinate (succinate),,LB broth,sorbitol,40 g/L,flask (microaerobic),7.4,,37°C,,GJT001,Δ(ackA-pta),Sorghum PEPC,pKK313 (S8D mutation in Sorghum PEPC),titer
p21,10.1007.s10295-005-0206-5,YBS132(pKK313),Escherichia coli,succinate (succinate),,LB broth,glucose,40 g/L,flask (microaerobic),7.4,,37°C,,GJT001,"Δ(ackA-pta, ldhA)",Sorghum PEPC,pKK313 (S8D mutation in Sorghum PEPC),titer
