doi,product,product titer,medium,carbon source,ph,temperature,oxygen level,vessel and feed mode,gene
10.1186.1475-2859-13-21,"['salicylic acid (SA)', 'salicylic acid (SA) (shikimic acid)', 'shikimic acid']","['(0.26 ± 0.02) g/L', '0.25 mol/mol', '(0.23 ± 0.02) g/L', '0.42 mol/mol', '(1.34 ± 0.15) g/L', '(0.15 ± 0.04) g/L', '(1.70 ± 0.01) g/L']","['Fermentation medium', 'Repeat of first condition', 'Repeat of third condition']",['glucose'],['7.0'],['37°C'],['Aeration'],"['Shake flask', 'Shake flask (assumed, not specified)']","['aroB', 'aroE', 'aroF fbr', 'aroG', 'aroG fbr', 'aroGfbr', 'aroK', 'aroL', 'csrB', 'cysG', 'fbr', 'nadK', 'pntAB', 'pps', 'recA', 'sthA', 'tktA', 'yfjB']"
10.1186.s12934-015-0211-y,"['acetate', 'acetate (acetate)', 'arginine', 'arginine (L-arginine)']","['4–5 g/L', '3.03 g/L', '0.33 and 0.36 mol glc/mol dcw/h', '28 g/L', '0.24 g/L/h', '0.29 g/L/h', '0.36 mol glc/mol dcw/h', '0.14 g/L/h', '11.64 g/L', '1.18 g arg/g DCW', '0.24 g arg/g DCW', '0.44 to 0.54 mol glc/mol dcw/h', '15.85 g/L', '0.11 g/L/h']","['LA', 'M9']",['glucose'],"['-', '7']","['-', '32°C']","['-', 'maintained > 30%']","['1 L bioreactor', 'shake flask']","['adiA', 'argA', 'argA214', 'argO', 'argP', 'argR', 'lysE', 'speC', 'speF']"
10.1016.j.biortech.2012.02.119,"[' (long chain hydroxyfatty acids)', 'HFAs', 'HFAs (long chain hydroxyfatty acids)', 'Various HFAs (long chain hydroxyfatty acids)', 'hydroxydodecanoic acids (C12:0)', 'hydroxydodecanoic acids (C12:0) (hydroxydodecanoic acids (C12:0))', 'hydroxytetradecanoic acids (C14:0)', 'hydroxytetradecanoic acids (C14:0) (hydroxytetradecanoic acids (C14:0))', 'ω-1-hydroxydodecanoic acid (ω-1-C12:0)', 'ω-1-hydroxytetradecanoic acid (ω-1-C14:0)', 'ω-2-hydroxytetradecanoic acid (ω-2-C14:0)', 'ω-3-hydroxydodecanoic acid (ω-3-C12:0)', 'ω-3-hydroxytetradecanoic acid (ω-3-C14:0)', 'ω-3-hydroxytetradecanoic acid (ω-3-C14:0) (ω-3-hydroxytetradecanoic acid (ω-3-C14:0))']","['58.5mg/L', '60.5mg/L', '72.6mg/L', '51.8mg/L', '2.9 folds more than ZW9', '41.9mg/L', '117.0mg/L']","['', 'M9', 'M9 w/ glucose']","['', 'Glucose', 'glucose']","['', '7.4', 'N/A']","['', '30°C']","['', 'Oxygen-limited', 'oxygen-limited']","['', 'Shake flask', 'shake flask']","[""'TesA"", 'BTE', 'LCR', 'P450BM3', 'TesA', 'YetO', 'fadD', 'tesA', 'yetO']"
10.1016.j.biortech.2015.06.108,"['succinate', 'succinate (succinate)']","['0.8g/g', '0.88g/g', '84.26±1.37g/L', '70g/L', '0.81g/g', '85.46±1.78g/L', '44.17±0.78g/L']",['AM1'],"['10% glucose', '10% xylose', '5% xylose', '5% xylose + 5% glucose']",['7.0'],['37°C'],['Unmeasured'],['Batch'],"['galP', 'galP*', 'ptsI', 'sacB']"
10.1016.j.jbiosc.2014.12.023,"['1,3-PDO', '1,3-PDO (1,3-propanediol)', '3-HP', '3-HP (3-hydroxypropionic acid)', 'acetate', 'acetate (acetate)']","['31.8±0.727mM', '2.16±0.178mM', 'peak level of 31.8±0.727mM', '15.6±0.683mM', '33.1±0.920mM', 'about 54.1% (mol/mol)', '56.1±0.736mM', '11.3±0.533mM', '10.2±0.472mM', '15.1% (mol/mol)', '32.8% (mol/mol)']",['modified M9'],['glycerol'],['6-7'],['37'],['-'],['batch'],"['araE', 'dhaB1', 'dhaB2', 'dhaB3', 'gdrA', 'gdrB', 'pduL', 'pduP', 'pduW']"
10.1016.j.ymben.2010.08.005,"['acetate', 'acetate (acetate)', 'ethanol', 'ethanol (ethanol)', 'glycerol', 'glycerol (glycerol)', 'pyruvate', 'succinic acid', 'succinic acid (succinic acid)']","['0.76 g L-1', '0.76 g L−1', '0.8 g L-1', '3.62 g L−1', '6.4 g L-1', '5gL−1', '2.98 g L−1', '0.8gL−1', '6.4 g/L', '0.8 g/L', '2gL−1', '0.11 mol (molglucose)−1', '11gL−1']",['defined minimal'],['glucose'],"['4.0-4.5', '5.8']",['30°C'],['high'],['shake flask'],"['IDH1', 'IDP1', 'IDP2', 'IDP3', 'SDH1', 'SDH2', 'SDH3', 'idh1', 'sdh1', 'sdh2']"
10.1016.j.ymben.2012.06.001,"['DGDAG', 'DGDAG (diglucosyldiacylglycerol)', 'TGDAG']","['6mg GGL per g dry weight', '180mg/L']",['Defined medium'],['Glucose'],['7.0'],['37°C'],['20% of air sat'],['Batch'],"['GalU', 'MG517', 'MG517 glycosyltransferase', 'PlsC', 'dgkA', 'galU', 'mg517', 'pgpB', 'plsB', 'plsC']"
10.1016.j.ymben.2012.08.003,"['mcl-PHA', 'mcl-PHA (medium-chain-length polyhydroxyalkanoate)', 'polyhydroxydodecanoate', 'polyhydroxydodecanoate (polyhydroxydodecanoate)']","['9.8% CDW', '17.3% CDW']",['MOPS minimal'],['1% (d)-glucose'],['7.00'],['37°C'],['Maintained ≥40%'],"['1.0L bioreactor, batch', 'Batch']","['BTE', 'FadA', 'FadB', 'FadD', 'FadE', 'FadL', 'FadR', 'PP_0763', 'fadBA', 'fadD', 'fadE', 'fadI', 'fadIJ', 'fadJ', 'fadK', 'fadR', 'fadRABIJ', 'fadRB', 'fadRBJ', 'phaC', 'phaJ']"
10.1016.j.ymben.2012.08.009,"['fatty acids', 'fatty acids (fatty acids)', 'myristic acid (C14:0)', 'myristic acid (C14:0) (myristic acid (C14:0))', 'palmitoleic acid (C16:1)', 'palmitoleic acid (C16:1) (palmitoleic acid (C16:1))']","['5.2±0.5g/L', '0.26g fatty acid/g glucose consumed', '0.7 g/L', '5.2±0.5 g/L', '1.1 g/L', '0.26 g fatty acid/g glucose']",['minimal medium'],['glucose'],['N/A'],['37°C'],['N/A'],['batch'],"['FadR', 'accA', 'accABCD', 'arcA', 'cpxP', 'fabA', 'fabB', 'fabF', 'fadBA', 'fadD', 'fadE', 'fadIJ', 'fadL', 'fadR', 'fumC', 'marR', 'mdtA', 'pspA', 'pspG', 'soxR', 'spy', 'tesA', 'vcfadR']"
10.1016.j.ymben.2012.10.003,"['muconic acid', 'muconic acid (muconic acid)']","['62±4mg/L', '3.9mg/g glucose', '25±1mg/L', '14±2mg/L', '21±2mg/L', '141±1mg/L', '5mg/L', '77±1mg/L', '30±1mg/L']","['YSC', 'YSM']",['glucose'],['N/A'],['30°C'],['N/A'],['shake flask'],"['ARO3', 'ARO4', 'ARO4k229l', 'AroY', 'AroZ', 'CatA', 'DEHA2C14806g', 'DEHA2F15906g', 'DEHA2G00682g', 'DHS', 'DHS dehydratase', 'ECL_01944', 'ECL_01944opt', 'FDC1', 'HQD2', 'PAD1', 'PCA decarboxylase', 'Pa_0_880', 'Pa_4_4540', 'Pa_5_5120', 'QutC', 'TKL1', 'ZWF1', 'aro4k229l', 'caHQD2opt', 'catechol 1,2-dioxygenase', 'dhDEHA2F15906g', 'kpAroYopt', 'pa5_5120opt']"
10.1016.j.ymben.2012.11.011,"['5AVA', '5AVA (5-aminovalerate)', 'glutarate', 'glutarate (glutarate)']","['3.6g/L', '1.1g/L', '1.7g/L', '0.27g/L', '1.1g/L (from 1.7g/L l-lysine)', '3.6g/L (from 7g/L l-lysine)', '0.5g/L']",['MR'],['Glucose'],"['6.9', '7.0']",['30°C'],"['Adjusted', 'Not specified']","['Batch', 'Fed-batch']","['dapA', 'dapB', 'dapC', 'dapD', 'dapE', 'dapF', 'davA', 'davB', 'ddh', 'gabD', 'gabT', 'lysA', 'lysC', 'metL', 'ppc', 'thrA']"
10.1016.j.ymben.2013.06.001,"['L-tyrosine', 'L-tyrosine (L-tyrosine)', 'salvianic acid A', 'salvianic acid A (salvianic acid A)']","['37.24mg/L', '702.7mg/L', '18.29mg/l', '18.85mg/L', '10.2mg/l', '197.18mg/L', '3.6g/L', '259.27mg/L', '45mg/L', '0.47mol/mol glucose', '7.1g/L']","['MOPS minimal medium', 'MOPS-glucose medium']","['glucose', 'glucose (fed-batch)']",['N/A'],['37°C'],['N/A'],"['bioreactor (fed-batch)', 'shake flask']","['D-LDH', 'D-LDHY52A', 'D-LDHY52V', 'HPPR', 'TyrB', 'aroA', 'aroB', 'aroE', 'aroG', 'aroGfbr', 'aroL', 'd-ldh', 'd-ldhWT', 'd-ldhY52A', 'd-ldhY52V', 'evgA', 'glk', 'hpaB', 'hpaBC', 'hpaC', 'module 1', 'module 2', 'module 3', 'module 4', 'pckA', 'pheA', 'ppsA', 'ptsG', 'pykA', 'pykF', 'tktA', 'tyrAfbr', 'tyrB', 'tyrR']"
10.1016.j.ymben.2013.07.003,"['fatty acid ethyl esters (FAEEs)', 'fatty acid ethyl esters (FAEEs) (fatty acid ethyl esters (FAEEs))', 'fatty alcohols', 'fatty alcohols (fatty alcohols)', 'free fatty acids', 'free fatty acids (Free Fatty Acids)', 'triacylglycerol (TAG)', 'triacylglycerol (TAG) (triacylglycerol)']","['56.5mg/L', '93.4mg/L', '400mg/L', '131.0mg/L', '1.3mg/L', '5.4mg/L', '33.8% (from 8.8% to 33.8%)', '98.0mg/L', '27% (from 11.6% to 27%)', '52mg/L', '5mg/L', '4.6mg/L', '207mg/L', '140.0mg/L', '4.9mg/L', '47.4mg/L', '164mg/L', '1.2mg/L']",['minimal medium'],"['-', '0.2% glucose, 1.8% galactose']",['-'],"['-', '30']",['-'],"['-', 'Flask culture']","[""'TesA"", 'ACC', 'ACC1', 'ADS', 'Cre recombinase', 'DGA1', 'Dga1', 'FAA1', 'FAA4', 'FAS', 'FAS1', 'FAS2', 'FOX3', 'FadE', 'LEU2', 'MaME', 'POX1', 'POX2', 'PXA1', 'PXA2', 'TAF10', 'TEF', 'TesA', 'URA3', 'acr1', 'atfA', 'fadD', 'mFAR1', 'malic enzyme']"
10.1016.j.ymben.2013.08.004,"['deoxyviolacein', 'deoxyviolacein (deoxyviolacein)', 'violacein', 'violacein (violacein)']","['176.1±5.9mgL−1', '209.5±17.3mgL−1', '202.8±1.2mgL−1', '324.1±2.4mgL−1', '277.0±3.5mgL−1', '250.3±5.7mgL−1', '710mgL−1']","['enriched', 'mineral']",['l-arabinose'],['7.8'],"['20', '30']","['-', '>80']","['bioreactor, fed-batch', 'shake flask']","['aphA', 'aroFBL', 'fuc', 'gal', 'lac', 'lacIZYA', 'sdaA', 'serA', 'tktA', 'tnaA', 'trpE', 'trpL', 'trpR', 'vioA', 'vioABCD', 'vioABCDE', 'vioB', 'vioC', 'vioD', 'vioE', 'xyl']"
10.1016.j.ymben.2013.12.004,"['fatty acids', 'fatty alcohols', 'fatty alcohols (fatty alcohols)', 'glycerol', 'hexadecanol']","['47mg/L', '0.007g fatty acid per gram glycerol', '0.02g fatty alcohol per g glycerol', '63.6mg/L', '0.75g/L', '9mg/L', '7.4mg/L', '11.5mg/L', '0.4g/L', '0.007g fatty alcohol per gram glycerol']","['LB', 'M9']","['glycerol', 'not specified']",['not specified'],['30°C'],['not specified'],"['2.5-L fermentor, fed-batch', 'shake flask']","['1-acylglycerol-3-phosphate acyltransferase', 'AAR', 'ACP', 'AD', 'AccC', 'Acr1', 'AdhE', 'AdhP', 'DPW', 'FAR', 'FabA', 'FabB', 'FabD', 'FabF', 'FabG', 'FabH', 'FabI', 'FabR', 'FabZ', 'FadA', 'FadD', 'FadH', 'FadI', 'FadR', 'Glycerol-3-phosphate acyltransferase', 'TesA', 'YqhD', 'aar', 'accA', 'accB', 'accC', 'accD', 'acetyl-CoA carboxylase', 'acr1', 'adhE', 'adhP', 'dpw', 'fadD', 'fadE', 'far', 'thioesterase', 'yqhD']"
10.1016.j.ymben.2014.01.003,"['FASEs', 'FASEs (fatty acid short-chain esters)', 'isobutanol', 'isobutanol (isobutanol)', 'isopentanol', 'isopentanol (isopentanol)']","['61.5±5.44mg/L', '103.7±7.01mg/L', '84.8±2.26mg/L', '72.7±1.11mg/L', '1.8±0.30mg/g glycerol', '3.6±0.06mg/g glycerol', '36±6.54mg/L', '1008mg/L', '107.8±3.26mg/L', '10.5±0.13mg/g glycerol', '74.7±1.76mg/L', '17.1mg/g glycerol', '209.1±2.62mg/L', '86.3±1.13mg/L']","['-', 'MK', 'modified M9']",['glycerol'],"['-', '7.0']","['-', '30°C', '37°C']","['-', '>20%']","['-', '6-L fed-batch bioreactor', 'shake flask']","['ADH2', 'ARO10', ""TesA'"", 'WS/DGAT', 'fadD', 'fadE']"
10.1016.j.ymben.2014.03.001,"['1,3-PDO', '1,3-PDO (1,3-propanediol)', '3-HP', '3-HP (3-hydroxypropionic acid)', 'acetic acid', 'acetic acid (acetic acid)', 'pyruvate']","['12.2g/L', '13g/L', '28.1±3.5g/L', '0.268g/g', '9g/L', '0.217g/g', '15g/L', '42.1±2.7g/L', '40.5±2.6g/L', '0.106g/g', '0.265g/g', '0.25g/g', '11.9g/L', '15.1g/L']","['-', 'modified M9']","['-', 'glycerol']","['-', '7.0', '7.8', 'Not specified']",['35°C'],"['-', 'aerated', 'aerobic']","['-', '5-L bioreactor', 'shake flask', 'shake-flask']","['GlpR', 'ackA-pta', 'aldH', 'dhaB', 'dhaB1', 'dhaB2', 'dhaB3', 'gdrA', 'gdrAB', 'gdrB', 'glpA', 'glpD', 'glpE', 'glpF', 'glpK', 'glpR', 'glpT', 'yqhD']"
10.1016.j.ymben.2014.06.004,"['2,3-DHBA', '2,3-DHBA (2,3-dihydroxybutyric acid)', '3,4-DHBA', '3,4-DHBA (3,4-dihydroxybutyric acid)', '3HB', '3HB (3-hydroxybutyric acid)', '3HBL', '3HBL (3-hydroxy-γ-butyrolactone)', 'acetate', 'glycolate', 'glycolate (glycolate)']","['0.3g/L', '317±9mg/L', '633±62mg/L', '312±12mg/L', '0.7g/L', '699±109mg/L', '1455±209mg/L', '0.5g/L']","['LB', 'M9']",['glucose'],['N/A'],['30°C'],['N/A'],['shake flask'],"['AceA', 'AceK', 'BktB', 'Pct', 'PhaB', 'TesB', 'YcdW', 'aceA', 'aceB', 'aceK', 'acs', 'bktB', 'gcl', 'glcB', 'iclR', 'pct', 'phaB', 'tesB', 'ycdW']"
10.1016.j.ymben.2014.07.010,"['P(3HB-co-4HB)', 'P(3HB-co-4HB) (Poly(3-hydroxybutyrate-co-4-hydroxybutyrate))', 'PHA', 'PHA (Polyhydroxyalkanoates)']","['8.2 g/L to 9.2 g/L', '9.2 g/L', '9.2g/L', '8.2 g/L', '8.2g/L']",['LB'],['Glucose'],['N/A'],['37'],['N/A'],"['After 10h arabinose induction, glucose feed', 'Batch', 'Batch with induction']","['4hbD', '68orfZ', 'dacA', 'folK', 'ftsZ', 'gabD', 'ispH', 'mreB', 'orfZ', 'p68orfZ-ispH', 'pMCSH5-folK', 'phaCAB', 'recA', 'sad', 'sucD', 'sulA']"
10.1016.j.ymben.2014.09.003,"['2-tridecanone', '2-tridecanone (2-Tridecanone)', 'acetate', 'acetate (acetate)', 'methyl ketones', 'methyl ketones (methyl ketones)']","['1.2g/L', '1.7g/L', '30% of the average value observed during batch production in shake flasks (0.14gMK/g glucose)', '0.042gMK/g glucose', '1g/L', '41–53% of glucose carbon', '~1.4g/L', '1.4g/L', '2g/L', '0.14gMK/g glucose', '<3g/L']","['M9-MOPS', 'Not specified']","['Glucose', 'Not specified']","['6.5', 'Not specified']","['37°C', 'Not specified']",['Not specified'],"['Batch', 'Fed-batch', 'Not specified']","['ACC', 'ACO', 'FadB', 'FadD', 'FadM', 'FadR', 'Mlut_11700', 'ackA', 'aco', 'acyl-CoA oxidase', 'atoA', 'atoD', 'fadD', 'poxB', 'pta']"
10.1016.j.ymben.2014.11.001,"['acetate', 'acetate (acetate)', 'n-butanol', 'n-butanol (n-butanol)']","['4.3g/L', '3.4g/L', '2.7g/L', '4.1g/L', '6.2g/L', '1.8g/L', '5.5g/L', '2.5g/L', '1.85g/L', '2.4g/L', '6.2g/L (estimated)', '4.4g/L', '4g/L']",['M9Y'],"['glucose', 'glucose, butyrate']",['-'],['37'],"['-', 'Oxygen-limited']","['Shake flask', 'Shake flask, batch', 'Shake flask, fed-batch']","['adhE', 'adhE2', 'atoDA', 'atoDAE', 'buk', 'crt', 'frdA', 'glf', 'hbd', 'ldhA', 'phaA', 'poxB', 'pta', 'ptb', 'ptsG', 'ter']"
10.1016.j.ymben.2014.11.003,"['chondroitin', 'chondroitin (chondroitin)']","['1.9±0.042g/l', '213±9.87mg/l']","['Defined medium', 'Rich defined medium']",['Glucose'],"['6.8', '7.0']","['33°C', '37°C']","['220rpm', 'Varying']","['2L bioreactor', 'Shake flask']","['kfoA', 'kfoC', 'kfoF']"
10.1016.j.ymben.2014.11.006,"['extracellular free fatty acids', 'extracellular free fatty acids (extracellular free fatty acids)', 'intracellular fatty acids', 'intracellular fatty acids (intracellular fatty acids)', 'total fatty acids', 'total fatty acids (total fatty acids)']","['1300mg/L', '340mg/L', '200mg/L', '410mg/L', '470mg/L', '490mg/L', '320mg/L', '110% higher than the parent strain', '600mg/L', '2200mg/L']",['complex medium'],['dextrose'],['N/A'],['30'],['N/A'],['shake flask'],"['ARE1', 'Are1', 'Are2', 'DGA1', 'FAA1', 'FAA2', 'FAA3', 'FAA4', 'FAT1', 'POX1', 'PXA1', 'TGL1', 'TGL3', 'TGL5']"
10.1016.j.ymben.2014.11.012,"['acetic acid', 'acetic acid (acetic acid)', 'formic acid', 'formic acid (formic acid)', 'lactic acid', 'lactic acid (lactic acid)']","['6.68g/L', '0.32g/g glucose', '5.98g/L', '0.96g/L', '0.90g/g glucose', '0.29g/g glucose', '19.59g/L']",['M9'],['glucose'],['6.8'],['37°C'],"['20% DO', 'Anaerobic']","['Batch', 'Batch (anaerobic)']","['aceEF', 'aceF', 'ackA', 'adhE', 'atp(FH)', 'focA-pflB', 'frdABCD', 'frdBC', 'fumA', 'ldhA', 'malic enzyme 1', 'malic enzyme 2', 'mdh', 'not mentioned', 'pckA', 'pfl-1', 'pflB', 'poxB1', 'pps-4', 'pta', 'pyk', 'pyruvate kinase', 'rpsL', 'sucA']"
10.1016.j.ymben.2014.12.004,"['PD', 'PD (pentadecane)', 'PDH', 'PDH (pentadecaheptaene)']","['10 times higher', '140mg/L', '3mg PD per g glucose']",['M9'],['Glucose'],['N/A'],"['16°C', '37°C']",['N/A'],"['5L fed-batch', 'Shake-flask']","['EGFP', 'SgcE', 'SgcE10', 'sgcE', 'sgcE10']"
