paper number,doi,strain names,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene
p7,10.1186.s12934-014-0135-y,E. coli W3110Δpgi (DE3) eddp1-pTrc,Escherichia coli,isoprenol (isoprenol),Decreased from EWIP5,M9 + 5 g L^-1 yeast extract + 10 g L^-1 glucose,glucose,10 g L^-1,shake flask,7.0,-,-,E. coli W3110Δpgi,pgi,"dxs, ispG, nudF",nudF
p7,10.1186.s12934-014-0135-y,E. coli EWIP5 (5 L scale),Escherichia coli,"isoprenol, prenol (isoprenol, prenol)","35.2 mg L^-1 prenol, 26.7 mg L^-1 isoprenol",M9 + 5 g L^-1 yeast extract + 20 g L^-1 glucose,glucose,20 g L^-1,"5 L reactor, batch",7.0,48 h,34 C,E. coli W3110Δpgi,pgi,"dxs, ispG, nudF",nudF
p8,10.1186.s12934-014-0160-x,YJM49,E. coli,β-carotene (β-carotene),3.2 g/L,optimized fermentation medium,glycerol,20 g/L (initial),aerobic fed-batch,7.0,56 h,"37°C (initial), 34°C (after induction)",E. coli BL21(DE3),-,"dxs, fni, GPPS2, mvaE, mvaS","dxs (B. subtilis), fni (B. subtilis), GPPS2 (A. grandis), mvaE, mvaS (E. faecalis), β-carotene synthesis genes (E. herbicola)"
p9,10.1186.1475-2859-12-119,BSW205,Saccharomyces cerevisiae,isobutanol (isobutanol),1.62 ± 0.11 g/L,SD medium,glucose,100 g/L,50-mL batch,Not specified,24 h,30°C,BY4741,LPD1,-,"kivd, ILV2, ADH6"
p9,10.1186.1475-2859-12-119,BSW206,Saccharomyces cerevisiae,isobutanol (isobutanol),1.61 ± 0.03 g/L,SD medium,glucose,100 g/L,50-mL batch,Not specified,24 h,30°C,BY4741,LPD1,-,"kivd, ILV2, ADH6"
p10,10.1186.s12934-015-0211-y,SJB009,Escherichia coli,arginine (L-arginine),11.64 g/L,M9 minimal media,glucose,70 g/L,"1-L bioreactor, batch",7,not specified,32°C,C600+,"ΔadiA, ΔspeC, ΔspeF, ΔargR, ΔargA","argA214, argP216",
p10,10.1186.s12934-015-0211-y,SJB010,Escherichia coli,arginine (L-arginine),not specified,M9 minimal media,glucose,70 g/L,"1-L bioreactor, batch",7,not specified,32°C,C600+,"ΔadiA, ΔspeC, ΔspeF, ΔargR, ΔargA","argA214, argO",
p11,10.1016.j.biortech.2012.02.119,ZW10,Escherichia coli,HFAs (long chain hydroxyfatty acids),117.0 mg/L,M9,glucose,20 g/L,shake flask,Not specified,15h,30°C,E. coli BL21(DE3),fadD,"'tesA, P450BM3","P450BM3 (from B. megaterium), 'tesA (from E. coli K12)"
p12,10.1016.j.biortech.2015.06.108,E. coli AS1600a,Escherichia coli,succinate (succinate),84.26 g/L,AM1 mineral salts,xylose,10%,batch,7.0,120h,37°C,E. coli KJ122,ptsI,-,-
p12,10.1016.j.biortech.2015.06.108,E. coli KJ122,Escherichia coli,succinate (succinate),85.46 g/L,AM1 mineral salts,glucose,10%,batch,7.0,-,37°C,E. coli ATCC8739,ptsI,-,-
p12,10.1016.j.biortech.2015.06.108,E. coli KJΔgalP(pLOI5747),Escherichia coli,succinate (succinate),-,AM1 mineral salts,xylose,10%,batch,7.0,-,37°C,E. coli KJ122,galP,wild-type galP,-
p12,10.1016.j.biortech.2015.06.108,E. coli KJΔgalP(pLOI5746),Escherichia coli,succinate (succinate),-,AM1 mineral salts,xylose,10%,batch,7.0,-,37°C,E. coli KJ122,galP,galP∗ (G236D),-
p13,10.1016.j.jbiosc.2014.12.023,TA1806,Escherichia coli,3-HP (3-hydroxypropionic acid),33.1±0.920mM,modified M9,glycerol,100mmol/L,batch,6-7,48h,37°C,E. coli B (TA212),-,araE,-
p13,10.1016.j.jbiosc.2014.12.023,TA2168,Escherichia coli,3-HP (3-hydroxypropionic acid),15.6±0.683mM,modified M9,glycerol,100mmol/L,batch,6-7,48h,37°C,E. coli B (TA212),-,-,"pduP, pduL, pduW"
p13,10.1016.j.jbiosc.2014.12.023,TA2142,Escherichia coli,3-HP (3-hydroxypropionic acid),56.1±0.736mM,modified M9,glycerol,100mmol/L,batch,6-7,48h,37°C,E. coli B (TA212),-,"araE, pduP, pduL, pduW",-
p14,10.1016.j.ymben.2012.06.001,AbC,E.coli,glycoglycerolipids (GGL) (glycoglycerolipids),6 mg/g dry weight,defined medium,glucose,25 g/L,batch and fed-batch,7.0,2h after induction,37°C,E. coli BL21(DE3) star,-,"galU, plsC",mg517 (from Mycoplasma genitalium)
p15,10.1016.j.ymben.2012.10.003,MuA01,Saccharomyces cerevisiae,muconic acid (muconic acid),5mg/L,YSC,glucose,20g/L,"shake flask, batch",not specified,48h,30°C,BY4741,-,-,"pa5_5120opt, caHQD2opt, kpAroYopt"
p15,10.1016.j.ymben.2012.10.003,MuA02,Saccharomyces cerevisiae,muconic acid (muconic acid),15mg/L,YSM,glucose,20g/L,"shake flask, batch",not specified,48h,30°C,BY4741,"aro3, aro4",-,"pa5_5120opt, caHQD2opt, kpAroYopt"
p15,10.1016.j.ymben.2012.10.003,MuA04,Saccharomyces cerevisiae,muconic acid (muconic acid),21mg/L,YSC and YSM,glucose,20g/L,"shake flask, batch",not specified,48h,30°C,MuA02,-,aro4k229l,"pa5_5120opt, caHQD2opt, kpAroYopt"
p15,10.1016.j.ymben.2012.10.003,MuA12,Saccharomyces cerevisiae,muconic acid (muconic acid),141mg/L,YSC (40g/L glucose),glucose,40g/L,"shake flask, batch",not specified,108h,30°C,BY4741,"zwf1, aro3, aro4",TKL1,"pa5_5120opt, caHQD2opt, ECL_01944opt (multi-copy)"
p16,10.1016.j.ymben.2012.11.011,E. coli WL3110 (pKE112-DavAB),Escherichia coli,5-aminovalerate (5AVA) (5-Aminovalerate),3.6 g/L,MR medium,glucose,20 g/L,batch,7.0,48 h,30°C,E. coli WL3110,-,davAB,"davA, davB"
p16,10.1016.j.ymben.2012.11.011,E. coli XQ56 (pKE112-DavAB),Escherichia coli,5-aminovalerate (5AVA) (5-Aminovalerate),0.5 g/L,MR medium,glucose,20 g/L (fed-batch),fed-batch,6.9,36 h,30°C,E. coli WL3110,-,davAB,"davA, davB"
p16,10.1016.j.ymben.2012.11.011,E. coli WL3110 (pKE112-DavABGabTD),Escherichia coli,glutarate (glutarate),1.7 g/L,MR medium,glucose,20 g/L,batch,7.0,-,30°C,E. coli WL3110,-,"davAB, gabTD","davA, davB, gabT, gabD"
p16,10.1016.j.ymben.2012.11.011,E. coli XQ56 (pKE112-DavABGabTD),Escherichia coli,glutarate (glutarate),-,MR medium + α-ketoglutarate,glucose + α-ketoglutarate,"20 g/L glucose, 10 g/L α-ketoglutarate",flask culture,-,-,30°C,E. coli WL3110,-,"davAB, gabTD","davA, davB, gabT, gabD"
p17,10.1016.j.ymben.2013.01.006,LW06 (BW25113 ΔldhA ΔackA ΔfrdABCD ΔadhE attTn7::PLlacO−1 pdcZm adhBZm AmpR),Escherichia coli,ethanol (ethanol),Not specified,AMX,glucose,100g/L,Batch,≥6,100h,37°C,BW25113,"ldhA, ackA, frdABCD, adhE","pdcZm, adhBZm",
p18,10.1016.j.ymben.2013.06.001,BHD2,Escherichia coli,salvianic acid A (salvianic acid A),37.24 mg/L,modified MOPS,glucose,5 g/L,"shake flask, no feeding",not specified,24 h,37°C,E. coli BW25113,-,"hpaBC, d-ldhWT","hpaBC (E. coli), d-ldh (L. pentosus)"
p18,10.1016.j.ymben.2013.06.001,BHD3,Escherichia coli,salvianic acid A (salvianic acid A),197.18 mg/L,modified MOPS,glucose,5 g/L,"shake flask, no feeding",not specified,24 h,37°C,E. coli BW25113,-,"hpaBC, d-ldhY52V","hpaBC (E. coli), d-ldhY52V (L. pentosus)"
p18,10.1016.j.ymben.2013.06.001,BHD4,Escherichia coli,salvianic acid A (salvianic acid A),259.27 mg/L,modified MOPS,glucose,5 g/L,"shake flask, no feeding",not specified,24 h,37°C,E. coli BW25113,-,"hpaBC, d-ldhY52A","hpaBC (E. coli), d-ldhY52A (L. pentosus)"
p18,10.1016.j.ymben.2013.06.001,BKD5,Escherichia coli,salvianic acid A (salvianic acid A),7.1 g/L,modified MOPS,glucose,fed-batch,"500 mL flask, fed-batch mode",not specified,70 h,37°C,E. coli BKT5,"pheA, ptsG, pykA, pykF, tyrB",-,"hpaBC (E. coli), d-ldhY52A (L. pentosus)"
p19,10.1016.j.ymben.2013.07.003,"BY4742, WRY1",Saccharomyces cerevisiae,total fatty acids (total fatty acids),"63.2 mg/L, 171.5 mg/L",minimal medium,"glucose, galactose","0.2% glucose, 1.8% galactose",shake flask,not specified,72h,30°C,BY4742,-,"ACC1, FAS1, FAS2, DGA1",-
p19,10.1016.j.ymben.2013.07.003,WRY1,Saccharomyces cerevisiae,TAG (triacylglycerol),17.3% DCW,minimal medium,"glucose, galactose","0.2% glucose, 1.8% galactose",shake flask,not specified,168h,30°C,BY4742,"PXA2, POX1","ACC1, FAS1, FAS2",DGA1
p19,10.1016.j.ymben.2013.07.003,BY4742,Saccharomyces cerevisiae,free fatty acids (free fatty acids),400 mg/L,minimal medium,"glucose, galactose","0.2% glucose, 1.8% galactose",shake flask,not specified,96h,30°C,BY4742,"FAA1, FAA4",'TesA,-
p19,10.1016.j.ymben.2013.07.003,WRY1,Saccharomyces cerevisiae,free fatty acids (free fatty acids),400 mg/L,minimal medium,"glucose, galactose","0.2% glucose, 1.8% galactose",shake flask,not specified,96h,30°C,BY4742,"FAA1, FAA4",'TesA,-
p19,10.1016.j.ymben.2013.07.003,BY4742,Saccharomyces cerevisiae,fatty alcohols (fatty alcohols),"47.4 mg/L, 93.4 mg/L",minimal medium,"glucose, galactose","0.2% glucose, 1.8% galactose",shake flask,not specified,168h,30°C,BY4742,-,mFAR1,-
p19,10.1016.j.ymben.2013.07.003,WRY1,Saccharomyces cerevisiae,FAEEs (fatty acid ethyl esters),4.6 mg/L,minimal medium,"glucose, galactose","0.2% glucose, 1.8% galactose",shake flask,not specified,168h,30°C,BY4742,PXA2,atfA,-
p20,10.1016.j.ymben.2013.08.004,E. coli dVio-1,Escherichia coli,deoxyviolacein (deoxyviolacein),176.1 mg L^-1,mineral medium,l-arabinose,10 g L^-1,shake flask,7.8,-,20°C,E. coli K-12 MG1655,-,vioABCDE (from C. violaceum),-
p20,10.1016.j.ymben.2013.08.004,E. coli dVio-6,Escherichia coli,deoxyviolacein (deoxyviolacein),320 mg L^-1,mineral medium,l-arabinose,10 g L^-1,shake flask,7.8,-,20°C,E. coli dVio-1,"trpR, tnaA, sdaA",-,-
p20,10.1016.j.ymben.2013.08.004,E. coli Vio-4,Escherichia coli,violacein (violacein),710 mg L^-1,modified mineral medium,"glucose (batch), l-arabinose (fed-batch)","10 g L^-1, 360 g L^-1",bioreactor (fed-batch),7.8,200h,20°C,E. coli dVio-6,-,-,vioD (from J. lividum)
p21,10.1016.j.ymben.2013.12.004,RL101/pFASR,Escherichia coli,fatty alcohols (fatty alcohols),0.75 g/L,M9,glycerol,200 g/L,"2.5-L, fed-batch",not specified,12h after induction (total incubation time not specified),30°C,TL101,fadD,-,aar (Synechoccus elongatus)
p21,10.1016.j.ymben.2013.12.004,RL101/pMSD8/pXL66,Escherichia coli,fatty alcohols (fatty alcohols),0.4 g/L,M9,glycerol,200 g/L,"2.5-L, fed-batch",not specified,12h after induction (total incubation time not specified),30°C,TL101,fadD,"accA, accB, accC, accD",far (Simmondsia chinensis)
p22,10.1016.j.ymben.2014.01.003,BL21/pDG101,Escherichia coli,FASEs (fatty acid short-chain esters),36±6.54 mg/L,Modified M9,Glycerol,20 g/L,Shake flask,7.0,28 h,30°C,BL21 (DE3),-,"ARO10, ADH2, WS/DGAT","ARO10 (S. cerevisiae), ADH2 (S. cerevisiae), WS/DGAT (A. baylyi)"
p22,10.1016.j.ymben.2014.01.003,TL101/pDG101,Escherichia coli,FASEs (fatty acid short-chain esters),72.7±1.11 mg/L,Modified M9,Glycerol,20 g/L,Shake flask,7.0,28 h,30°C,BL21 (DE3),fadE,"ARO10, ADH2, WS/DGAT","ARO10 (S. cerevisiae), ADH2 (S. cerevisiae), WS/DGAT (A. baylyi)"
p22,10.1016.j.ymben.2014.01.003,TL101/pDG101/pMSD15,Escherichia coli,FASEs (fatty acid short-chain esters),107.8±3.26 mg/L,Modified M9,Glycerol,20 g/L,Shake flask,7.0,28 h,30°C,BL21 (DE3),fadE,"TesA', ARO10, ADH2, WS/DGAT","TesA' (E. coli), ARO10 (S. cerevisiae), ADH2 (S. cerevisiae), WS/DGAT (A. baylyi)"
p22,10.1016.j.ymben.2014.01.003,TL101/pDG102/pMSD15,Escherichia coli,FASEs (fatty acid short-chain esters),209.1±2.62 mg/L,MK,Glycerol,200 g/L (fed-batch),6-L fed-batch bioreactor,7.0,-,30°C,BL21 (DE3),fadE,"fadD, TesA', ARO10, ADH2, WS/DGAT","fadD (E. coli), TesA' (E. coli), ARO10 (S. cerevisiae), ADH2 (S. cerevisiae), WS/DGAT (A. baylyi)"
p23,10.1016.j.ymben.2014.03.001,SPC001,Escherichia coli,3-HP (3-hydroxypropionic acid),9 g/L,modified M9,glycerol,40 g/L,shake-flask,7.8,48h,35°C,E. coli W3110(DE3),-,"dhaB, aldH, gdrAB",-
p23,10.1016.j.ymben.2014.03.001,SPC002,Escherichia coli,3-HP (3-hydroxypropionic acid),12.2 g/L,modified M9,glycerol,40 g/L,shake-flask,-,-,35°C,SPC001,"ackA-pta, yqhD",-,-
p23,10.1016.j.ymben.2014.03.001,SPC002,Escherichia coli,3-HP (3-hydroxypropionic acid),28.1 g/L,5-L bioreactor,glycerol,129.1 g/L (fed-batch),"2L, fed-batch",7.0,35h,35°C,E. coli W3110(DE3),"ackA-pta, yqhD",-,-
p23,10.1016.j.ymben.2014.03.001,SPC003-1 (with 10^{-6}g/L l-arabinose),Escherichia coli,3-HP (3-hydroxypropionic acid),15.1 g/L,modified M9,glycerol,40 g/L,shake-flask,-,-,35°C,SPC003,glpK,glpK (inducible),-
p23,10.1016.j.ymben.2014.03.001,SPC005,Escherichia coli,3-HP (3-hydroxypropionic acid),40.5 g/L,5-L bioreactor,glycerol,152.4 g/L (fed-batch),"2L, fed-batch",7.0,32h,35°C,SPC002,glpR,-,-
p23,10.1016.j.ymben.2014.03.001,SPC006,Escherichia coli,3-HP (3-hydroxypropionic acid),42.1 g/L,5-L bioreactor,glycerol,-,"2L, fed-batch",-,32h,35°C,SPC005,glpR,glpF,-
p24,10.1016.j.ymben.2014.06.004,GP0-1,Escherichia coli,glycolate (glycolate),0.7 g/L,M9 minimal,glucose,8 g/L,shake flask,-,72 h,30°C,MG1655 (DE3),-,"ycdW, aceA, aceK",-
p24,10.1016.j.ymben.2014.06.004,GP0-1-DHP,Escherichia coli,3HB (3-hydroxybutyric acid),-,M9 minimal,glucose,8 g/L,shake flask,-,72 h,30°C,GP0-1,-,-,"3,4-DHBA/3HBL pathway enzymes"
p24,10.1016.j.ymben.2014.06.004,GP0-2-DHP,Escherichia coli,"3,4-DHBA (3,4-dihydroxybutyric acid)",699±109 mg/L,M9 minimal,glucose,1%,shake flask,-,72 h,30°C,GP0-2,-,"ycdW, aceA, aceK","3,4-DHBA/3HBL pathway enzymes"
p25,10.1016.j.ymben.2014.07.010,"E. coli JM109SGIK (p68orfZ-ispH, pMCSH5-folK, p15asulA)",Escherichia coli,P(3HB-co-4HB) (poly(3-hydroxybutyrate-co-4-hydroxybutyrate)),9.2 g/L,LB,glucose,20 g/L,batch,,48 h,37°C,E. coli JM109SGI,"ispH, folK",sulA,"phaCAB operon, orfZ, 4hbD, sucD"
p26,10.1016.j.ymben.2014.09.003,EGS1895,Escherichia coli,methyl ketones (medium-chain methyl ketones),~1.4g/L,M9-MOPS minimal,glucose,1%,batch,6.5,90h,37°C,EGS1710,"∆ackA-pta, ∆poxB",-,ACO (Mlut_11700)
p26,10.1016.j.ymben.2014.09.003,EGS1710,Escherichia coli,methyl ketones (medium-chain methyl ketones),-,M9-MOPS minimal,glucose,1%,batch,-,-,37°C,EGS1640,∆poxB,-,ACO (Mlut_11700) - codon-optimized
p26,10.1016.j.ymben.2014.09.003,EGS1320,Escherichia coli,methyl ketones (medium-chain methyl ketones),-,TSB (0.2% glucose),glucose,0.2%,batch,-,72h,37°C,-,-,"fadR, fadD",-
p26,10.1016.j.ymben.2014.09.003,Fed-batch EGS1895,Escherichia coli,methyl ketones (medium-chain methyl ketones),-,not specified,glucose,fed-batch,fed-batch,-,23-45h,37°C,EGS1895,"∆ackA-pta, ∆poxB",-,ACO (Mlut_11700)
p27,10.1016.j.ymben.2014.11.001,BuT-3E,Escherichia coli,n-butanol (n-butanol),4.3 g/L,M9Y with butyrate,glucose + butyrate,"10 g/L glucose, variable butyrate","shake flask, oxygen-limited",Not specified,24 h,37°C,BL-A4,adhE,"atoDA, PλPL-driven adhE2",adhE2 from C. acetobutylicum
p27,10.1016.j.ymben.2014.11.001,BuT-3EA,Escherichia coli,n-butanol (n-butanol),3.4 g/L,M9Y with butyrate,glucose + butyrate,"10 g/L glucose, 5 g/L butyrate","shake flask, oxygen-limited",Not specified,24 h,37°C,BuT-3E,None additional,PλPL-driven acs,
p27,10.1016.j.ymben.2014.11.001,BuT-3EA (substrate feeding),Escherichia coli,n-butanol (n-butanol),6.2 g/L,M9Y with butyrate,glucose + butyrate,"10 g/L glucose, 5 g/L butyrate","shake flask, substrate feeding",Not specified,36 h,37°C,BuT-3E,None additional,PλPL-driven acs,
p27,10.1016.j.ymben.2014.11.001,"Co-culture (BuT-3E + BuT-8L-ato, E/L 1:2)",Escherichia coli,n-butanol (n-butanol),5.5 g/L,M9Y,glucose,20 g/L,shake flask,Not specified,24 h,37°C,multiple,adhE (in BuT-3E ancestor),"atoDA, adhE2 (BuT-3E); phaA, hbd, crt, ter (BuT-8L-ato)","adhE2 from C. acetobutylicum, metabolic pathway genes for butyrate production"
p28,10.1016.j.ymben.2014.11.003,E. coli BL21 Star™ (DE3),E. coli,chondroitin (chondroitin sulfate),"213 mg/L (shake flask), 2.4 g/L (fed-batch)",Rich defined medium,glucose,"20 g/L (shake flask), 40% glucose feed (fed-batch)","250 mL Erlenmeyer flask (shake flask), 2L bioreactor (fed-batch, DO-stat)",6.8,"18-24 hours (shake flask), ~50 hours (fed-batch)","37°C (initial), 33°C (post-induction)",E. coli BL21 Star™ (DE3),-,"kfoA, kfoC, kfoF","kfoA, kfoC, kfoF (from E. coli K4)"
p29,10.1016.j.ymben.2014.11.006,BY4741ΔFAA1ΔFAA4ΔFAT1,Saccharomyces cerevisiae,extracellular free fatty acids (extracellular free fatty acids),490 mg/L,YPD,glucose,20 g/L,shake flask,not specified,48 h,30°C,BY4741,"FAA1, FAA4, FAT1",-,-
p29,10.1016.j.ymben.2014.11.006,BY4741ΔFAA1ΔFAA4ΔFAT1ΔFAA2ΔPXA1ΔPOX1,Saccharomyces cerevisiae,extracellular free fatty acids (extracellular free fatty acids),1.3 g/L,YPD,glucose,20 g/L,shake flask,not specified,-,30°C,BY4741,"FAA1, FAA4, FAT1, FAA2, PXA1, POX1",-,-
p29,10.1016.j.ymben.2014.11.006,"BY4741ΔFAA1ΔFAA4ΔFAT1ΔFAA2ΔPXA1ΔPOX1 (DGA1, TGL3)",Saccharomyces cerevisiae,extracellular free fatty acids (extracellular free fatty acids),2.2 g/L,YPD,glucose,20 g/L,shake flask,not specified,-,30°C,BY4741,"FAA1, FAA4, FAT1, FAA2, PXA1, POX1","DGA1, TGL3",-
p29,10.1016.j.ymben.2014.11.006,"BY4741ΔFAA1ΔFAA4ΔFAT1ΔFAA2ΔPXA1ΔPOX1 (DGA1, TGL3)",Saccharomyces cerevisiae,extracellular free fatty acids (extracellular free fatty acids),2200 mg/L,YPD,glucose,20 g/L,shake flask,not specified,48 h,30°C,BY4741,"FAA1, FAA4, FAT1, FAA2, PXA1, POX1","DGA1, TGL3",-
p30,10.1016.j.ymben.2014.11.012,JMFP,Escherichia coli,Homo-acetic acid (Homo-acetic acid),6.68 g/L,M9,Glucose,21 g/L,Batch,6.8,,37°C,E. coli W3110,"fumA, pflB",-,-
p30,10.1016.j.ymben.2014.11.012,JMMP,Escherichia coli,Homo-acetic acid (Homo-acetic acid),5.98 g/L,M9,Glucose,21 g/L,Batch,6.8,,37°C,E. coli W3110,"mdh, pflB",-,-
p30,10.1016.j.ymben.2014.11.012,JMAP,Escherichia coli,Homo-lactic acid (Homo-lactic acid),19.59 g/L,M9,Glucose,21 g/L,Batch,,,37°C,E. coli W3110,"aceF, pflB",-,-
p30,10.1016.j.ymben.2014.11.012,TC36,Escherichia coli,Homo-acetic acid (Homo-acetic acid),0.38 g/g glucose,M9,Glucose,21 g/L,Batch,,,,E. coli W3110,Multiple*,-,-
p30,10.1016.j.ymben.2014.11.012,ALS974,Escherichia coli,Homo-lactic acid (Homo-lactic acid),0.99 g/g glucose (anaerobic phase),,Glucose + acetate,,Two-phase (aerobic → anaerobic),Optimized,,,DSM 14335,"poxB1, aceEF, rpsL, pps-4, pfl-1, frdABCD",-,-
p30,10.1016.j.ymben.2014.11.012,M. succiniciproducens (engineered),Escherichia coli,Homo-succinic acid (Succinic acid),-,,Glucose,15.72 mmol/gDCW/h,Batch,,,,M. succiniciproducens,"pyk, pta/ackA",-,-
p31,10.1016.j.ymben.2014.12.004,BL21(DE3)/pQL1,Escherichia coli,PD (Pentadecane) (Pentadecane),140 mg/L,M9,Glucose,2%,5L fed-batch,Not specified,18 hours post-induction,16°C,BL21(DE3),,"sgcE, sgcE10","SgcE, SgcE10 (from iterative Type I polyketide synthase)"
