identifier,doi,strain names,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene
p3,10.1007.s00253-011-3725-1,YW22,taxadiene,"5.42 mg/g DCW (ppk), 7.23 mg/g DCW (sthA), 5.66 mg/g DCW (purN)",complex medium,glycerol,15 g/l,culture tubes,7.60,120 h,22 °C,JM109(DE3),none,"ppk, sthA, purN, idi","GGPPS, TXS"
p4,10.1186.1475-2859-10-97,E. coli BW25113 (wild type) with pRJ11,"1,2-propanediol",0.8 g/L,Low-phosphate medium,glucose,20 g/L,"Shake flask, anaerobic",6.8,48 h,30°C,BW25113,,"mgsA from B. subtilis, ydjG from E. coli, budC from K. pneumoniae",
p4,10.1186.1475-2859-10-97,E. coli BW25113 (wild type) with pRJ11 and pYY93,1-propanol,0.25 g/L,Low-phosphate medium with coenzyme B-12,glucose,20 g/L,"Shake flask, anaerobic",6.8,48 h,30°C,BW25113,,"mgsA from B. subtilis, ydjG from E. coli, budC from K. pneumoniae",ppdABC from K. oxytoca
p5,10.1186.1475-2859-11-68,BY4742,"2,3-butanediol",0.04 g·l^-1,SC medium,Glucose,20 g·l^-1,"Flask, batch",,60h,30°C,BY4742,,,
p5,10.1186.1475-2859-11-68,B2C-a1,"2,3-butanediol",0.825 g·l^-1,SC medium,Glucose,20 g·l^-1,"Flask, batch",,60h,30°C,BY4742,ADH1,,
p5,10.1186.1475-2859-11-68,B2C-a1a3,"2,3-butanediol",1.54 g·l^-1,SC medium,Glucose,20 g·l^-1,"Flask, batch",,60h,30°C,BY4742,"ADH1, ADH3",,
p5,10.1186.1475-2859-11-68,B2C-a1a5,"2,3-butanediol",1.42 g·l^-1,SC medium,Glucose,20 g·l^-1,"Flask, batch",,60h,30°C,BY4742,"ADH1, ADH5",,
p5,10.1186.1475-2859-11-68,B2C-a1a3a5,"2,3-butanediol",1.64 g·l^-1,SC medium,Glucose,20 g·l^-1,"Flask, batch",,60h,30°C,BY4742,"ADH1, ADH3, ADH5",,
p5,10.1186.1475-2859-11-68,B2C-a1a6,"2,3-butanediol",0.046 g·g^-1,SC medium,Glucose,20 g·l^-1,"Flask, batch",,60h,30°C,BY4742,"ADH1, ALD6",,
p5,10.1186.1475-2859-11-68,B2C-a1a3a5,"2,3-butanediol",2.29 g·l^-1,SC medium,Glucose,20 g·l^-1,"Flask, batch",,,30°C,BY4742,"ADH1, ADH3, ADH5",,
p5,10.1186.1475-2859-11-68,B2C-a1a5,"2,3-butanediol",1.67 g·l^-1,SC medium,Glucose,20 g·l^-1,"Flask, batch",,,30°C,BY4742,"ADH1, ADH5",,"B. subtilis alsS, E. aerogenes budA and budC"
p5,10.1186.1475-2859-11-68,B2C-a1a6,"2,3-butanediol",0.089 g·g^-1,SC medium,Glucose,20 g·l^-1,"Flask, batch",,,30°C,BY4742,"ADH1, ALD6",,"B. subtilis alsS, E. aerogenes budA and budC"
p6,10.1186.1754-6834-6-57,YY159,Isoprenol,1.3 g/L,LB,Glucose,30 g/L,Shake flask,2.0,1 h,30°C,E. coli DNF,"IDI1, EcNudF, yggV",BsNudF,"mvaS, mvaE, ERG12, ERG8, ERG19 from S. cerevisiae"
p6,10.1186.1754-6834-6-57,YY168,Prenol,0.2 g/L,LB,Glucose,30 g/L,Shake flask,2.0,1 h,30°C,E. coli DNF,"IDI1, EcNudF, yggV",EcNudF,"mvaS, mvaE, ERG12, ERG8, ERG19, IDI1 from S. cerevisiae"
p7,10.1186.s12934-014-0104-5,RF01S,riboflavin,229.1,LB,glucose,10 g/L,shake flask,,48 h,37°C,MG1655,,ribABDEC,
p7,10.1186.s12934-014-0104-5,RF02S,riboflavin,394.8,LB,glucose,10 g/L,shake flask,,48 h,37°C,RF02,pgi,ribABDEC,
p7,10.1186.s12934-014-0104-5,RF03S,riboflavin,559.9,LB,glucose,10 g/L,shake flask,,48 h,37°C,RF03,"edd, eda",ribABDEC,
p7,10.1186.s12934-014-0104-5,RF05S,riboflavin,585.2,LB,glucose,10 g/L,shake flask,,48 h,37°C,RF05,,"acs, ribABDEC",
p7,10.1186.s12934-014-0104-5,RF05S-M40,riboflavin,1036.1,LB,glucose,10 g/L,shake flask,,48 h,37°C,RF05S,,"ribF, ribABDEC",
p7,10.1186.s12934-014-0104-5,RF05S-M40,riboflavin,1507.0,LB,glucose,10 g/L,shake flask,,48 h,31°C,RF05S,,"ribF, ribABDEC",
p7,10.1186.s12934-014-0104-5,RF05S-M40,riboflavin,2702.8,MS,glucose,20 g/L,shake flask,,60 h,31°C,RF05S,,"ribF, ribABDEC",
p8,10.1186.s12934-014-0135-y,EWIP1,"Isoprenol, Prenol",<1 mg L^-1,M9 medium with yeast extract and glucose,Glucose,10 g L^-1,250 mL shaking flask,-,48 h,"37°C, 30°C",E. coli W3110 (DE3),,yhfR,nudF from Bacillus subtilis
p8,10.1186.s12934-014-0135-y,EWIP2,"Isoprenol, Prenol","2.6 mg L^-1 prenol, 2.2 mg L^-1 isoprenol",M9 medium with yeast extract and glucose,Glucose,10 g L^-1,250 mL shaking flask,-,48 h,"37°C, 30°C",E. coli W3110 (DE3),,nudF,nudF from Bacillus subtilis
p8,10.1186.s12934-014-0135-y,EWIP3,"Isoprenol, Prenol","Not specified, 1.6-fold increase",M9 medium with yeast extract and glucose,Glucose,10 g L^-1,250 mL shaking flask,-,48 h,"37°C, 30°C",E. coli W3110 (DE3),,"ispG, nudF","ispG from E. coli, nudF from Bacillus subtilis"
p8,10.1186.s12934-014-0135-y,EWIP4,"Isoprenol, Prenol","Not specified, 2.1-fold increase",M9 medium with yeast extract and glucose,Glucose,10 g L^-1,250 mL shaking flask,-,48 h,"37°C, 30°C",E. coli W3110 (DE3),,"ispG, dxs, nudF","ispG from E. coli, dxs from E. coli, nudF from Bacillus subtilis"
p8,10.1186.s12934-014-0135-y,EWIP5,"Isoprenol, Prenol",30 mg L^-1,M9 medium with yeast extract and glucose,Glucose,10 g L^-1,250 mL shaking flask,-,48 h,"37°C, 30°C",E. coli W3110 (DE3),pgi,"ispG, dxs, nudF","ispG from E. coli, dxs from E. coli, nudF from Bacillus subtilis"
p8,10.1186.s12934-014-0135-y,EWIP5,"Prenol, Isoprenol","35.2 mg L^-1 prenol, 26.7 mg L^-1 isoprenol",M9 minimal salts medium with glucose,Glucose,20 g L^-1,5 L laboratory reactor,7.0,48 h,34°C,E. coli W3110 (DE3),pgi,"ispG, dxs, nudF","ispG from E. coli, dxs from E. coli, nudF from Bacillus subtilis"
p9,10.1186.s12934-014-0160-x,YJM39,β-carotene,1.08±0.07 mg/L,fermentation medium,glucose,20 g/L,shake-flask,7.0,24 h,37°C,E. coli BL21(DE3),,-,native MEP pathway and β-carotene synthesis genes from Erwinia herbicola
p9,10.1186.s12934-014-0160-x,YJM40,β-carotene,2.24±0.1 mg/L,fermentation medium,glucose,20 g/L,shake-flask,7.0,24 h,30°C,E. coli BL21(DE3),,dxs (Bacillus subtilis),β-carotene synthesis genes from Erwinia herbicola
p9,10.1186.s12934-014-0160-x,YJM41,β-carotene,5.2±0.2 mg/L,fermentation medium,glucose,20 g/L,shake-flask,7.0,24 h,30°C,E. coli BL21(DE3),,dxs and fni (Bacillus subtilis),β-carotene synthesis genes from Erwinia herbicola
p9,10.1186.s12934-014-0160-x,YJM42,β-carotene,7.86±0.2 mg/L,fermentation medium,glucose,20 g/L,shake-flask,7.0,24 h,30°C,E. coli BL21(DE3),,dxs and fni (Bacillus subtilis),IspA (E. coli) and β-carotene synthesis genes from Erwinia herbicola
p9,10.1186.s12934-014-0160-x,YJM43,β-carotene,15.2±0.4 mg/L,fermentation medium,glucose,20 g/L,shake-flask,7.0,24 h,30°C,E. coli BL21(DE3),,dxs and fni (Bacillus subtilis),GPPS2 (Abies grandis) and β-carotene synthesis genes from Erwinia herbicola
p9,10.1186.s12934-014-0160-x,YJM44,β-carotene,52.6±1.5 mg/L,fermentation medium,glucose,20 g/L,shake-flask,7.0,24 h,30°C,E. coli BL21(DE3),,"dxs and fni (Bacillus subtilis) and mvaE, mvaS",hybrid MVA pathway (E. faecalis) and β-carotene synthesis genes from Erwinia herbicola
p9,10.1186.s12934-014-0160-x,YJM45,β-carotene,71.4±4.3 mg/L,fermentation medium,glucose,20 g/L,shake-flask,7.0,24 h,34°C,E. coli BL21(DE3),,"dxs and fni (Bacillus subtilis), mvaE, mvaS","hybrid MVA pathway (E. faecalis), β-carotene synthesis genes from Erwinia herbicola"
p9,10.1186.s12934-014-0160-x,YJM49,β-carotene,122.4±6.2 mg/L,fermentation medium,glucose,20 g/L,shake-flask,7.0,24 h,34°C,E. coli BL21(DE3),,"dxs and fni (Bacillus subtilis), mvaE, mvaS, GPPS2","hybrid MVA pathway (E. faecalis), β-carotene synthesis genes from Erwinia herbicola                                                                      +"
p9,10.1186.s12934-014-0160-x,YJM49,β-carotene,256.8±10.4 mg/L,optimized fermentation medium,glycerol,20 g/L,shake-flask,7.0,48 h,34°C,E. coli BL21(DE3),,"dxs and fni (Bacillus subtilis), mvaE, mvaS, GPPS2","hybrid MVA pathway (E. faecalis), β-carotene synthesis genes from Erwinia herbicola"
p9,10.1186.s12934-014-0160-x,YJM49,β-carotene,3.2 g/L,optimized fermentation medium,glycerol,40%,fed-batch fermentation,7.0,56 h,34°C,E. coli BL21(DE3),,"dxs and fni (Bacillus subtilis), mvaE, mvaS, GPPS2","hybrid MVA pathway (E. faecalis), β-carotene synthesis genes from Erwinia herbicola, co-express with β-carotene synthesis genes from Erwinia herbicola"
p10,10.1186.1475-2859-12-119,BSW205,Isobutanol,1.62 ± 0.11 g/L,SD medium,glucose,100 g/L,"50-mL scale, semi-anaerobic",,24 h,30°C,BY4741,LPD1,"Kivd, ADH6, ILV2, mitochondrial MAE1",
p10,10.1186.1475-2859-12-119,BSW206,Isobutanol,1.61 ± 0.03 g/L,SD medium,glucose,100 g/L,"50-mL scale, semi-anaerobic",,24 h,30°C,BY4741,LPD1,"Kivd, ADH6, ILV2, cytosolic Mae1, MDH2, PYC2",
p10,10.1186.1475-2859-12-119,BSW100,Isobutanol,22 ± 1 mg/L,SD medium,glucose,,"5-mL cultures, semi-anaerobic",,72 h,30°C,BY4741,,"Kivd, ADH6, ILV2",
p10,10.1186.1475-2859-12-119,BSW17,Isobutanol,117 ± 6 mg/L,SD medium,glucose,,"5-mL cultures, semi-anaerobic",,48 h,30°C,YPH499,,"Kivd, ADH6, ILV2, cytosolic sMae1, MDH2, PYC2",
p10,10.1186.1475-2859-12-119,BSW18,Isobutanol,139 ± 4 mg/L,SD medium,glucose,,"5-mL cultures, semi-anaerobic",,48 h,30°C,YPH499,,"Kivd, ADH6, ILV2, mitochondrial MAE1",
p10,10.1186.1475-2859-12-119,BSW13,Isobutanol,23 ± 3 mg/L,SD medium,glucose,,"5-mL cultures, semi-anaerobic",,48 h,30°C,YPH499,,"Kivd, ADH6",
p10,10.1186.1475-2859-12-119,BSW8,Isobutanol,71 ± 6 mg/L,SD medium,glucose,,"5-mL cultures, semi-anaerobic",,48 h,30°C,YPH499,,"Kivd, ADH6, ILV2, mitochondrial MAE1",
p10,10.1186.1475-2859-12-119,BSW10,Isobutanol,83 ± 2 mg/L,SD medium,glucose,,"5-mL cultures, semi-anaerobic",,48 h,30°C,YPH499,,"Kivd, ADH6, ILV2, Mdh2p, Pyc2p",
p10,10.1186.1475-2859-12-119,BSW187,Isobutanol,46 ± 14 mg/L,SD medium,glucose,,"5-mL cultures, semi-anaerobic",,48 h,30°C,BY4741,,"Kivd, ADH6, ILV2, truncated ILV2c, ILV3c, ILV5c",
p10,10.1186.1475-2859-12-119,BSW192,Isobutanol,94 ± 5 mg/L,SD medium,glucose,,"5-mL cultures, semi-anaerobic",,48 h,30°C,BY4741,LPD1,"Kivd, ADH6, ILV2, MAE1",
p10,10.1186.1475-2859-12-119,BSW191,Isobutanol,83 ± 2 mg/L,SD medium,glucose,,"5-mL cultures, semi-anaerobic",,48 h,30°C,BY4741,LPD1,"Kivd, ADH6, ILV2, PMsM (PYC2, MDH2, sMAE1)",
p10,10.1186.1475-2859-12-119,BSW4,Isobutanol,45 ± 4 mg/L,SD medium,glucose,,"5-mL cultures, semi-anaerobic",,48 h,30°C,YPH499,,"Kivd, ADH6, ILV2",
p11,10.1186.1475-2859-13-21,E. coli BW25113 (ΔaroKΔaroL),Shikimic acid,0.15 g/L,Luria Broth,glucose,10 g/L,shake flask,7.0,72 h,37°C,E. coli BW25113,"ΔaroK, ΔaroL",,
p11,10.1186.1475-2859-13-21,"E. coli BW25113 (ΔaroKΔaroL, P pps ::P lacQ1, P csrB ::P lacQ1)",Shikimic acid,0.23 g/L,Luria Broth,glucose,10 g/L,shake flask,7.0,72 h,37°C,E. coli BW25113,"ΔaroK, ΔaroL","pps, csrB",
p11,10.1186.1475-2859-13-21,"E. coli BW25113 (ΔaroKΔaroL, P pps ::P lacQ1, P csrB ::P lacQ1, P T5 -pps, P T5 -csrB)",Shikimic acid,0.26 g/L,Luria Broth,glucose,10 g/L,shake flask,7.0,72 h,37°C,E. coli BW25113,"ΔaroK, ΔaroL","pps, csrB",
p11,10.1186.1475-2859-13-21,E. coli SA110,Shikimic acid,1.34 g/L,Luria Broth,glucose,10 g/L,shake flask,7.0,72 h,37°C,E. coli BW25113,"ΔaroK, ΔaroL","pps, csrB, aroG fbr, aroB, aroE, tktA",
p11,10.1186.1475-2859-13-21,E. coli SA112,Shikimic acid,1.70 g/L,Luria Broth,glucose,10 g/L,shake flask,7.0,72 h,37°C,E. coli BW25113,"ΔaroK, ΔaroL","pps, csrB, aroG fbr, aroB, aroE, tktA",
p11,10.1186.1475-2859-13-21,E. coli SA116,Shikimic acid,3.12 g/L,Luria Broth,glucose,10 g/L,shake flask,7.0,72 h,37°C,E. coli BW25113,"ΔaroK, ΔaroL","pps, csrB, aroG fbr, aroB, aroE, tktA, pntAB or nadK",
p12,10.1186.s12934-015-0211-y,SJB001,Arginine,Lower than SJB003,M9 minimal media,Glucose,70 g/L,"Bioreactor, batch fermentation",7,-,32°C,C600+Δ4,,argA214 (pKH15),
p12,10.1186.s12934-015-0211-y,SJB003,Arginine,3.03 g/L,M9 minimal media,Glucose,70 g/L,"Bioreactor, batch fermentation",7,-,32°C,C600+Δ4,,argA214 (pKH15),
p12,10.1186.s12934-015-0211-y,SJB004,Arginine,Lower than SJB003,M9 minimal media,Glucose,70 g/L,"Bioreactor, batch fermentation",7,-,32°C,C600+Δ4,,argA214 (pKH15),
p12,10.1186.s12934-015-0211-y,SJB006,Arginine,Similar to SJB001 and SJB004,M9 minimal media,Glucose,70 g/L,"Bioreactor, batch fermentation",7,-,32°C,C600+Δ4,,argP216 (Valine to Alanine mutation),
p12,10.1186.s12934-015-0211-y,SJB007,Arginine,Higher than SJB006,M9 minimal media,Glucose,70 g/L,"Bioreactor, batch fermentation",7,-,32°C,SJB006,,argP216 (Valine to Alanine mutation),
p12,10.1186.s12934-015-0211-y,SJB009,Arginine,11.64 g/L,M9 minimal media,Glucose,70 g/L,"Bioreactor, batch fermentation",7,-,32°C,SJB005,,"argA214, argO",
p12,10.1186.s12934-015-0211-y,SJB010,Arginine,Higher than most except SJB009,M9 minimal media,Glucose,70 g/L,"Bioreactor, batch fermentation",7,-,32°C,SJB005,,"argA214, argP216",
p12,10.1186.s12934-015-0211-y,SJB015,Arginine,Lower than SJB009 but higher than most,M9 minimal media,Glucose,70 g/L,"Bioreactor, batch fermentation",7,-,32°C,SJB005,,argA214,
p13,10.1016.j.biortech.2012.02.119,ZW5,HFAs,60.5 mg/L,LB,FFAs,Not specified,Shake flask,7.4,4h,30°C,E. coli BL21(DE3),Not specified,Not specified,P450BM3
p13,10.1016.j.biortech.2012.02.119,YN2 (ZW8),HFAs,51.8 mg/L,M9,Glucose,20 g/L,Shake flask,7.4,15h,30°C,E. coli BL21(DE3),Not specified,BTE,P450BM3
p13,10.1016.j.biortech.2012.02.119,ZW7 (ZW9),HFAs,72.6 mg/L,M9,Glucose,20 g/L,Shake flask,7.4,15h,30°C,E. coli BL21(DE3),Not specified,'TesA,P450BM3
p13,10.1016.j.biortech.2012.02.119,ZW10,HFAs,117.0 mg/L,M9,Glucose,20 g/L,Shake flask,7.4,15h,30°C,E. coli BL21(DE3),fadD,'TesA,P450BM3
p14,10.1016.j.biortech.2015.06.108,AS1600a,succinate,84.26 g/L,AM1 mineral salts,xylose,10%,pH-controlled fermenters (500 mL),7.0,144h,37°C,KJ122,galP,galP∗,-
p14,10.1016.j.biortech.2015.06.108,KJ122,succinate,85.46 g/L,AM1 mineral salts,glucose,10%,pH-controlled fermenters (500 mL),7.0,120h,37°C,ATCC8739,-,-,-
p14,10.1016.j.biortech.2015.06.108,KJ122,succinate,44.17 g/L,AM1 mineral salts,glucose,5%,pH-controlled fermenters (500 mL),7.0,120h,37°C,ATCC8739,-,-,-
p14,10.1016.j.biortech.2015.06.108,KJ122,succinate,37.49 g/L,AM1 mineral salts,xylose,10%,pH-controlled fermenters (500 mL),7.0,120h,37°C,ATCC8739,-,-,-
p14,10.1016.j.biortech.2015.06.108,KJΔgalP(pLOI5747),succinate,85.46 g/L,AM1 mineral salts,glucose,10%,pH-controlled fermenters (500 mL),7.0,120h,37°C,KJ122,galP,galP∗,wild type galP
p15,10.1016.j.jbiosc.2014.12.023,TA1806,3-HP,33.1 ± 0.920 mM,M9,Glycerol,100 mmol/L,"Flask, batch",6–7,48h,37°C,E.coli B (TA212),,araE,
p15,10.1016.j.jbiosc.2014.12.023,TA2168,3-HP,15.6 ± 0.683 mM,M9,Glycerol,100 mmol/L,"Flask, batch",6–7,48h,37°C,E.coli B (TA212),,,"pduP, pduL, pduW"
p15,10.1016.j.jbiosc.2014.12.023,TA2142,3-HP,56.1 ± 0.736 mM,M9,Glycerol,100 mmol/L,"Flask, batch",6–7,48h,37°C,E.coli B (TA212),,araE,"pduP, pduL, pduW"
p16,10.1016.j.ymben.2010.08.005,AH22ura3 (wild-type),Succinic acid,0.76 g/L,WMVIII medium,Glucose,50 g/L,250 ml shake flasks,5.8,168 h,30°C,S. cerevisiae AH22ura3,,,
p16,10.1016.j.ymben.2010.08.005,AH22ura3Δsdh2,Succinic acid,2.98 g/L,WMVIII medium,Glucose,50 g/L,250 ml shake flasks,~4.0-4.5,168 h,30°C,S. cerevisiae AH22ura3,SDH2,,
p16,10.1016.j.ymben.2010.08.005,AH22ura3Δsdh2Δsdh1Δidh1,Succinic acid,2.98 g/L,WMVIII medium,Glucose,50 g/L,250 ml shake flasks,~4.0-4.5,168 h,30°C,S. cerevisiae AH22ura3,"SDH2, SDH1, IDH1",,
p16,10.1016.j.ymben.2010.08.005,AH22ura3Δsdh2Δsdh1Δidh1Δidp1,Succinic acid,3.62 g/L,WMVIII medium,Glucose,50 g/L,250 ml shake flasks,~4.0-4.5,168 h,30°C,S. cerevisiae AH22ura3,"SDH2, SDH1, IDH1, IDP1",,
p17,10.1016.j.ymben.2012.06.001,Abc,GGL,6 mg/g dry weight,defined medium,glucose,25 g/L,"bioreactor, fed-batch",7.0,"2h (for induction), overnight (for growth)",37°C,BL21(DE3)*,none,"GalU, PlsC",mg517
p18,10.1016.j.ymben.2012.08.003,E. coli DfadRABIJ,polyhydroxydodecanoate,>15% CDW,LB + 0.4% glucose,dodecanoic acid,0.25 gL−1 sodium dodecanoate,Unspecified,7.0,96h,37°C,MG1655 ΔaraBAD,ΔfadRABIJ,"BTE, phaJ3, phaC2",
p18,10.1016.j.ymben.2012.08.003,SA01,mcl-PHA,9.8% CDW,MOPS + 1% glucose,Glucose,1% glucose,Batch mode,7.0,96h,37°C,MG1655 ΔaraBAD ΔfadR ΔfadIJ,ΔfadRABIJ,PP_0763,pDA-JAC
p18,10.1016.j.ymben.2012.08.003,SA01,mcl-PHA,17.3% CDW,MOPS + 1% glucose,Glucose,1% glucose,"Bioreactor, Batch mode",7.0,96h,37°C,MG1655 ΔaraBAD ΔfadR ΔfadIJ,ΔfadRABIJ,PP_0763,pDA-JAC
p19,10.1016.j.ymben.2012.08.009,FRT-ΔfadE,fatty acids,5.2±0.5 g/L,minimal medium (M9),glucose,2%,"flask, batch",,3 days,37°C,E. coli DH1,fadE,fadR,
p19,10.1016.j.ymben.2012.08.009,LT-ΔfadE,fatty acids,1.1 g/L,minimal medium (M9),glucose,2%,"flask, batch",,3 days,37°C,E. coli DH1,fadE,,
p20,10.1016.j.ymben.2012.10.003,MuA01,Muconic acid,~5 mg/L,YSC (Yeast Synthetic Complete),Glucose,20 g/L,Shake flask (batch),Not specified,48h,Not specified (30°C used for routine culture),BY4741,,,"ARO4, Pa_5_5120, HQD2"
p20,10.1016.j.ymben.2012.10.003,MuA03,Muconic acid,14 mg/L,YSC,Glucose,20 g/L,Shake flask (batch),Not specified,48h,Not specified (30°C used for routine culture),BY4741,"ARO3, ARO4",scARO4,"Pa_5_5120, HQD2, kpAroY"
p20,10.1016.j.ymben.2012.10.003,MuA04,Muconic acid,21 mg/L,YSC,Glucose,20 g/L,Shake flask (batch),Not specified,48h,Not specified (30°C used for routine culture),BY4741,"ARO3, ARO4",aro4k229l,"Pa_5_5120, HQD2, kpAroY"
p20,10.1016.j.ymben.2012.10.003,MuA05,Muconic acid,25 mg/L,YSC,Glucose,20 g/L,Shake flask (batch),Not specified,48h,Not specified (30°C used for routine culture),BY4741,"ARO3, ARO4",aro4k229l,"Pa_5_5120, HQD2, ECL_01944opt"
p20,10.1016.j.ymben.2012.10.003,MuA06,Muconic acid,30 mg/L,YSC,Glucose,20 g/L,Shake flask (batch),Not specified,48h,Not specified (30°C used for routine culture),BY4741,ARO3,"aro4k229l, scTKL1",ECL_01944opt
p20,10.1016.j.ymben.2012.10.003,MuA08,Muconic acid,30 mg/L,YSC,Glucose,20 g/L,Shake flask (batch),Not specified,48h,Not specified (30°C used for routine culture),BY4741,,,"Pa_5_5120opt, ECL_01944opt, HQD2opt"
p20,10.1016.j.ymben.2012.10.003,MuA11,Muconic acid,62 mg/L,YSC,Glucose,20 g/L,Shake flask (batch),Not specified,Not specified,Not specified (30°C used for routine culture),BY4741,ZWF1,"scTKL1, aro4k229l","Pa_5_5120opt, ECL_01944opt, HQD2opt"
p20,10.1016.j.ymben.2012.10.003,MuA12,Muconic acid,141 mg/L,YSC,Glucose,40 g/L,Shake flask (batch),Not specified,108h,Not specified (30°C used for routine culture),BY4741,ZWF1,"scTKL1, aro4k229l","Pa_5_5120opt, ECL_01944opt, HQD2opt"
p21,10.1016.j.ymben.2012.11.011,E. coli WL3110 (pKE112-DavAB),5AVA,1.1 g/L,LB medium,l-lysine,10 g/L,Flask batch,-,-,37°C,E. coli WL3110,-,-,davAB (Pseudomonas putida)
p21,10.1016.j.ymben.2012.11.011,E. coli WL3110 (pKE112-DavAB),5AVA,3.6 g/L,MR medium,glucose,20 g/L,Flask batch,-,48h,30°C,E. coli WL3110,-,-,davAB (Pseudomonas putida)
p21,10.1016.j.ymben.2012.11.011,E. coli XQ56 (pKE112-DavAB),5AVA,0.27 g/L,MR medium,glucose,-,Flask batch,-,48h,-,E. coli XQ56,-,"lysA, dapA, dapB",davAB (Pseudomonas putida)
p21,10.1016.j.ymben.2012.11.011,E. coli XQ56 (pKE112-DavAB),5AVA,0.5 g/L,MR medium,glucose,10 g/L,Fed-batch in jar fermentor,6.9,36h,30°C,E. coli XQ56,-,"lysA, dapA, dapB",davAB (Pseudomonas putida)
