paper number,doi,strain,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,oxygen level,parent strain,knock out gene,overexpress gene,heterologous gene,check,Unnamed: 19
p1,10.1002.biot.201600457,BKM19,,butanol (butanol),13.5 g/L,CGM,glucose,80 g/L,batch fermentation,5.0,,37°C,oxygen-free,,,,,gene,
p1,10.1002.biot.201600457,BKM19,,butanol (butanol),0.20 g/g glucose,CGM,glucose,80 g/L,batch fermentation,5.0,,37°C,oxygen-free,,,,,gene,
p1,10.1002.biot.201600457,BKM19,,butanol (butanol),0.18 g/g glucose,CGM,glucose,80 g/L,batch fermentation,5.0,,37°C,oxygen-free,,,,,gene,
p1,10.1002.biot.201600457,BKM19,,ethanol (ethanol),4.6 g/L,CGM,glucose,80 g/L,batch fermentation,>5.0,,37°C,oxygen-free,,,,,gene,
p1,10.1002.biot.201600457,BKM19,,ethanol (ethanol),7.1 g/L,CGM,glucose,80 g/L,batch fermentation,>5.0,,37°C,oxygen-free,,,,,gene,
,,,,,,,,,,,,,,,,,,,
p2,10.1002.biot.201600687,MuA12,Saccharomyces cerevisiae,muconic acid (muconic acid),141 mg/L,CSM,glucose,4%,shake flasks,,,,,BY4741,,,AROZpodo;ECL_01944opt;caHQD2opt,yes,
p2,10.1002.biot.201600687,MuA-5.01.1.02+ aro1t,Saccharomyces cerevisiae,muconic acid (muconic acid),1.5 g/L,CSM,glucose,,,,,,,MuA-5.01.1.02,,,AROZpodo;ECL_01944opt;caHQD2opt,product,
p2,10.1002.biot.201600687,MuA-5.01.1.02+ aro1t+scPAD1,Saccharomyces cerevisiae,muconic acid (muconic acid),550 mg/L,CSM,glucose,4%,shake flasks,,,,,MuA-5.01.1.02+ aro1t,,Pad1p,AROZpodo;ECL_01944opt;caHQD2opt,yes,
p2,10.1002.biot.201600687,MuA-5.01.1.02+ aro1t+scPAD1,Saccharomyces cerevisiae,muconic acid (muconic acid),2.1 g/L,CSM-LUHW,glucose,40 g/L,"Bioflo 115 bioreactor, fed-batch",5,10 days,30ºC,>20%,MuA-5.01.1.02+ aro1t,,Pad1p,AROZpodo;ECL_01944opt;caHQD2opt,yes,
p2,10.1002.biot.201600687,MuA-5.01.1.02+ aro1t+scPAD1,Saccharomyces cerevisiae,muconic acid (muconic acid),12.9 mg/g,CSM-LUHW,glucose,40 g/L,"Bioflo 115 bioreactor, fed-batch",5,10 days,30ºC,>20%,MuA-5.01.1.02+ aro1t,,Pad1p,AROZpodo;ECL_01944opt;caHQD2opt,yes,
,,,,,,,,,,,,,,,,,,,
p3,10.1002.bit.20542,pta-adhE,E. coli,lactate (lactate),1.69 g/L,M9 minimal,glucose,2 g/L,Batch culture,,60 days,37°C,Anaerobic,K12 MG1655,adhE;pta,,,yes,
p3,10.1002.bit.20542,pta-pfk,E. coli,lactate (lactate),0.89 g/L,M9 minimal,glucose,2 g/L,Batch culture,,60 days,37°C,Anaerobic,K12 MG1655,pfk;pfkA;pta,,,yes,
p3,10.1002.bit.20542,pta-adhE-pfk-glk,E. coli,lactate (lactate),0.87 g/L,M9 minimal,glucose,2 g/L,Batch culture,,60 days,37°C,Anaerobic,K12 MG1655,adhE;glk;pfk;pfkA;pta,,,yes,
,,,,,,,,,,,,,,,,,,,
p4,10.1002.bit.23044,"WLA (pKBRilvBN mut CED, pTrc184ygaZHlrp)",Escherichia coli,L-valine (L-valine),0.32 g/L,NM1,glucose,20 g/L,Batch,6.0,,31.8°C,,WLA,ilvA;lacI,ilvBN;ilvC;livED;lrp;ygaZH,,yes,
p4,10.1002.bit.23044,"WLA (pKBRilvBN mut CED, pTrc184ygaZHlrp)",Escherichia coli,L-valine (L-valine),60.7 g/L,NM1,glucose,400 g/L,Fed-batch,6.0,29.5h,31.8°C,>40%,WLA,ilvA;lacI,ilvBN;ilvC;livED;lrp;ygaZH,,yes,
p4,10.1002.bit.23044,"WLA (pKBRilvBN mut CED, pTrc184ygaZHlrp)",Escherichia coli,L-valine (L-valine),0.02 g/g,NM1,glucose,20 g/L,Batch,6.0,,31.8°C,,WLA,ilvA;lacI,ilvBN;ilvC;livED;lrp;ygaZH,,yes,
p4,10.1002.bit.23044,"WLA (pKBRilvBN mut CED, pTrc184ygaZHlrp)",Escherichia coli,L-valine (L-valine),0.22 g/g,NM1,glucose,400 g/L,Fed-batch,6.0,29.5h,31.8°C,>40%,WLA,ilvA;lacI,ilvBN;ilvC;livED;lrp;ygaZH,,yes,
p4,10.1002.bit.23044,"WLA (pKBRilvBN mut CED, pTrc184ygaZHlrp)",Escherichia coli,L-valine (L-valine),0.30 g/g,NM1,glucose,400 g/L,Fed-batch,6.0,27.5-29.5h,31.8°C,>40%,WLA,ilvA;lacI,ilvBN;ilvC;livED;lrp;ygaZH,,yes,
p4,10.1002.bit.23044,"WLA (pKBRilvBN mut CED, pTrc184ygaZHlrp)",Escherichia coli,acetic acid (acetic acid),0.10 g/L,NM1,glucose,400 g/L,Fed-batch,6.0,29.5h,31.8°C,>40%,WLA,ilvA;lacI,ilvBN;ilvC;livED;lrp;ygaZH,,yes,
p4,10.1002.bit.23044,"WLA (pKBRilvBN mut CED, pTrc184ygaZHlrp)",Escherichia coli,pyruvic acid (pyruvic acid),0.41 g/L,NM1,glucose,400 g/L,Fed-batch,6.0,29.5h,31.8°C,>40%,WLA,ilvA;lacI,ilvBN;ilvC;livED;lrp;ygaZH,,yes,
,,,,,,,,,,,,,,,,,,,
p5,10.1002.bit.24547,ZD-T-010,Saccharomyces cerevisiae,miltiradiene (miltiradiene),4.2 mg/L,SD,glucose,2%,"Flask, batch",,4 days,30°C,250 rpm,S. cerevisiae BY4742,,,SmCPS;SmKSL,yes,
p5,10.1002.bit.24547,ZD-T-010,Saccharomyces cerevisiae,miltiradiene (miltiradiene),4.5 mg/L,SD,glucose,2%,"Flask, batch",,3 days,30°C,250 rpm,S. cerevisiae BY4742,,,SmCPS;SmKSL,yes,
p5,10.1002.bit.24547,ZD-T-010,Saccharomyces cerevisiae,miltiradiene (miltiradiene),5.6 mg/L,YPD,,,"Flask, batch",,2 days,30°C,250 rpm,S. cerevisiae BY4742,,,SmCPS;SmKSL,yes,
p5,10.1002.bit.24547,ZD-T-010,Saccharomyces cerevisiae,miltiradiene (miltiradiene),4.4 mg/g,SD,glucose,2%,"Flask, batch",,4 days,30°C,250 rpm,S. cerevisiae BY4742,,,SmCPS;SmKSL,yes,
p5,10.1002.bit.24547,ZD-T-010,Saccharomyces cerevisiae,miltiradiene (miltiradiene),0.7 mg/g,YPD,,,"Flask, batch",,2 days,30°C,250 rpm,S. cerevisiae BY4742,,,SmCPS;SmKSL,yes,
p5,10.1002.bit.24547,ZD-T-021,Saccharomyces cerevisiae,miltiradiene (miltiradiene),6.3 mg/L,YPD,,,"Flask, batch",,,30°C,250 rpm,ZD-T-010,,tHMGR;tHMGR-upc2.1;upc2.1,SmCPS;SmKSL,yes,
p5,10.1002.bit.24547,ZD-T-021,Saccharomyces cerevisiae,squalene (squalene),446 mg/L,YPD,,,"Culture tubes, flasks",,4 days,30°C,250 rpm,ZD-T-010,,tHMGR;tHMGR-upc2.1;upc2.1,SmCPS;SmKSL,yes,
p5,10.1002.bit.24547,ZD-T-022,Saccharomyces cerevisiae,miltiradiene (miltiradiene),7.2 mg/L,YPD,,,"Flask, batch",,,30°C,250 rpm,ZD-T-010,,tHMGR;tHMGR-upc2.1;upc2.1,SmCPS;SmKSL,yes,
p5,10.1002.bit.24547,ZD-T-022,Saccharomyces cerevisiae,squalene (squalene),852 mg/L,YPD,,,"Culture tubes, flasks",,4 days,30°C,250 rpm,ZD-T-010,,tHMGR;tHMGR-upc2.1;upc2.1,SmCPS;SmKSL,yes,
p5,10.1002.bit.24547,ZD-T-023,Saccharomyces cerevisiae,miltiradiene (miltiradiene),28.2 mg/L,YPD,,,"Flask, batch",,,30°C,250 rpm,ZD-T-010,,,BTS1;ERG20;ERG20-BTS1;ERG20-BTS1-SaGGPS;SaGGPS;SmCPS;SmKSL,yes,
p5,10.1002.bit.24547,ZD-T-024,Saccharomyces cerevisiae,miltiradiene (miltiradiene),25.7 mg/L,YPD,,,"Flask, batch",,,30°C,250 rpm,ZD-T-010,,,BTS1;ERG20;ERG20-BTS1;ERG20-BTS1-SaGGPS;SaGGPS;SmCPS;SmKSL,yes,
p5,10.1002.bit.24547,ZD-T-025,Saccharomyces cerevisiae,miltiradiene (miltiradiene),41.6 mg/L,YPD,,,"Flask, batch",,,30°C,250 rpm,ZD-T-023,,tHMGR;tHMGR-upc2.1;upc2.1,BTS1;ERG20;ERG20-BTS1;ERG20-BTS1-SaGGPS;SaGGPS;SmCPS;SmKSL,yes,
p5,10.1002.bit.24547,ZD-T-027,Saccharomyces cerevisiae,miltiradiene (miltiradiene),43.6 mg/L,YPD,,,"Flask, batch",,,30°C,250 rpm,ZD-T-023,,tHMGR;tHMGR-upc2.1;upc2.1,BTS1;ERG20;ERG20-BTS1;ERG20-BTS1-SaGGPS;SaGGPS;SmCPS;SmKSL,yes,
p5,10.1002.bit.24547,ZD-T-026,Saccharomyces cerevisiae,miltiradiene (miltiradiene),61.8 mg/L,YPD,,,"Flask, batch",,,30°C,250 rpm,ZD-T-024,,tHMGR;tHMGR-upc2.1;upc2.1,BTS1;ERG20;ERG20-BTS1;ERG20-BTS1-SaGGPS;SaGGPS;SmCPS;SmKSL,yes,
p5,10.1002.bit.24547,ZD-T-026,Saccharomyces cerevisiae,miltiradiene (miltiradiene),488 mg/L,YPD,,,"Fermentor, fed-batch",5.5,6 days,30°C,5 L/min,ZD-T-024,,tHMGR;tHMGR-upc2.1;upc2.1,BTS1;ERG20;ERG20-BTS1;ERG20-BTS1-SaGGPS;SaGGPS;SmCPS;SmKSL,yes,
p5,10.1002.bit.24547,ZD-T-026,Saccharomyces cerevisiae,miltiradiene (miltiradiene),11.3 mg/g,YPD,,,"Fermentor, fed-batch",5.5,6 days,30°C,5 L/min,ZD-T-024,,tHMGR;tHMGR-upc2.1;upc2.1,BTS1;ERG20;ERG20-BTS1;ERG20-BTS1-SaGGPS;SaGGPS;SmCPS;SmKSL,yes,
p5,10.1002.bit.24547,ZD-T-028,Saccharomyces cerevisiae,miltiradiene (miltiradiene),43.2 mg/L,YPD,,,"Flask, batch",,,30°C,250 rpm,ZD-T-024,,tHMGR;tHMGR-upc2.1;upc2.1,BTS1;ERG20;ERG20-BTS1;ERG20-BTS1-SaGGPS;SaGGPS;SmCPS;SmKSL,yes,
p5,10.1002.bit.24547,ZD-T-011,Saccharomyces cerevisiae,squalene (squalene),71 mg/L,SD,Glucose,2%,"Culture tubes, flasks",,4 days,30°C,250 rpm,ZD-T-010,,tHMGR;tHMGR-upc2.1;upc2.1,SmCPS;SmKSL,yes,
,,,,,,,,,,,,,,,,,,,
p6,10.1002.bit.26580,GL0001,,PEP (phosphoenolpyruvate),0.11 mM,NBS medium,glucose,2% (wt/vol),,7,48 h,37°C,airflow at 1.0 vvm,E. coli ATCC8739,ackA;adhE,,,KO,
p6,10.1002.bit.26580,GL0002,,PEP (phosphoenolpyruvate),0.14 mM,NBS medium,glucose,2% (wt/vol),,7,48 h,37°C,airflow at 1.0 vvm,E. coli ATCC8739,adhE;ldhA,,,KO,
p6,10.1002.bit.26580,GL0004,,PEP (phosphoenolpyruvate),0.68 mM,NBS medium,glucose,2% (wt/vol),,7,48 h,37°C,airflow at 1.0 vvm,E. coli ATCC8739,ackA;adhE;ldhA;ptsI,,,yes,
p6,10.1002.bit.26580,GL0006,,malate (malate),6 mM,NBS medium,glucose,2% (wt/vol),,7,48 h,37°C,airflow at 1.0 vvm,GL0004,ackA;adhE;focA;ldhA;mgsA;pflB;ptsI,,,yes,
p6,10.1002.bit.26580,GL2206,,malate (malate),18.8 mM,NBS medium,glucose,2% (wt/vol),,7,48 h,37°C,airflow at 1.0 vvm,GL0206,ackA;adhE;focA;ldhA;mgsA;pflB;ptsI,Asmdh;EcPCK;mdh,PelB,yes,
p6,10.1002.bit.26580,GL2206,,malate (malate),0.2 mol/mol,NBS medium,glucose,2% (wt/vol),,7,48 h,37°C,airflow at 1.0 vvm,GL0206,ackA;adhE;focA;ldhA;mgsA;pflB;ptsI,Asmdh;EcPCK;mdh,PelB,yes,
p6,10.1002.bit.26580,GL0206,,malate (malate),9.4 mM,NBS medium,glucose,2% (wt/vol),,7,48 h,37°C,airflow at 1.0 vvm,GL0006,ackA;adhE;focA;ldhA;mgsA;pflB;ptsI,Asmdh;EcPCK;mdh,,yes,
p6,10.1002.bit.26580,GL0206,,malate (malate),45 mM,NBS fed-batch,glucose,2% (vol/vol),"5-L bioreactor, pH-stat fed-batch",7,72 h,37°C,controlled,GL0006,ackA;adhE;focA;ldhA;mgsA;pflB;ptsI,Asmdh;EcPCK;mdh,,yes,
p6,10.1002.bit.26580,GL0206,,malate (malate),0.094 mol/mol,NBS medium,glucose,2% (wt/vol),,7,48 h,37°C,airflow at 1.0 vvm,GL0006,ackA;adhE;focA;ldhA;mgsA;pflB;ptsI,Asmdh;EcPCK;mdh,,yes,
p6,10.1002.bit.26580,GL0106,,malate (malate),23 mM,NBS fed-batch,glucose,2% (vol/vol),"5-L bioreactor, pH-stat fed-batch",7,72 h,37°C,controlled,GL0006,ackA;adhE;focA;ldhA;mgsA;pflB;ptsI,,,yes,
p6,10.1002.bit.26580,GL2306,,malate (malate),193 mM,NBS fed-batch,glucose,2% (vol/vol),"5-L bioreactor, pH-stat fed-batch",7,72 h,37°C,controlled,GL2206,ackA;adhE;focA;ldhA;mgsA;pflB;ptsI,AsMDH;Asmdh;EcPCK;mdh,GFP;PelB,yes,
,,,,,,,,,,,,,,,,,,,
p7,10.1002.bit.27284,YPH499/PAT167/MVA442,Saccharomyces cerevisiae,patchoulol (patchoulol),42.1 mg/L,YPD,glucose,20 g/L,Shake flask,,120 h,30°C,,YPH499/PAT167,,ERG13;ERG19;ERG20;tHMG1,PTS,yes,
p7,10.1002.bit.27284,YPH499/PAT167/MVA442,Saccharomyces cerevisiae,patchoulol (patchoulol),2.05 g/g,YPD,glucose,20 g/L,Shake flask,,120 h,30°C,,YPH499/PAT167,,ERG13;ERG19;ERG20;tHMG1,PTS,yes,
p7,10.1002.bit.27284,YPH499/PAT167,Saccharomyces cerevisiae,patchoulol (patchoulol),18.4 mg/L,YPD,glucose,20 g/L,Shake flask,,120 h,30°C,,YPH499,,,PTS,yes,
,,,,,,,,,,,,,,,,,,,
p8,10.1002.jctb.6787,YIP-J1A,Saccharomyces cerevisiae,D-LA (D-Lactic Acid),86.6 g/L,YPD,Glucose,20 g/L,"5 L jar fermenter, fed-batch",4.7,40 h,30 °C,Aerobic,YIP-I-J-C-D-A1,ADH1,ACS2,E. coli D-LDH,yes,
p8,10.1002.jctb.6787,YIP-J1A,Saccharomyces cerevisiae,D-LA (D-Lactic Acid),0.55 g/g,YPD,Glucose,20 g/L,"5 L jar fermenter, fed-batch",4.7,40 h,30 °C,Aerobic,YIP-I-J-C-D-A1,ADH1,ACS2,E. coli D-LDH,yes,
p8,10.1002.jctb.6787,YIP-J1A,Saccharomyces cerevisiae,acetic acid (acetic acid),6.23 g/L,YPD,glucose,20 g/L,Flask batch,,36 h,30°C,aerobic,YIP-I-J-C-D-A1,ADH1,ACS2,E. coli D-LDH,yes,
p8,10.1002.jctb.6787,YIP-J1A-Ald6,Saccharomyces cerevisiae,D-LA (D-Lactic Acid),59.2 g/L,YPD,Glucose,20 g/L,"5 L jar fermenter, fed-batch",4.7,40 h,30 °C,Aerobic,YIP-J1A,ADH1,ACS2;ALD6,E. coli D-LDH,yes,
p8,10.1002.jctb.6787,YIP-J1A-Ald6,Saccharomyces cerevisiae,D-LA (D-Lactic Acid),0.49 g/g,YPD,Glucose,20 g/L,"5 L jar fermenter, fed-batch",4.7,40 h,30 °C,Aerobic,YIP-J1A,ADH1,ACS2;ALD6,E. coli D-LDH,yes,
p8,10.1002.jctb.6787,YIP-J1A-Ald6,Saccharomyces cerevisiae,acetic acid (acetic acid),11.1 g/L,YPD,glucose,20 g/L,5 L jar fed-batch,4.7,40 h*,30°C**,aerobic,YIP-J1A,ADH1,ACS2;ALD6,E. coli D-LDH,yes,
p8,10.1002.jctb.6787,YIP-eutE,Saccharomyces cerevisiae,D-LA (D-Lactic Acid),4.8 g/L,YPD,Glucose,20 g/L,"5 L jar fermenter, fed-batch",4.7,40 h,30 °C,Aerobic,YIP-A15G12,,,E. coli D-LDH;EUTE,yes,
p8,10.1002.jctb.6787,YIP-eutE,Saccharomyces cerevisiae,ethanol (ethanol),53.9 g/L,YPD,glucose,20 g/L,5 L jar fed-batch,4.7,40 h*,30°C**,aerobic,YIP-A15G12,,,E. coli D-LDH;EUTE,yes,
p8,10.1002.jctb.6787,YIP-e-ald6-A42,Saccharomyces cerevisiae,D-LA (D-Lactic Acid),28.5 g/L,YPD,Glucose,20 g/L,"5 L jar fermenter, fed-batch",4.7,40 h,30 °C,Aerobic,YIP-e-ald6,ADH2;ADH4;ALD6,,E. coli D-LDH;EUTE,yes,
p8,10.1002.jctb.6787,YIP-mhpF,Saccharomyces cerevisiae,D-LA (D-Lactic Acid),3.2 g/L,YPD,Glucose,20 g/L,"5 L jar fermenter, fed-batch",4.7,40 h,30 °C,Aerobic,YIP-A15G12,,,E. coli D-LDH;MHPF,yes,
p8,10.1002.jctb.6787,YIP-mhpF,Saccharomyces cerevisiae,ethanol (ethanol),13.15 g/L,YPD,glucose,20 g/L,5 L jar fed-batch,3.58,49 h,30°C,aerobic,YIP-A15G12,,,E. coli D-LDH;MHPF,yes,
p8,10.1002.jctb.6787,YIP-m-ald6,Saccharomyces cerevisiae,D-LA (D-Lactic Acid),15.50 g/L,YPD,Glucose,20 g/L,"5 L jar fermenter, fed-batch",4.7,40 h,30 °C,Aerobic,YIP-mhpF,ALD6,,E. coli D-LDH;MHPF,yes,
p8,10.1002.jctb.6787,YIP-m-ald6,Saccharomyces cerevisiae,D-LA (D-Lactic Acid),86.9 g/L,YPD,Glucose,20 g/L,"5 L jar fermenter, fed-batch",4.7,49 h,30 °C,Aerobic,YIP-mhpF,ALD6,,E. coli D-LDH;MHPF,yes,
p8,10.1002.jctb.6787,YIP-m-ald6,Saccharomyces cerevisiae,D-LA (D-Lactic Acid),92.6 g/L,YPD,Glucose,20 g/L,"5 L jar fermenter, fed-batch",4.7,55 h,30 °C,Aerobic,YIP-mhpF,ALD6,,E. coli D-LDH;MHPF,yes,
p8,10.1002.jctb.6787,YIP-m-ald6,Saccharomyces cerevisiae,D-LA (D-Lactic Acid),0.76 g/g,YPD,Glucose,20 g/L,"5 L jar fermenter, fed-batch",4.7,40 h,30 °C,Aerobic,YIP-mhpF,ALD6,,E. coli D-LDH;MHPF,yes,
p8,10.1002.jctb.6787,YIP-m-ald6,Saccharomyces cerevisiae,D-LA (D-Lactic Acid),0.77 g/g,YPD,Glucose,20 g/L,"5 L jar fermenter, fed-batch",4.7,49 h,30 °C,Aerobic,YIP-mhpF,ALD6,,E. coli D-LDH;MHPF,yes,
p8,10.1002.jctb.6787,YIP-m-ald6,Saccharomyces cerevisiae,D-LA (D-Lactic Acid),0.70 g/g,YPD,Glucose,20 g/L,"5 L jar fermenter, fed-batch",4.7,55 h,30 °C,Aerobic,YIP-mhpF,ALD6,,E. coli D-LDH;MHPF,yes,
p8,10.1002.jctb.6787,YIP-m-a6-eutE,Saccharomyces cerevisiae,D-LA (D-Lactic Acid),78.8 g/L,YPD,Glucose,20 g/L,"5 L jar fermenter, fed-batch",4.7,58.5 h,30 °C,Aerobic,YIP-m-ald6,ALD6,,E. coli D-LDH;EUTE;MHPF,yes,
p8,10.1002.jctb.6787,YIP-m-a6-eutE,Saccharomyces cerevisiae,D-LA (D-Lactic Acid),0.53 g/g,YPD,Glucose,20 g/L,"5 L jar fermenter, fed-batch",4.7,58.5 h,30 °C,Aerobic,YIP-m-ald6,ALD6,,E. coli D-LDH;EUTE;MHPF,yes,
p8,10.1002.jctb.6787,YIP-m-a6-eutE,Saccharomyces cerevisiae,ethanol (ethanol),11.3 g/L,YPD,glucose,20 g/L,5 L jar fed-batch,3.57,58.5 h,30°C,aerobic,YIP-m-ald6,ALD6,,E. coli D-LDH;EUTE;MHPF,yes,
,,,,,,,,,,,,,,,,,,,
p9,10.1007.s00253-003-1470-9,E. coli BL21 (DE3) pET24[fdhmdh] pZY507glf,Escherichia coli,d-mannitol (d-mannitol),210 mM,Potassium phosphate buffer,"d-fructose, sodium formate","d-fructose 230 mM, sodium formate unspecified",Biotransformation system,6.5-7.5,8 h,30°C,Unspecified,,,fdh;glf;mdh,fdh;glf;mdh,yes,
p9,10.1007.s00253-003-1470-9,E. coli BL21 (DE3) pET24[fdhmdh] pZY507glf,Escherichia coli,d-mannitol (d-mannitol),362 mM,Potassium phosphate buffer,"d-fructose, sodium formate","d-fructose 500 mM, sodium formate 250 mM",pH-static biotransformation,6.5,8 h,Unspecified,Unspecified,,,fdh;glf;mdh,fdh;glf;mdh,yes,
p9,10.1007.s00253-003-1470-9,E. coli BL21 (DE3) pET24[fdhmdh] pZY507glf,Escherichia coli,d-mannitol (d-mannitol),500 mM,Potassium phosphate buffer,"d-fructose, sodium formate","d-fructose 760 mM (500 mM initial + 260 mM fed), sodium formate unspecified",Fed-batch biotransformation,6.5,23 h,Unspecified,Unspecified,,,fdh;glf;mdh,fdh;glf;mdh,yes,
p9,10.1007.s00253-003-1470-9,E. coli BL21 (DE3) pET24[fdhmdh] pZY507glf,Escherichia coli,d-mannitol (d-mannitol),92 mol%,Potassium phosphate buffer,d-fructose,230 mM,Biotransformation system,6.5-7.5,8 h,30°C,Unspecified,,,fdh;glf;mdh,fdh;glf;mdh,yes,
p9,10.1007.s00253-003-1470-9,E. coli BL21 (DE3) pET24[fdhmdh] pZY507glf,Escherichia coli,d-mannitol (d-mannitol),84 mol%,Potassium phosphate buffer,d-fructose,433 mM,pH-static biotransformation,6.5,8 h,Unspecified,Unspecified,,,fdh;glf;mdh,fdh;glf;mdh,yes,
p9,10.1007.s00253-003-1470-9,E. coli pET24[fdhmdh] pZY507glf,Escherichia coli,d-mannitol (d-mannitol),216 mM,Potassium phosphate buffer,"d-fructose, sodium formate",Each 500 mM,Biotransformation experiment,6.5,Unspecified,Unspecified,Unspecified,,,fdh;glf;mdh,fdh;glf;mdh,yes,
,,,,,,,,,,,,,,,,,,,
p10,10.1007.s00253-009-1900-4,cNDK,Saccharomyces cerevisiae,ethanol (ethanol),72% lower ethanol yield,SD medium-HIS-LEU,glucose-xylose mixture,20 g/L glucose and 50 g/L xylose,2.2-L Biostat-B fermenters (Batch mode),5.0,Not specified,30°C,Anaerobic conditions,CEN.PK-XYL,,POS5;POS5-17Δ,XKS1;XYL1;XYL2,OE,
,,,,,,,,,,,,,,,,,,,
p11,10.1007.s00253-009-2244-9,WTpGFP+,Bacillus subtilis,acetate (acetate),0.72 g/L,minimal medium,glucose,5 g/L,baffled shake flask,,,37°C,,B. subtilis 168,,,GFP+,yes,
p11,10.1007.s00253-009-2244-9,MTpGFP+,Bacillus subtilis,acetate (acetate),0.15 g/L,minimal medium,glucose,5 g/L,baffled shake flask,,,37°C,,iPYK mutant,PYK,,GFP+,yes,
,,,,,,,,,,,,,,,,,,,
p12,10.1007.s00253-011-3196-4,GCS/GS-overexpressing strain,Saccharomyces cerevisiae,glutathione (glutathione),1.41 mM,YPD,Glucose,0.4 M,Shake flasks,7.0,24 h,30 °C,Aerobic,Saccharomyces cerevisiae YPH499,,GCS;GS,,yes,
p12,10.1007.s00253-011-3196-4,GCS/GS overexpression and GTP deletion strain,Saccharomyces cerevisiae,glutathione (glutathione),1.67 mM,YPD,Glucose,0.4 M,Shake flasks,7.0,24 h,30 °C,Aerobic,GCS/GS-overexpressing strain,GTP,GCS;GS,,yes,
p12,10.1007.s00253-011-3196-4,GBE deletion strain,Saccharomyces cerevisiae,glutathione (glutathione),1.66 mM,YPD,Glucose,0.4 M,Shake flasks,7.0,24 h,30 °C,Aerobic,Saccharomyces cerevisiae YPH499,GBE,,,yes,
p12,10.1007.s00253-011-3196-4,GCS/GS overexpression and GTP/GBE deletion strain,Saccharomyces cerevisiae,glutathione (glutathione),2.59 mM,YPD,Glucose,0.4 M,Shake flasks,7.0,24 h,30 °C,Aerobic,GCS/GS-overexpressing strain,GBE;GTP,GCS;GS,,yes,
,,,,,,,,,,,,,,,,,,,
p13,10.1007.s00253-012-4308-5,JM101ΔpykFΔpykA,E. coli,pVAX1GFP (pVAX1GFP),5.3 mg/g DCW,rich,glucose,5 g/L + 10 g/L,shake flask,,24 h,37 °C,250 rpm,JM101,pykA;pykF,,,yes,
p13,10.1007.s00253-012-4308-5,JM101ΔpykFΔpykA,E. coli,pVAX1GFP (pVAX1GFP),2.5 mg/g DCW,rich,glucose,20 g/L,shake flask,,24 h,37 °C,250 rpm,JM101,pykA;pykF,,,yes,
p13,10.1007.s00253-012-4308-5,JM101ΔpykFΔpykA,E. coli,pVAX1GFP (pVAX1GFP),2.2 mg/g DCW,rich,glycerol,20 g/L,shake flask,,24 h,37 °C,250 rpm,JM101,pykA;pykF,,,titer,
