paper number,paper_number,doi,strain,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene
P33,P2096,10.1016.j.ymben.2008.08.001,"JCL 16 DmetA, Dtdh, DilvB, DilvI, DadhE",Escherichia coli,1-butanol (1-butanol),1.2 g/L,M9 medium containing 30 g/L glucose and 5 g/L yeast extract,Glucose,30 g/L,"250 ml conical flask, rotary shaker (240 rpm)",6.0,3-4 days,30°C,JCL 16,adhE;ilvB;ilvI;metA;tdh,ADH2;BC;ilvA;kivd;leuABCD,
P33,P2096,10.1016.j.ymben.2008.08.001,"JCL 16 DmetA, Dtdh, DilvB, DilvI, DadhE",Escherichia coli,1-propanol (1-propanol),about 1.2 g/L,M9 medium containing 30 g/L glucose and 5 g/L yeast extract,Glucose,30 g/L,"250 ml conical flask, rotary shaker (240 rpm)",6.0,3-4 days,30°C,JCL 16,adhE;ilvB;ilvI;metA;tdh,ADH2;BC;ilvA;kivd;leuABCD,
P33,P2096,10.1016.j.ymben.2008.08.001,"JCL 16 DmetA, Dtdh, DilvB, DilvI, DadhE",Escherichia coli,1-propanol (1-propanol),o50 mg/L,M9 medium containing 30 g/L glucose and 5 g/L yeast extract,Glucose,30 g/L,"250 ml conical flask, rotary shaker (240 rpm)",6.0,3-4 days,30°C,JCL 16,adhE;ilvB;ilvI;metA;tdh,ADH2;BC;ilvA;kivd;leuABCD,
P33,P2096,10.1016.j.ymben.2008.08.001,"JCL 16 DmetA, Dtdh, DilvB, DilvI, DadhE",Escherichia coli,ethanol (ethanol),approximately 0.1 g/L,M9 medium containing 30 g/L glucose and 5 g/L yeast extract,Glucose,30 g/L,"250 ml conical flask, rotary shaker (240 rpm)",6.0,3-4 days,30°C,JCL 16,adhE;ilvB;ilvI;metA;tdh,ADH2;BC;ilvA;kivd;leuABCD,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P36,P790,10.1007.s10295-011-0973-0,VH33_TIR,Escherichia coli,DHS (Dehydroshikimic acid),134 ± 4 mg/l,Minimal Medium,Glucose,10 g/l,Shake Flask,6.0,Not specified,37°C,,,,
P36,P790,10.1007.s10295-011-0973-0,VH33_TIR,Escherichia coli,DHS (Dehydroshikimic acid),340 ± 11 mg/l,Minimal Medium,Glucose,10 g/l,Shake Flask,6.0,Not specified,37°C,,,,
P36,P790,10.1007.s10295-011-0973-0,VH33_TIR,Escherichia coli,SHIK (Shikimate),134 ± 4 mg/l,Minimal Medium,Glucose,10 g/l,Shake Flask,6.0,Not specified,37°C,,,,
P36,P790,10.1007.s10295-011-0973-0,VH33_TIR,Escherichia coli,SHIK (Shikimate),340 ± 11 mg/l,Minimal Medium,Glucose,10 g/l,Shake Flask,6.0,Not specified,37°C,,,,
P36,P790,10.1007.s10295-011-0973-0,VH33_TIR,Escherichia coli,acetic acid (Acetic Acid),0.05 g/l,Minimal Medium,Glucose,10 g/l,Shake Flask,6.0,Not specified,37°C,,,,
P36,P790,10.1007.s10295-011-0973-0,W3110_TIR,Escherichia coli,acetic acid (Acetic Acid),1.4 g/l,Minimal Medium,Glucose,10 g/l,Shake Flask,6.0,Not specified,37°C,,,,
P36,P790,10.1007.s10295-011-0973-0,W3110_TIR,Escherichia coli,"l-Tyr (l-3,4-dihydroxyphenylalanine)",32 ± 2 mg/g,Minimal Medium,Glucose,10 g/l,Shake Flask,6.0,Not specified,37°C,,,,
P36,P790,10.1007.s10295-011-0973-0,VH33ΔtyrR_DOPA,Escherichia coli,"l-DOPA (l-3,4-dihydroxyphenylalanine)",313 ± 60 mg/l,M9 Mineral Medium,Glucose,10 g/l,Resting Cell Culture,6.0,40 hours,37°C,VH33ΔtyrR,tyrR,aroG fbr;hpaB;hpaBC;pheA;pheA CM;tktA;tyrC,hpaB (Escherichia coli W)
P36,P790,10.1007.s10295-011-0973-0,VH33ΔtyrR_DOPA,Escherichia coli,"l-DOPA (l-3,4-dihydroxyphenylalanine)",320 ± 100 mg/l,M9 Mineral Medium,Glucose,10 g/l,Resting Cell Culture,6.0,40 hours,37°C,VH33ΔtyrR,tyrR,aroG fbr;hpaB;hpaBC;pheA;pheA CM;tktA;tyrC,hpaB (Escherichia coli W)
P36,P790,10.1007.s10295-011-0973-0,VH33ΔtyrR_DOPA,Escherichia coli,"l-DOPA (l-3,4-dihydroxyphenylalanine)",54 ± 7 mg/g,M9 Mineral Medium,Glucose,10 g/l,Resting Cell Culture,6.0,40 hours,37°C,VH33ΔtyrR,tyrR,aroG fbr;hpaB;hpaBC;pheA;pheA CM;tktA;tyrC,hpaB (Escherichia coli W)
P36,P790,10.1007.s10295-011-0973-0,W3110ΔtyrR_DOPA,Escherichia coli,"l-DOPA (l-3,4-dihydroxyphenylalanine)",35 ± 1 mg/g,M9 Mineral Medium,Glucose,10 g/l,Resting Cell Culture,6.0,40 hours,37°C,W3110ΔtyrR,tyrR,aroG fbr;hpaB;hpaBC;pheA;pheA CM;tktA;tyrC,hpaB (E. coli W)
P36,P790,10.1007.s10295-011-0973-0,W3110ΔtyrR_TIR,Escherichia coli,"l-Tyr (l-3,4-dihydroxyphenylalanine)",42 ± 2 mg/g,Minimal Medium,Glucose,10 g/l,Shake Flask,6.0,Not specified,37°C,W3110ΔtyrR,tyrR,aroG fbr;tktA,
,,,,,,,,,,,,,,,,,
P37,P2217,10.1016.j.ymben.2013.05.004,1pA+P,E. coli,POH (Perillyl alcohol),34 mg/L,EZ-Rich defined medium with 1% glucose,Glucose,1%,Shaken in rotary shakers at 200 rpm,Not specified,48 h,30°C,,,GPPS;MTSA;P450,GPPS (Abies grandis);P450 (Mycobacterium HXN-1500)
P37,P2217,10.1016.j.ymben.2013.05.004,1pC+P,E. coli,acetylated POH (acetylated perillyl alcohol),30 mg/L,EZ-Rich defined medium with 1% glucose,Glucose,1%,Shaken in rotary shakers at 200 rpm,Not specified,48 h,30°C,1pC,,GPPS;LS;MTSA;P450,GPPS (Abies grandis);LS (Mentha spicata);P450 (Mycobacterium HXN-1500)
P37,P2217,10.1016.j.ymben.2013.05.004,1pC,E. coli,limonene (limonene),187 mg/L,EZ-Rich defined medium with 1% glucose,Glucose,1%,Shaken in rotary shakers at 200 rpm,Not specified,48 h,30°C,,,GPPS;LS;MTSA,GPPS (Abies grandis);LS (Mentha spicata)
P37,P2217,10.1016.j.ymben.2013.05.004,2p-0,E. coli,limonene (limonene),2 mg/L,EZ-Rich defined medium with 1% glucose,Glucose,1%,Shaken in rotary shakers at 200 rpm,Not specified,48 h,30°C,,,GPPS;LS,GPPS (Abies grandis);LS (Mentha spicata)
P37,P2217,10.1016.j.ymben.2013.05.004,2p-SA-f-tr,E. coli,limonene (limonene),335 mg/L,EZ-Rich defined medium with 1% glucose,Glucose,1%,Shaken in rotary shakers at 200 rpm,Not specified,48 h,30°C,2p-SA-f,,GPPS;LS,GPPS (Abies grandis);LS (Mentha spicata)
P37,P2217,10.1016.j.ymben.2013.05.004,2p-SA-f-tr,E. coli,limonene (limonene),435 mg/L,EZ-Rich defined medium with 1% glucose,Glucose,1%,Shaken in rotary shakers at 200 rpm,Not specified,48 h,30°C,2p-SA-f,,GPPS;LS,GPPS (Abies grandis);LS (Mentha spicata)
P37,P2217,10.1016.j.ymben.2013.05.004,2p-SA-f-tr,E. coli,limonene (limonene),70 mg/L,EZ-Rich defined medium with 1% glucose,Glucose,1%,Shaken in rotary shakers at 200 rpm,Not specified,48 h,30°C,2p-SA-f,,GPPS;LS,GPPS (Abies grandis);LS (Mentha spicata)
P37,P2217,10.1016.j.ymben.2013.05.004,2p-0-tr,E. coli,limonene (limonene),40 mg/L,EZ-Rich defined medium with 1% glucose,Glucose,1%,Shaken in rotary shakers at 200 rpm,Not specified,48 h,30°C,2p-0,,GPPS;LS,GPPS (Abies grandis);LS (Mentha spicata)
,,,,,,,,,,,,,,,,,
P38,P912,10.1007.s10529-014-1600-8,Q1598,Escherichia coli,3HP (3-hydroxypropionate),0.41 g 3HP l−1,Minimal medium,"Glucose, glycerol","20 g glycerol l−1, 3 g glucose l−1",Shake flask,Not specified,48 h,30 °C,,,PanD,
P38,P912,10.1007.s10529-014-1600-8,Q1598,Escherichia coli,P3HP (poly(3-hydroxypropionate)),0.41 g 3HP l−1,Minimal medium,"Glucose, glycerol","20 g glycerol l−1, 3 g glucose l−1",Shake flask,Not specified,48 h,30 °C,,,PanD,
P38,P912,10.1007.s10529-014-1600-8,Q1911,Escherichia coli,3HP (3-hydroxypropionate),0.5 g P3HP l−1,Minimal medium,"Glucose, glycerol","20 g glycerol l−1, 3 g glucose l−1",Shake flask,Not specified,48 h,30 °C,,,PP0596;PanD;PanM;PhaC1;PrpE;YdfG,
P38,P912,10.1007.s10529-014-1600-8,Q1911,Escherichia coli,P3HP (poly(3-hydroxypropionate)),0.5 g P3HP l−1,Minimal medium,"Glucose, glycerol","20 g glycerol l−1, 3 g glucose l−1",Shake flask,Not specified,48 h,30 °C,,,PP0596;PanD;PanM;PhaC1;PrpE;YdfG,
P38,P912,10.1007.s10529-014-1600-8,Q1749,Escherichia coli,3HP (3-hydroxypropionate),0.87 g 3HP l−1,Minimal medium,"Glucose, glycerol","20 g glycerol l−1, 3 g glucose l−1",Shake flask,Not specified,48 h,30 °C,,,PanD;PanM,
P38,P912,10.1007.s10529-014-1600-8,Q1749,Escherichia coli,P3HP (poly(3-hydroxypropionate)),0.87 g 3HP l−1,Minimal medium,"Glucose, glycerol","20 g glycerol l−1, 3 g glucose l−1",Shake flask,Not specified,48 h,30 °C,,,PanD;PanM,
P38,P912,10.1007.s10529-014-1600-8,Q1402,Escherichia coli,3HP (3-hydroxypropionate),2 g 3HP l−1,Minimal medium,"Glucose, glycerol","20 g glycerol l−1, 3 g glucose l−1",Shake flask,Not specified,48 h,30 °C,,,MCR-N;PP0596,
P38,P912,10.1007.s10529-014-1600-8,Q1402,Escherichia coli,P3HP (poly(3-hydroxypropionate)),2 g 3HP l−1,Minimal medium,"Glucose, glycerol","20 g glycerol l−1, 3 g glucose l−1",Shake flask,Not specified,48 h,30 °C,,,MCR-N;PP0596,
P38,P912,10.1007.s10529-014-1600-8,Q1400,Escherichia coli,3HP (3-hydroxypropionate),3.1 g 3HP l−1,Minimal medium,"Glucose, glycerol","20 g glycerol l−1, 3 g glucose l−1",Shake flask,Not specified,48 h,30 °C,,,MCR-N;YdfG,
P38,P912,10.1007.s10529-014-1600-8,Q1400,Escherichia coli,P3HP (poly(3-hydroxypropionate)),3.1 g 3HP l−1,Minimal medium,"Glucose, glycerol","20 g glycerol l−1, 3 g glucose l−1",Shake flask,Not specified,48 h,30 °C,,,MCR-N;YdfG,
P38,P912,10.1007.s10529-014-1600-8,Q1457,Escherichia coli,P3HP (poly(3-hydroxypropionate)),0.12 g P3HP l−1,Minimal medium,"Glucose, glycerol","20 g glycerol l−1, 3 g glucose l−1",Shake flask,Not specified,48 h,30 °C,,,ACS;ACS domain;PP0596;PhaC1;YdfG,
P38,P912,10.1007.s10529-014-1600-8,Q1430,Escherichia coli,P3HP (poly(3-hydroxypropionate)),1.6 g P3HP l−1,Minimal medium,"Glucose, glycerol","20 g glycerol l−1, 3 g glucose l−1",Shake flask,Not specified,48 h,30 °C,,,PP0596;PhaC1;PrpE;YdfG,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P41,P118,10.1002.bit.22918,XQ56 (p15CadA),Escherichia coli,cadaverine (cadaverine),$0.12 g per gram of glucose,R/2 medium supplemented with 10 g L À1 of glucose and 3 g L À1 of (NH 4 ) 2 SO 4,glucose,10 g L À1,fed-batch cultivation using pH-stat feeding strategy,6.80,30 h,378C,XQ56,PuuA;PuuP;YgjG;speE;speG,cadA;dapA,
P41,P118,10.1002.bit.22918,XQ56 (p15CadA),Escherichia coli,cadaverine (cadaverine),0.131 g per gram of glucose,R/2 medium supplemented with 10 g L À1 of glucose and 3 g L À1 of (NH 4 ) 2 SO 4,glucose,10 g L À1,batch culture in a 6.6-L jar fermentor,6.80,not specified,378C,XQ56,PuuA;PuuP;YgjG;speE;speG,cadA;dapA,
P41,P118,10.1002.bit.22918,XQ56 (p15CadA),Escherichia coli,cadaverine (cadaverine),9.61 g L À1,R/2 medium supplemented with 10 g L À1 of glucose and 3 g L À1 of (NH 4 ) 2 SO 4,glucose,10 g L À1,fed-batch cultivation using pH-stat feeding strategy,6.80,30 h,378C,XQ56,PuuA;PuuP;YgjG;speE;speG,cadA;dapA,
P41,P118,10.1002.bit.22918,XQ27,Escherichia coli,cadaverine (cadaverine),1.19 g L À1,R/2 medium supplemented with 10 g L À1 of glucose and 3 g L À1 of (NH 4 ) 2 SO 4,glucose,10 g L À1,batch culture in a 6.6-L jar fermentor,6.80,not specified,378C,E. coli WL3110,PuuA;PuuP;YgjG;speE;speG,cadA,
P41,P118,10.1002.bit.22918,XQ56,Escherichia coli,cadaverine (cadaverine),1.31 g L À1,R/2 medium supplemented with 10 g L À1 of glucose and 3 g L À1 of (NH 4 ) 2 SO 4,glucose,10 g L À1,batch culture in a 6.6-L jar fermentor,6.80,not specified,378C,XQ27,PuuA;PuuP;YgjG;speE;speG,cadA;dapA,
,,,,,,,,,,,,,,,,,
P42,P3391,10.1073.pnas.0702609104,Val (pKKilvBN),Escherichia coli,L-valine (L-valine),0.5 g/liter,NM2 medium,Glucose,20 g/liter,"Flask cultures, batch fermentation",6.0,Exponential growth phase,31°C,Val,ilvA;leuA;panB,ilvBN,
P42,P3391,10.1073.pnas.0702609104,Val (pKKilvBN),Escherichia coli,L-valine (L-valine),1.31 g/liter,NM2 medium,Glucose,20 g/liter,"Bioreactor, batch fermentation",6.0,Exponential growth phase,31°C,Val,ilvA;leuA;panB,ilvBN,
P42,P3391,10.1073.pnas.0702609104,"Val (pKBRilvBNCED, pTrc184ygaZHlrp)",Escherichia coli,L-valine (L-valine),4.34 g/liter,NM2 medium,Glucose,20 g/liter,"Flask cultures, batch fermentation",6.0,48 h,31°C,,ilvA;leuA;panB,ilvBN;lrp;ygaZH,
P42,P3391,10.1073.pnas.0702609104,"Val (pKBRilvBNCED, pTrc184ygaZHlrp)",Escherichia coli,L-valine (L-valine),7.61 g/liter,NM2 medium,Glucose,20 g/liter,"Flask cultures, batch fermentation",6.0,48 h,31°C,,ilvA;leuA;panB,ilvBN;lrp;ygaZH,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P44,P2152,10.1016.j.ymben.2011.08.001,E. coli wFS,E. coli,a-farnesene (alpha-farnesene),Low amount,2YT medium with an overlay of 1 mL of decane,Glucose,Not specified,Shaking flask,Not specified,24 h,29°C,,,a-farnesene synthase,
P44,P2152,10.1016.j.ymben.2011.08.001,E. coli aFS,E. coli,a-farnesene (alpha-farnesene),1.3-fold increase over E. coli wFS,2YT medium with an overlay of 1 mL of decane,Glucose,Not specified,Shaking flask,Not specified,24 h,29°C,E. coli wFS,,a-farnesene synthase,
P44,P2152,10.1016.j.ymben.2011.08.001,E. coli aFS-idi,E. coli,a-farnesene (alpha-farnesene),7-fold increase over E. coli aFS-CT,2YT medium with an overlay of 1 mL of decane,Glucose,Not specified,Shaking flask,Not specified,24 h,29°C,E. coli wFS,,IDI;a-farnesene synthase,
P44,P2152,10.1016.j.ymben.2011.08.001,E. coli aFS-SN,E. coli,a-farnesene (alpha-farnesene),17 mg/L,2YT medium with an overlay of 1 mL of decane containing 5 mM mevalonate,Mevalonate,5 mM,Shaking flask,Not specified,48 h,29°C,E. coli aFS,,a-farnesene synthase,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P50,P433,10.1007.s00253-007-1246-8,E. coli JM109,Escherichia coli,,,Luria-Bertani (LB) medium,Glucose,,"Test tube, static culture",,,30°C,,,,
