doi,product,product titer,medium,carbon source,ph,temperature,oxygen level,vessel and feed mode,gene
10.1186.1475-2859-13-21,"['SA', 'SA (Shikimic Acid)']","['0.25 mol/mol', '0.42 mol/mol', '0.26 g/L', '0.23 g/L', '0.86 mol/mol', '0.15 g/L', '1.70 g/L', '0.33 mol/mol', '1.34 g/L']",['LB'],['glucose'],['7.0'],['37°C'],['150 rpm'],['Shake flask'],"['aroB', 'aroE', 'aroF fbr', 'aroG', 'aroG fbr', 'aroGfbr', 'aroK', 'aroL', 'csrB', 'cysG', 'fbr', 'nadK', 'pntAB', 'pps', 'recA', 'sthA', 'tktA', 'yfjB']"
10.1186.s12934-015-0211-y,"['acetate', 'acetate (acetate)', 'arginine', 'arginine (arginine)', 'succinate', 'succinate (succinate)']","['3.03 g/L', '0.17 g arg/g glc', '5 g/L', '15.85 g/L', '14.56 g/L', '1.18 g arg/g DCW', '4 g/L', '11.64 g/L', '28 g/L', '0.50 g/g', '4-5 g/L']",['same as described above'],['glucose'],['7'],['32°C'],['controlled with pulses of air (at 10 vvm) to maintain DO level above 30%'],"['bioreactors (batch), supplemented with 0.4 g/L of antifoam']","['adiA', 'argA', 'argA214', 'argO', 'argP', 'argR', 'lysE', 'speC', 'speF']"
10.1016.j.biortech.2012.02.119,"['HFAs', 'HFAs (long chain hydroxyfatty acids)', 'hydroxydodecanoic acids (C12)', 'hydroxydodecanoic acids (C12) (hydroxydodecanoic acids (C12))', 'hydroxytetradecanoic acids (C14)', 'hydroxytetradecanoic acids (C14) (hydroxytetradecanoic acids (C14))']","['72.6 mg/l', '117.0 mg/l', '51.8 mg/l', '41.9 mg/L', '117.0 mg/L', '60.5 mg/l', '58.5 mg/L']","['LB medium', 'M9 medium']",['Glucose'],[''],['30°C'],['Oxygen-limited'],['Shake flask'],"[""'TesA"", 'BTE', 'LCR', 'P450BM3', 'TesA', 'YetO', 'fadD', 'tesA', 'yetO']"
10.1016.j.biortech.2015.06.108,"['succinate', 'succinate (succinate)']","['70 g/L', '0.81 g/g xylose', '0.8 g/g sugar', '85.46 g/L', '0.88 g/g glucose', '0.88 g/g sugar', '37.49 g/L', '84.26 g/L', '44.17 g/L']",['AM1'],"['Glucose', 'Sugar mixture', 'Xylose']",['7.0'],['37°C'],['150rpm'],"['500mL fermenter, 300mL working volume']","['galP', 'galP*', 'ptsI', 'sacB']"
10.1016.j.jbiosc.2014.12.023,"['1,3-PDO', '1,3-PDO (1,3-propanediol)', '3-HP', '3-HP (3-hydroxypropionic acid)', 'acetate', 'acetate (acetate)']","['54.1% (mol/mol)', '10.2 ± 0.472 mM', '31.8 mM', '33.1±0.920 mM', '2.16 ± 0.178 mM', '11.3 ± 0.533 mM', '56.1±0.736 mM', '32.8% (mol/mol)', '15.1% (mol/mol)', '15.6±0.683 mM']",['Modified M9'],['glycerol'],['6–7'],['37°C'],"['250rpm first 3h, 100rpm after IPTG addition']","['250mL baffled flask, linear shaker']","['araE', 'dhaB1', 'dhaB2', 'dhaB3', 'gdrA', 'gdrB', 'pduL', 'pduP', 'pduW']"
10.1016.j.ymben.2010.08.005,"['acetate', 'acetate (acetate)', 'succinate', 'succinate (succinic acid)']","['3.62 g/L', '0.8 g/L', '0.76 g/L', '2.98 g/L', '0.11 mol/mol glucose', '6.4 g/L', '5 g/L']",['defined minimal medium'],['glucose'],"['4.0-4.5', '5.8']",['30°C'],['high oxygen entry'],"['250ml shake flasks, batch mode']","['IDH1', 'IDP1', 'IDP2', 'IDP3', 'SDH1', 'SDH2', 'SDH3', 'idh1', 'sdh1', 'sdh2']"
10.1016.j.ymben.2012.06.001,"['DAG (Diacylglycerol)', 'GGL', 'GGL (glycoglycerolipids)']","['180 mg/l', '6 mg/g']",['defined medium'],['glucose'],['7.0'],['37°C'],"['', '20% min']","['bioreactor, batch', 'bioreactor, fed-batch']","['GalU', 'MG517', 'MG517 glycosyltransferase', 'PlsC', 'dgkA', 'galU', 'mg517', 'pgpB', 'plsB', 'plsC']"
10.1016.j.ymben.2012.08.003,"['mcl-PHA', 'mcl-PHA (medium-chain-length polyhydroxyalkanoate)', 'polyhydroxydodecanoate', 'polyhydroxydodecanoate (polyhydroxydodecanoate)']","['9.8% CDW', '17.3% CDW']",['MOPS'],['Glucose'],"['', '7.00±0.05']",['37°C'],"['Aerobic', '≥40% saturation']","['1L bioreactor, batch', 'Shake flask, batch']","['BTE', 'FadA', 'FadB', 'FadD', 'FadE', 'FadL', 'FadR', 'PP_0763', 'fadBA', 'fadD', 'fadE', 'fadI', 'fadIJ', 'fadJ', 'fadK', 'fadR', 'fadRABIJ', 'fadRB', 'fadRBJ', 'phaC', 'phaJ']"
10.1016.j.ymben.2012.08.009,"['fatty acids', 'fatty acids (fatty acids)']","['5.2 g/L', '0.7 g/L', '0.26 g/g', '0.8 g/L', '2 g/L', '1.1 g/L']","['LB medium', 'minimal medium']","['', '2% glucose']",[''],['37°C'],[''],[''],"['FadR', 'accA', 'accABCD', 'arcA', 'cpxP', 'fabA', 'fabB', 'fabF', 'fadBA', 'fadD', 'fadE', 'fadIJ', 'fadL', 'fadR', 'fumC', 'marR', 'mdtA', 'pspA', 'pspG', 'soxR', 'spy', 'tesA', 'vcfadR']"
10.1016.j.ymben.2012.10.003,"['PCA decarboxylase (protocatechuic acid decarboxylase)', 'glucose (glucose)', 'muconic acid', 'muconic acid (muconic acid)']","['77 mg/L', '21 mg/L', '62 mg/L', '141 mg/L', '30 mg/L', '25 mg/L', '5 mg/L', '14 mg/L', '3.9 mg/g glucose']","['YSC', 'YSC/YSM']",['Glucose'],[''],['30°C'],[''],['Shake flask'],"['ARO3', 'ARO4', 'ARO4k229l', 'AroY', 'AroZ', 'CatA', 'DEHA2C14806g', 'DEHA2F15906g', 'DEHA2G00682g', 'DHS', 'DHS dehydratase', 'ECL_01944', 'ECL_01944opt', 'FDC1', 'HQD2', 'PAD1', 'PCA decarboxylase', 'Pa_0_880', 'Pa_4_4540', 'Pa_5_5120', 'QutC', 'TKL1', 'ZWF1', 'aro4k229l', 'caHQD2opt', 'catechol 1,2-dioxygenase', 'dhDEHA2F15906g', 'kpAroYopt', 'pa5_5120opt']"
10.1016.j.ymben.2012.11.011,"['5AVA', '5AVA (5-aminovalerate)', 'glutarate']","['0.12 g/L', '0.27 g/L', '1.7 g/L', '3.6 g/L', '1.1 g/L', '0.5 g/L']","['LB', 'MR']","['glucose', 'glucose, l-lysine', 'l-lysine']",[''],"['30°C', '37°C']",[''],"['Batch culture', 'Fed-batch culture', 'Flask culture']","['dapA', 'dapB', 'dapC', 'dapD', 'dapE', 'dapF', 'davA', 'davB', 'ddh', 'gabD', 'gabT', 'lysA', 'lysC', 'metL', 'ppc', 'thrA']"
10.1016.j.ymben.2013.01.006,"['ethanol', 'ethanol (ethanol)']","['25 g/L', '15–20 g/L', '15 g/L', '24 h (up to about 80%)', '30 g/L']",['AMX media'],['glucose'],['≥6'],['37°C'],['shaking'],"['125mL Erlenmeyer flask, batch']","['FdnG', 'MrdA', 'UbiB', 'betA', 'betB', 'betI', 'dctR', 'dksA', 'fabA', 'gluQ', 'hdeA', 'hdeB', 'mutL', 'otsA', 'otsB', 'rlmH', 'sfsA', 'treA', 'truB', 'uspC', 'xylR', 'yhiD']"
10.1016.j.ymben.2013.06.001,"['L-tyrosine', 'L-tyrosine (L-tyrosine)', 'salvianic acid A', 'salvianic acid A (salvianic acid A)']","['18.29 mg/l', '197.18 mg/L', '702.7 mg/L', '10.2 mg/l', '55.86 mg/L', '37.24 mg/L', '2.5 g/L', '18.96 mg/L', '0.55 g of L-tyrosine per g of glucose', '0.47 mol/mol glucose', '136 mg/L', '0.22 mol/mol glucose', '45 mg/L', '18.85 mg/L', '259.27 mg/L', '7.1 g/L']","['MOPS minimal', 'MOPS-glucose', 'Modified MOPS']",['Glucose'],[''],['37 ℃'],"['', '220 rpm']","['', 'Fed-batch, 500 mL flask', 'Shake flask']","['D-LDH', 'D-LDHY52A', 'D-LDHY52V', 'HPPR', 'TyrB', 'aroA', 'aroB', 'aroE', 'aroG', 'aroGfbr', 'aroL', 'd-ldh', 'd-ldhWT', 'd-ldhY52A', 'd-ldhY52V', 'evgA', 'glk', 'hpaB', 'hpaBC', 'hpaC', 'module 1', 'module 2', 'module 3', 'module 4', 'pckA', 'pheA', 'ppsA', 'ptsG', 'pykA', 'pykF', 'tktA', 'tyrAfbr', 'tyrB', 'tyrR']"
10.1016.j.ymben.2013.07.003,"['fatty acid ethyl esters (FAEEs)', 'fatty acid ethyl esters (FAEEs) (fatty acid ethyl esters)', 'fatty alcohols', 'fatty alcohols (fatty alcohols)', 'free fatty acids', 'free fatty acids (free fatty acids)', 'lipids', 'total fatty acids', 'total fatty acids (total fatty acids)', 'triacylglycerol (TAG)']","['93.4mg/L', '5.4 mg/L', '1.2 mg/L', '70.6 mg/L', '42.7 mg/L', '164 mg/l', '56.5mg/L', '143.3 mg/L', '168.3 mg/L', '4.9 mg/L', '207 mg/l', '400 mg/l', '52 mg/l', '98.0mg/L', '1.3 mg/L', '47.4mg/L', '63.2 mg/L', '155.0 mg/L', '140.0 mg/L', '166.4 mg/L', '5 mg/l', '4.6 mg/L', '171.5 mg/L', '131.0 mg/L']","['Minimal medium', 'YPD', 'minimal']","['Glucose & Galactose', 'glucose', 'glucose/galactose']",[''],['30°C'],[''],"['250-mL flask cultures (shaken)', '250-mL flasks, shaken at 200rpm', 'Erlenmeyer flasks (200 rpm)']","[""'TesA"", 'ACC', 'ACC1', 'ADS', 'Cre recombinase', 'DGA1', 'Dga1', 'FAA1', 'FAA4', 'FAS', 'FAS1', 'FAS2', 'FOX3', 'FadE', 'LEU2', 'MaME', 'POX1', 'POX2', 'PXA1', 'PXA2', 'TAF10', 'TEF', 'TesA', 'URA3', 'acr1', 'atfA', 'fadD', 'mFAR1', 'malic enzyme']"
10.1016.j.ymben.2013.08.004,"['deoxyviolacein', 'deoxyviolacein (deoxyviolacein)', 'glycine', 'glycine (glycine)', 'serine', 'tryptophan', 'tryptophan (tryptophan)', 'violacein', 'violacein (violacein)']","['209.5 mg/l', '324.1 mg/l', '710 mg/l', '180 mg/l', '250.3 mg/l', '176.1 mg/l', '3 mg/l', '55 mg/L', '800 mg/L', '70 mg/l', '6 mg/l', '202.8 mg/l', '277.0 mg/l']","['mineral medium', 'production medium w/yeast extract']",['l-arabinose'],['7.8'],"['', '20°C']","['', '-', '>80% of saturation']","['DASGIP bioreactor, fed-batch', 'baffled shake flasks']","['aphA', 'aroFBL', 'fuc', 'gal', 'lac', 'lacIZYA', 'sdaA', 'serA', 'tktA', 'tnaA', 'trpE', 'trpL', 'trpR', 'vioA', 'vioABCD', 'vioABCDE', 'vioB', 'vioC', 'vioD', 'vioE', 'xyl']"
10.1016.j.ymben.2013.12.004,"['fatty alcohols', 'fatty alcohols (fatty alcohols)', 'hexadecanol', 'hexadecanol (hexadecanol)']","['0.75 g/L', '0.4 g/L', '0.02 g/g', '0.007 g/g']",['M9'],['glycerol'],[''],['30°C'],[''],"['5-L fermentor, fed-batch']","['1-acylglycerol-3-phosphate acyltransferase', 'AAR', 'ACP', 'AD', 'AccC', 'Acr1', 'AdhE', 'AdhP', 'DPW', 'FAR', 'FabA', 'FabB', 'FabD', 'FabF', 'FabG', 'FabH', 'FabI', 'FabR', 'FabZ', 'FadA', 'FadD', 'FadH', 'FadI', 'FadR', 'Glycerol-3-phosphate acyltransferase', 'TesA', 'YqhD', 'aar', 'accA', 'accB', 'accC', 'accD', 'acetyl-CoA carboxylase', 'acr1', 'adhE', 'adhP', 'dpw', 'fadD', 'fadE', 'far', 'thioesterase', 'yqhD']"
10.1016.j.ymben.2014.01.003,"['FASEs', 'FASEs (Fatty acid short-chain esters)', 'isobutanol', 'isopentanol']","['10.5±0.13 mg/g', '17.1 mg/g', '56.4 mg/L', '209.1±2.62 mg/L', '1.8±0.30 mg/g', '84.8 mg/l', '3.6±0.06 mg/g', '103.7 mg/l', '61.5 mg/l', '72.7±1.11 mg/L', '36±6.54 mg/L', '1008 mg/L', '74.7 mg/L', '86.3 mg/L', '107.8±3.26 mg/L']",['Modified M9'],['Glycerol'],[''],['37°C'],[''],['Shake flask'],"['ADH2', 'ARO10', ""TesA'"", 'WS/DGAT', 'fadD', 'fadE']"
10.1007.s00253-007-1307-z,"['phenylalanine', 'phenylalanine (phenylalanine)']","['1.61 g/l', '1.67 g/l', '1.20 g/l', '1.84 g/l', '1.22 g/l', '2.39 g/l', '2.33 g/l', '1.27 g/l', '1.52 g/l', '1.41 g/l']",['LB'],['Glycerol+Glucose'],[''],['37°C'],['Aerobic'],['Shake flask'],"['AroF', 'PheA', 'TkTA', 'TktA', 'Zwf', 'aroF', 'aroF FR', 'aroG', 'csrA', 'csrB', 'csrD', 'pheA', 'pheA FR', 'pheO', 'tkaFpA', 'tktA', 'tktA+aroF FR+pheA FR', 'trpE', 'tyrA', 'tyrR', 'zwf']"
10.1007.s00253-009-2401-1,"['3MB', '3MB (3-methyl-1-butanol)']","['0.43 g/L', '0.04 g/g', '0.10 g/g', '0.08 g/g', '0.75 g/L', '1.5 g/L', '0.8 g/L', '2.8 g/L', '9.5 g/L', '0.11 g/g', '1.1 g/L', '4.4 g/L']",['M9'],['glucose'],"['', '7']",['30°C'],[''],"['Flask', 'Flask with oleyl alcohol']","['ADH2', 'alsS', 'ilvCD', 'kivd', 'leuA(G462D)', 'leuBCD']"
10.1007.s00253-012-4618-7,"['EG', 'EG (ethylene glycol)', 'glycolate', 'glycolate (glycolate)']","['0.07 g/g d-xylose', '0.29 g/g', '11.69 g/L']",['enriched medium'],['d-xylose'],['7.0'],['37°C'],['0.5 vvm'],"['5-L fermenter, batch feed']","['Xdh', 'XylA', 'YagE', 'YagF', 'YjhG', 'YjhH', 'YqhD', 'aldA', 'xylA', 'yagE', 'yagF', 'yjhG', 'yjhH']"
10.1007.s00253-014-6092-x,"['acetate', 'itaconate', 'itaconate (itaconate)', 'pyruvate', 'pyruvate (pyruvate)']","['1.9 mM', '30 mM', '55 mM', '0.09 mol/mol', '690 mg/L', '0.01 g/L']",['MM'],['glucose'],['6.9'],['30 °C'],['controlled'],"['bioreactor, batch']","['T7 polymerase', 'acnA', 'cadA', 'gltA', 'ldhA', 'pta']"
10.1007.s00253-014-6093-9,"['1-propanol', '1-propanol (1-propanol)', 'acetate', 'acetate (acetate)', 'ethanol', 'ethanol (ethanol)', 'lactate', 'lactate (lactate)', 'succinate', 'succinate (succinate)']","['2.15 g/L', '5.44 g/L', '9.3 g/L', '31.1 g/L', 'accumulated to 8.15 g/L', '6.76 g/L', '3.78 g/L', 'final concentration of 9.41 g/L', '0.55 g/L', '0.62 g/L', '34 % of dissimilated glucose', '2.44 g/L', '47 % of dissimilated glucose', '2 g/L', '2.05 g/L', '3.45 g/L', 'equivalent to 12–13 % of dissimilated glycerol', '25 g/L', '0.11 g/L', 'equivalent to approximately 70 % of dissimilated glycerol', '10.9 g/L']","['LB', 'SB']","['Glucose', 'Glycerol', 'glucose', 'glycerol']",['7.0'],['30 °C'],"['Anaerobic', 'anaerobic']","['Bioreactor, batch', 'Bioreactor, fed-batch', 'batch', 'fed-batch']","['Sbm', 'Sbm operon', 'adhE', 'ldhA', 'pykF', 'sbm', 'sucCD', 'ygfD', 'ygfG']"
10.1007.s00253-015-6732-9,"['acetol', 'acetol (acetol)']","['0.71 g/L', '0.25 g/g', '0.08 g/L', '1.20 g/L', '0.44 g/L', '1.82 g/L']",['M9 minimal'],"['Glucose + Glycerol', 'Glycerol']",['7'],['37 °C'],['220 rpm'],['500-mL baffled Erlenmeyer'],"['gapA', 'glpK', 'glpK22', 'mgsA', 'ptsG', 'yqhD', 'zwf']"
10.1007.s00253-015-6816-6,"['acetic acid', 'acetic acid (acetic acid)', 'fumaric acid', 'fumaric acid (fumaric acid)']","['0.070 g/L', '5.73 g/L', '2.07 g/L', '3.62 g/L', '0.432 g/g·glucose', '0.432 g/g', '5.30 g/L', '0.145 g/L', '0.371 g/g', '5.75 g/L', '0.506 g/g·glucose', '4.90 g/L', '0.493 g/g·glucose', '0.708 g/L', '0.96 g/L', '1.44 g/L', '2.7 g/L', '0.366 g/g·glucose', '0.490 g/g·glucose', '4.55 g/L', '25.5 g/L', '0.500 g/g·glucose', '4.59 g/L', '35.1 g/L', '0.436 g/g·glucose', '5.16 g/L', '5.00 g/L', '5.72 g/L', '6.24 g/L', '30.5 g/L', '5.21 g/L', '1.16 g/L', '5.79 g/L', '0.493 g/g', '0.371 g/L', '0.142 g/g', '0.431 g/g·glucose']","['LB', 'MR', 'modified MR']",['glucose'],['7.0'],"['37 °C', '37°C']","['', '220 rpm', '40%', 'DO 40%']","['Fed-batch', 'Flask', 'fed-batch (6.6 L jar)', 'flask']","['CS', 'PPC', 'ackA', 'arcA', 'aspA', 'fumA', 'fumAC', 'fumB', 'fumC', 'gltA', 'iclR', 'lacI', 'maeB', 'ppc', 'ptsG', 'sdhCDAB', 'sfcA']"
10.1007.s00449-013-1003-6,"['Calcium di-(d-galactonate)', 'Calcium di-(d-galactonate) (Calcium di-(d-galactonate))', 'd-galactonate', 'd-galactonate (d-galactonate)']","['0.88 g/g', '1.24 g/L', '0.17 g/L', '0.44 g/L', '17.6 g/L']",['M9 minimal salts medium'],"['Glucose, d-galactose', 'd-galactose, glucose']","['', '7.5']","['34 °C', '37 °C']","['', '20 % air saturation']","['5-L fermenter, batch', 'Shake flask cultivation', 'Shake flask cultivation at various pH levels']","['dgoD', 'dgoK', 'galK', 'gld']"
10.1007.s10529-014-1600-8,"['3HP', '3HP (3-hydroxypropionate)', 'P3HP', 'P3HP (poly(3-hydroxypropionate))']","['0.12 g/l', '3.1 g 3HP l−1', '0.5 g/l', '0.87 g 3HP l−1', '1.6 g/l', '0.41 g 3HP l−1', '2 g 3HP l−1']",['minimal medium'],"['glycerol, glucose']",[''],['30 °C'],[''],['500 ml baffled Erlenmeyer flask'],"['ACS', 'ACS domain', 'MCR-N', 'MmsB', 'PP0596', 'PanD', 'PanM', 'PhaC1', 'PrpE', 'YdfG', 'gabT', 'mcr -N', 'mmsB', 'panD', 'panM', 'pcs’', 'pp0596', 'ydfG']"
10.1007.s11274-014-1679-z,"['shikimic acid', 'shikimic acid (shikimic acid)']","['728.9 mg/l', '287.8 mg/l', '1,077.6 mg/l']",['fermentation'],"['glucose', 'sorbitol']",[''],['37 °C'],[''],['250 ml shake flask'],"['GBAE', 'aroB', 'aroE', 'aroK', 'aroL', 'tktA']"
10.1007.s12010-015-1874-x,"['acetate', 'acetate (acetate)', 'alanine', 'alanine (alanine)']","['0.3 g/l', '120.8 g/l', '1.1 g/l', '0.05 g/l', '114 g/l', '0.96 g/g glucose', '88 g/l', '96 g/100 g glucose', '0.48 g/g glucose', '89.6 g/100 g glucose', '0.02 g/l', '2.8 g/l', '13 g/l']","['M9-1', 'mineral salts with betaine']",['glucose'],"['-', '7']","['28 °C', '33 to 42 °C', '33 °C and 42 °C for 1 h induction', '42 °C', '< 33 °C', 'not specified']","['aerobic', 'anaerobic', 'oxygen-limited']","['5-l bioreactor', '5-l bioreactor, glucose-fed (85.2 g per batch)', 'complex medium, fed-batch', 'shake flask']","['ALD', 'PoxB', 'TdcD', 'TdcE', 'ack-pta', 'adhE', 'alaD', 'cI ts857-p R -p L -alaD-FRT', 'cvrA', 'dadA', 'dadX', 'frdA', 'ldhA', 'mgsA', 'pflB']"
10.1007.s12033-013-9721-1,"['MBO', 'MBO (2-Methyl-3-buten-2-ol)']","['0.0507 g/l', '0.020 g/l', '3.3 g/l', '0.0315 g/l', '0.1033 g/l']","['LB', 'Terrific Broth']",[''],[''],['37 °C'],"['with O2', 'without O2']",[''],"['HMGS', 'MBO synthase', 'MBOS', 'P. sabiniana MBO synthase', 'S. cerevisiae mevalonate pathway genes', 'idi']"
