paper number,doi,strain names,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene,check
p13,10.1007.s00253-012-4308-5,GALG20,E. coli,pDNA (plasmid DNA),19.1 mg/g DCW,glucose,20 g/L,Batch,,,24 h,37 °C,MG1655ΔendAΔrecA,pgi,,,ko
p13,10.1007.s00253-012-4308-5,MG1655ΔendAΔrecA,E. coli,pDNA (plasmid DNA),0.8 mg/g DCW,glucose,20 g/L,Batch,,,24 h,37 °C,MG1655,"endA, recA",,,yes
p13,10.1007.s00253-012-4308-5,GALG11,E. coli,pDNA (plasmid DNA),13.1 mg/g DCW,glucose,5 + 10 g/L,Batch,,,24 h,37 °C,MG1655ΔendAΔrecA,pykA,,,ko
p13,10.1007.s00253-012-4308-5,MG1655ΔendAΔrecA,E. coli,pDNA (plasmid DNA),3.6 mg/g DCW,glucose,5 + 10 g/L,Batch,,,24 h,37 °C,MG1655,"endA, recA",,,yes
p13,10.1007.s00253-012-4308-5,MG1655ΔendAΔrecA,E. coli,pDNA (plasmid DNA),11.2 mg/g DCW,glycerol,20 g/L,Batch,,,24 h,37 °C,MG1655,"endA, recA",,,yes
,,,,,,,,,,,,,,,,,
p14,10.1007.s00253-012-4485-2,E. coli BL21 (pET-32a-ispS),Escherichia coli,isoprene (isoprene),1.0 mg/g,LB,not specified,not specified,not applicable,not specified,2 h,37 °C,E. coli BL21,none,ispS,ispS (from Populus alba),yes
p14,10.1007.s00253-012-4485-2,E. coli BL21 (pET-30a-dxs/pET-32a-ispS),Escherichia coli,isoprene (isoprene),0.77 mg/g,LB,not specified,not specified,not applicable,not specified,not specified,37 °C,E. coli BL21,none,"dxs, ispS","ispS (from Populus alba), dxs",yes
p14,10.1007.s00253-012-4485-2,E. coli BL21 (pET-30a-dxr/pET-32a-ispS),Escherichia coli,isoprene (isoprene),0.54 mg/g,LB,not specified,not specified,not applicable,not specified,not specified,37 °C,E. coli BL21,none,"dxr, ispS","ispS (from Populus alba), dxr",yes
p14,10.1007.s00253-012-4485-2,E. coli BL21 (pET-30a-idi/pET-32a-ispS),Escherichia coli,isoprene (isoprene),1.04 mg/g,LB,not specified,not specified,not applicable,not specified,not specified,37 °C,E. coli BL21,none,"idi, ispS","ispS (from Populus alba), idi",yes
p14,10.1007.s00253-012-4485-2,E. coli BL21 (pET-30a-dxs/dxr/idi/pET-32a-ispS),Escherichia coli,isoprene (isoprene),2.727 mg/g,LB,not specified,not specified,not applicable,not specified,not specified,37 °C,E. coli BL21,none,"dxs, dxr, idi, ispS","ispS (from Populus alba), dxs, dxr, idi",yes
,,,,,,,,,,,,,,,,,
p15,10.1007.s00253-014-5895-0,BY4741 wild-type,Saccharomyces,itaconic acid (itaconic acid),59 mg/L,YSC media,glucose,20 g/L,batch,not specified,3 days,30 °C,BY4741,-,CAD (from A. terreus),CAD,yes
p15,10.1007.s00253-014-5895-0,BY4741 Δade3,Saccharomyces,itaconic acid (itaconic acid),90 mg/L,YSC media,glucose,20 g/L,batch,not specified,3 days,30 °C,BY4741,ade3,CAD (from A. terreus),CAD,yes
p15,10.1007.s00253-014-5895-0,BY4741 Δade3 Δbna2,Saccharomyces,itaconic acid (itaconic acid),122 mg/L,YSC media,glucose,20 g/L,batch,not specified,3 days,30 °C,BY4741 Δade3,bna2,CAD (from A. terreus),CAD,KO
p15,10.1007.s00253-014-5895-0,BY4741 Δade3 Δbna2 Δtes1,Saccharomyces,itaconic acid (itaconic acid),168 mg/L,YSC media,glucose,20 g/L,batch,not specified,3 days,30 °C,BY4741 Δade3 Δbna2,tes1,CAD (from A. terreus),CAD,KO
,,,,,,,,,,,,,,,,,
p16,10.1007.s00253-017-8202-z,BY4742,Saccharomyces cerevisiae,glycerol (glycerol),,YNB,glucose,100 g/L,batch,,,30 °C,,,,,yes
p16,10.1007.s00253-017-8202-z,BY/tpi25,Saccharomyces cerevisiae,glycerol (glycerol),16 g/L,YNB,glucose,100 g/L,batch,,,30 °C,BY4742,TPI1,,,yes
p16,10.1007.s00253-017-8202-z,BY/gpd1,Saccharomyces cerevisiae,glycerol (glycerol),8 g/L,YNB,glucose,100 g/L,batch,,,30 °C,BY4742,,GPD1,,yes
p16,10.1007.s00253-017-8202-z,BY/gpp2,Saccharomyces cerevisiae,glycerol (glycerol),,YNB,glucose,100 g/L,batch,,,30 °C,BY4742,,GPP2,,yes
p16,10.1007.s00253-017-8202-z,BY/gpd1gpp2f,Saccharomyces cerevisiae,glycerol (glycerol),11 g/L,YNB,glucose,100 g/L,batch,,,30 °C,BY4742,,GPD1-GPP2 fusion,,yes
p16,10.1007.s00253-017-8202-z,BY/tpi25/gpd1gpp2f,Saccharomyces cerevisiae,glycerol (glycerol),13 g/L,YNB,glucose,,batch,,,30 °C,BY/tpi25,,GPD1-GPP2 fusion,,ko
p16,10.1007.s00253-017-8202-z,BY/tpi25/gpd1gpp2f/fps1m,Saccharomyces cerevisiae,glycerol (glycerol),19 g/L,YNB,glucose,,batch,,,30 °C,BY/tpi25/gpd1gpp2f,,FPS1m,,ko
p16,10.1007.s00253-017-8202-z,BY/tpi25/gpd1gpp2f/fps1m/ilv2,Saccharomyces cerevisiae,glycerol (glycerol),,YNB,glucose,,batch,,,30 °C,BY/tpi25/gpd1gpp2f/fps1m,,ILV2,,oe
p16,10.1007.s00253-017-8202-z,tpi1Δ,Saccharomyces cerevisiae,glycerol (glycerol),,YNB,glucose,,batch,,,30 °C,BY4742,TPI1,,,yes
,,,,,,,,,,,,,,,,,
p17,10.1007.s00253-018-09588-9,WE269,Escherichia coli,lactate (lactate),98.3 g/L,M9 minimal medium,glucose,5% (w/v),"5-L bioreactor, batch",7.0,48 h,37 °C,E. coli W3110,-,-,-,titer
p17,10.1007.s00253-018-09588-9,BW100,Escherichia coli,lactate (lactate),98.3 g/L,Modified NBS medium,glucose,"5% (w/v) initial, fed-batch","5-L bioreactor, fed-batch",7.0,-,37 °C,WE269,pflB,-,-,yes
,,,,,,,,,,,,,,,,,
p18,10.1007.s00253-020-10381-w,LCGL,Streptomyces lincolnensis,Lincomycin (Lincomycin),Not specified,"TSBY, SM",Not specified,Not specified,Batch culture,7.0-7.2*,24 h,30 °C,-,-,-,-,yes
p18,10.1007.s00253-020-10381-w,ΔSLCGL_Lrp,Streptomyces lincolnensis,Lincomycin (Lincomycin),Decreased by 30% compared to LCGL,"TSBY, SM",Not specified,Not specified,Batch culture,Assumed similar,24 h,30 °C,LCGL,SLCG_Lrp,-,-,yes
p18,10.1007.s00253-020-10381-w,ΔSLCGL_3127,Streptomyces lincolnensis,Lincomycin (Lincomycin),Increased by 33% compared to LCGL,"TSBY, SM",Not specified,Not specified,Batch culture,Assumed similar,24 h,30 °C,LCGL,SLCG_3127,-,-,yes
,,,,,,,,,,,,,,,,,
p19,10.1007.s00253-020-10819-1,SH274,Escherichia coli,isobutanol (isobutanol),1.3 g/L,M9,glucose,40 g/L,shake flask (no feed),not specified,48 h,37 °C,JW74,,,"alsS (B. subtilis), ilvC, ilvD (E. coli), kivD, adhA (L. lactis)",ko
p19,10.1007.s00253-020-10819-1,SH279,Escherichia coli,isobutanol (isobutanol),5.5 g/L,M9,glucose,40 g/L,shake flask (no feed),not specified,48 h,37 °C,JW74,,,"alsS (B. subtilis), ilvC, ilvD (E. coli), kivD, adhA (L. lactis)",ko
,,,,,,,,,,,,,,,,,
p20,10.1007.s00449-015-1440-5,Sporolactobacillus inulinus YBS1-5,Sporolactobacillus inulinus,d-lactic acid (D-lactic acid),70.7 g/L,Basic fermentation medium,Glucose,150 g/L,Batch,Not specified,108 h,37 °C,CCTCC. NO. M2012516,-,-,-,yes
,,,,,,,,,,,,,,,,,
p21,10.1007.s10295-005-0206-5,GJT001(pKK313),Escherichia coli,succinate (succinate),-,LB,glucose,40 g/L,"45 mL capped tube, anaerobic",7.4,-,37°C,GJT001,-,Sorghum PEPC (S8D mutation),Sorghum PEPC,titer
p21,10.1007.s10295-005-0206-5,YBS121(pKK313),Escherichia coli,succinate (succinate),-,LB,glucose,40 g/L,"250 mL flask, microaerobic",7.4,-,37°C,GJT001,ackA-pta,Sorghum PEPC (S8D mutation),-,hetero titer
p21,10.1007.s10295-005-0206-5,YBS132(pKK313),Escherichia coli,succinate (succinate),-,LB,glucose,40 g/L,"250 mL flask, microaerobic",7.4,-,37°C,GJT001,"ackA-pta, ldhA",Sorghum PEPC (S8D mutation),-,hetero titer
p21,10.1007.s10295-005-0206-5,GJT001(pKK313),Escherichia coli,succinate (succinate),-,LB,sorbitol,40 g/L,"45 mL capped tube, anaerobic",7.4,-,37°C,GJT001,-,Sorghum PEPC (S8D mutation),Sorghum PEPC,titer
p21,10.1007.s10295-005-0206-5,GJT001(pKK313),Escherichia coli,succinate (succinate),-,LB,xylose,40 g/L,"45 mL capped tube, anaerobic",7.4,-,37°C,GJT001,-,Sorghum PEPC (S8D mutation),Sorghum PEPC,titer
,,,,,,,,,,,,,,,,,
p22,10.1007.s10295-010-0766-x,E. coli BL21/pGEX-GALNS,Escherichia coli,rGALNS (N-acetylgalactosamine-6-sulfate sulfatase),Not specified,MGM,Glucose,20 g l^-1,Shake flask,7.2,12 h,37°C,E. coli BL21,,GALNS,Human GALNS cDNA,yes
,,,,,,,,,,,,,,,,,
p23,10.1007.s10295-016-1822-y,Streptomyces hygroscopicus 5008,Streptomyces,Validamycin A (Val-A) (Validamycin A),17.82 g l−1,Not specified,"Corn powder, Soybean powder",100 g l−1 corn powder,Shake flask (no feed mode mentioned),Not specified,96 h (noted as from 48 to 96 h for specific observations),37 °C,-,-,-,,titer
,,,,,,,,,,,,,,,,,
p24,10.1007.s10295-016-1872-1,ADP1ΔrmlA_pykF,Acinetobacter baylyi,wax esters (WEs) (wax esters (WEs)),Not specified,"Minimal medium + 50 g/l glucose, 4 g/l arabinose, 2 g/l amino acids",glucose,50 g/l,Batch,Significantly lower*,26 h,30 °C,A. baylyi ADP1,rmlA,pykF,,yes
p24,10.1007.s10295-016-1872-1,ADP1pykF,Acinetobacter baylyi,wax esters (WEs) (wax esters (WEs)),Not specified,"Minimal medium + 50 g/l glucose, 4 g/l arabinose",glucose,50 g/l,Batch,Not specified,26 h,30 °C,A. baylyi ADP1,,pykF,,yes
,,,,,,,,,,,,,,,,,
p25,10.1007.s10295-020-02319-y,E. coli W ΔldhA ΔadhE Δpta ΔfrdA,Escherichia coli,isobutanol (isobutanol),20 g l<sup>-1</sup>,cheese whey,cheese whey,-,pulsed fed-batch,6.8,-,30 °C,E. coli W,"ldhA, adhE, pta, frdA",-,"alsS (B. subtilis), budB (E. cloacae), ilvD, ilvC_mut, kdcA (L. lactis), adhA_mut",OE
p25,10.1007.s10295-020-02319-y,E. coli W IB4,Escherichia coli,isobutanol (isobutanol),4.9 g l<sup>-1</sup>,defined medium,glucose,50 g l<sup>-1</sup>,batch,6.8,-,30 °C,E. coli W,-,"alsS (B. subtilis), budB, ilvC_mut, ilvD, kdcA, adhA_mut",-,hetero
p25,10.1007.s10295-020-02319-y,E. coli W IB4,Escherichia coli,isobutanol (isobutanol),7.7 g l<sup>-1</sup>,defined medium,glucose,50 g l<sup>-1</sup>,batch,6.8,-,30 °C,E. coli W,-,"alsS (B. subtilis), budB, ilvC_mut, ilvD, kdcA, adhA_mut",-,hetero
,,,,,,,,,,,,,,,,,
p26,10.1007.s10529-008-9906-z,AJ12741,Escherichia coli,l-phenylalanine (L-phenylalanine),3.7 g l<sup>−1</sup>,PP medium,glucose,40 g l<sup>−1</sup>,shake flask,adjusted to 7 with CaCO<sub>3</sub>,84 h,37°C,-,-,-,-,yes
p26,10.1007.s10529-008-9906-z,AJ12741/pHYGG,Escherichia coli,l-phenylalanine (L-phenylalanine),6.4 g l<sup>−1</sup>,PP medium,glucose,40 g l<sup>−1</sup>,shake flask,adjusted to 7 with CaCO<sub>3</sub>,-,37°C,AJ12741,-,yggG,-,yes
,,,,,,,,,,,,,,,,,
p27,10.1007.s10529-018-2580-x,BW03,Escherichia coli,caffeic acid (caffeic acid),87.7 mg/L,Modified M9 (M9Y),glucose,20 g/L,batch,not specified,48 h,30 °C,E. coli BL21 (DE3),"tyrR, pheA, trpE","RgTAL, HpaBC","RgTAL, HpaBC",yes
p27,10.1007.s10529-018-2580-x,BTAL01,Escherichia coli,caffeic acid (caffeic acid),138.5 mg/L,Modified M9 (M9Y),glucose,20 g/L,batch,not specified,48 h,30 °C,BTAL,-,"RgTAL, HpaBC","RgTAL, HpaBC",yes
p27,10.1007.s10529-018-2580-x,BTAL02,Escherichia coli,caffeoylmalic acid (caffeoylmalic acid),79.0 mg/L,Modified M9 (M9Y),glucose,20 g/L,two-stage cultivation,not specified,48 h,30 °C,BTAL,-,"RgTAL, At4CL2, HCT2, HpaBC","RgTAL, At4CL2, HCT2",yes
p27,10.1007.s10529-018-2580-x,"Co-culture (BTAL03:BTAL04, 6:1)",Escherichia coli,caffeoylmalic acid (caffeoylmalic acid),570.1 mg/L,Modified M9 (M9Y),glucose,20 g/L,"co-culture, batch",not specified,72 h,30 °C,BTAL,-,"RgTAL (BTAL03), At4CL2, HCT2 (BTAL04), HpaBC (both)","RgTAL (BTAL03), At4CL2, HCT2",yes
,,,,,,,,,,,,,,,,,
p28,10.1007.s11274-023-03705-1,SC-TD5 I M,Escherichia coli,4-HIL (4-hydroxyisoleucine),140.9 ± 11.5 mM,LBBK (for selection) later optimized fermentation medium,Glucose,140 g/L,"Shake flask, no specific feeding mentioned",Not specified,Not specified,30 °C,SN01,"ldhA and pyk2 (indirect, by integration)",P brnFE D5-controlled ido M,ido M,yes
,,,,,,,,,,,,,,,,,
p29,10.1007.s12010-017-2673-3,M2,Methylobacterium extorquens,mevalonate (mevalonate),55.0 ± 1.0 mg/L,MC,methanol,1% (v/v),shake flask,not specified,5 days,30 °C,M. extorquens AM1ΔcelABC,celABC,-,mvt3 (integrated),yes
p29,10.1007.s12010-017-2673-3,M2/pCre,Methylobacterium extorquens,mevalonate (mevalonate),-,MC,methanol,1% (v/v),shake flask,not specified,after G1,30 °C,M2,-,Cre (inducible),mvt3 (target for multicopy integration),titer
p29,10.1007.s12010-017-2673-3,Multicopy mutant (G1),Methylobacterium extorquens,mevalonate (mevalonate),110 mg/L,MC,methanol,1% (v/v),"48-well, deep-well microplates",not specified,after G1,30 °C,M2,-,Cre (inducible),mvt3 (multi-copies),yes
p29,10.1007.s12010-017-2673-3,CH69,Methylobacterium extorquens,mevalonate (mevalonate),210 mg/L,MC,methanol,1% (v/v),"48-well, deep-well microplates",not specified,after G2,30 °C,M2,-,-,mvt3 (2-3 copies),yes
,,,,,,,,,,,,,,,,,
p30,10.1007.s12257-020-0313-1,E. coli YHP05,Escherichia coli,L-phenylalanine (L-Phe) (L-phenylalanine),4.00 g/L,PHE media with L-Trp and L-Tyr,glucose,Not specified,flask,7.0,Not specified,37°C,E. coli YHP02,"trpE, tyrA","aroG8/15, pheA fbr/dm, glk, galP, aroK, ydiB",-,yes
p30,10.1007.s12257-020-0313-1,E. coli YHP06,Escherichia coli,L-phenylalanine (L-Phe) (L-phenylalanine),3.58 g/L,PHE media without L-Trp and L-Tyr,glucose,Not specified,flask,7.0,Not specified,37°C,E. coli YHP02,pykA,"aroG8/15, pheA fbr/dm (via pYHP)",-,KO OE
p30,10.1007.s12257-020-0313-1,E. coli H-02,Escherichia coli,L-phenylalanine (L-Phe) (L-phenylalanine),3.62 g/L,PHE media without L-Trp and L-Tyr,glucose,Not specified,flask,7.0,Not specified,37°C,E. coli YHP06,-,"aroG8/15, pheA fbr/dm (constitutive), glk, galP, aroK, ydiB",-,KO OE
p30,10.1007.s12257-020-0313-1,E. coli H-02,Escherichia coli,L-phenylalanine (L-Phe) (L-phenylalanine),30.5 g/L,PHE media,glucose,Not specified,"5 L, fed-batch",6.8,38 h,37°C,E. coli YHP06,-,"aroG8/15, pheA fbr/dm (constitutive), glk, galP, aroK, ydiB",-,KO OE
p30,10.1007.s12257-020-0313-1,E. coli H-02,Escherichia coli,L-phenylalanine (L-Phe) (L-phenylalanine),38.6 g/L,PHE media,glucose,Not specified,"30 L, fed-batch",6.8,36 h,37°C,E. coli YHP06,-,"aroG8/15, pheA fbr/dm (constitutive), glk, galP, aroK, ydiB",-,KO OE
,,,,,,,,,,,,,,,,,
p31,10.1007.s13205-020-2114-9,CCM01,Corynebacterium crenatum,l-arginine (l-arginine),12.02 g/L,not specified,glucose,120 g/L,"shake flask, no feed",7.0,108 h,30 °C,C. crenatum MT,-,-,-,KO
p31,10.1007.s13205-020-2114-9,CCM02 (putP knockout),Corynebacterium crenatum,l-arginine (l-arginine),14.20 g/L,not specified,glucose,120 g/L,"shake flask, no feed",7.0,108 h,30 °C,CCM01,putP,-,-,yes
p31,10.1007.s13205-020-2114-9,CCM03 (pta knockout),Corynebacterium crenatum,l-arginine (l-arginine),15.27 g/L,not specified,glucose,120 g/L,"shake flask, no feed",7.0,108 h,30 °C,CCM01,pta,-,-,yes
p31,10.1007.s13205-020-2114-9,CCM04 (cgl2310 knockout),Corynebacterium crenatum,l-arginine (l-arginine),15.34 g/L,not specified,glucose,120 g/L,"shake flask, no feed",7.0,108 h,30 °C,CCM01,cgl2310,-,-,yes
p31,10.1007.s13205-020-2114-9,CCM05 (Ncgl1221 knockout),Corynebacterium crenatum,l-arginine (l-arginine),13.29 g/L,not specified,glucose,120 g/L,"shake flask, no feed",7.0,108 h,30 °C,CCM01,Ncgl1221,-,-,yes
p31,10.1007.s13205-020-2114-9,CCM06 (lysE overexpression),Corynebacterium crenatum,l-arginine (l-arginine),14.9 g/L,not specified,glucose,120 g/L,"shake flask, no feed",7.0,108 h,30 °C,CCM05,-,lysE,-,yes
p31,10.1007.s13205-020-2114-9,"CCM07 (putP, pta, cgl2310 deletions + lysE overexpression)",Corynebacterium crenatum,l-arginine (l-arginine),24.85 g/L,not specified,glucose,120 g/L,"shake flask, no feed",7.0,108 h,30 °C,CCM06,"putP, pta, cgl2310",lysE,-,yes
,,,,,,,,,,,,,,,,,
p32,10.1016.S1567-1356(02)00206-4,S. cerevisiae TMB 3400,Saccharomyces cerevisiae,ethanol (ethanol),-,SX,d-xylose,20 g l^-1,batch,5.5,-,30°C,S. cerevisiae TMB 3399,-,-,"XR, XDH, XK (from P. stipitis)",hetero
p32,10.1016.S1567-1356(02)00206-4,P. stipitis CBS 6054,Saccharomyces cerevisiae,ethanol (ethanol),-,defined mineral,d-xylose,20 g l^-1,batch,5.5,-,30°C,-,-,-,-,yes
,,,,,,,,,,,,,,,,,
p33,10.1016.S1567-1356(03)00155-7,CEN.PK448,Saccharomyces cerevisiae,Ethanol (Ethanol),Not specified,Minimal,Glucose,20 g/L,Batch and chemostat,5.0,,30°C,CEN.PK113-7D,GDH1,,,titer
p33,10.1016.S1567-1356(03)00155-7,CEN.MS6-1A,Saccharomyces cerevisiae,Ethanol (Ethanol),Not specified,Minimal,Glucose,20 g/L,Batch and chemostat,5.0,,30°C,CEN.PK113-7D,GLR1,,,titer
p33,10.1016.S1567-1356(03)00155-7,CEN.MS1-10C T1,Saccharomyces cerevisiae,Ethanol (Ethanol),Not specified,Minimal,Glucose,20 g/L,Batch and chemostat,5.0,,30°C,CEN.PK113-7D,GDH1,GDH2,,titer
p33,10.1016.S1567-1356(03)00155-7,CEN.MS5-3A,Saccharomyces cerevisiae,Ethanol (Ethanol),Not specified,Minimal,Glucose,20 g/L,Batch and chemostat,5.0,,30°C,CEN.PK113-7D,GDH1,"GLN1, GLT1",,titer
,,,,,,,,,,,,,,,,,
p34,10.1016.S1875-5364(20)60005-X,DL-A008,Escherichia coli,astaxanthin (astaxanthin),0.88 g•L<sup>-1</sup>,not specified,glycerol,controlled under 0.5 g•L<sup>-1</sup>,"7 L-fermentor, fed-batch",7.0,66 h,30°C,YL-CAR002,crtX,"crtW*, crtZ","crtW (mutant), crtZ",yes
p34,10.1016.S1875-5364(20)60005-X,YL-CAR002,Escherichia coli,β-carotene (β-carotene),30 mg•g<sup>-1</sup> cdw,not specified,glycerol,not specified,shake-flask,not specified,not specified,30°C,CAR005,crtX,none,none,yes
